step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,5.2913,140.8737030029297,5.43584091395317e-06,,,,,,,,,,,
10,0.013,1.0268,30.506126403808594,7.77693016900905e-06,,,,,,,,,,,
15,0.019,0.384,9.949942588806152,9.146379594057966e-06,,,,,,,,,,,
20,0.026,0.1938,6.379518508911133,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.1468,5.929995059967041,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.1105,5.128889083862305,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.1217,6.291275501251221,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.0863,5.185312747955322,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.0689,3.327937126159668,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.0742,4.133450984954834,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.0641,2.560593366622925,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.056,3.7791221141815186,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.0769,3.175389528274536,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.0753,4.348940372467041,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.0503,2.7707180976867676,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.0817,2.8459408283233643,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.0775,4.417372226715088,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.0847,2.9635274410247803,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.0695,1.905234456062317,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.0749,4.987032413482666,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.0656,3.838254928588867,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.0945,2.955301523208618,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.07,1.9571844339370728,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.0566,2.1458656787872314,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.0905,2.721951484680176,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0644,2.802739381790161,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0642,3.5449161529541016,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0729,2.2890913486480713,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.0703,2.999786138534546,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0541,2.572267770767212,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.064,1.7481815814971924,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0517,2.186702013015747,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0679,2.7763917446136475,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.0646,0.9923275113105774,1.7346045507100393e-05,,,,,,,,,,,
175,0.225,0.0717,1.9326467514038086,1.7443950271063636e-05,,,,,,,,,,,
180,0.232,0.0684,1.6908680200576782,1.7539096784274516e-05,,,,,,,,,,,
185,0.238,0.0669,1.974606990814209,1.7631636212941787e-05,,,,,,,,,,,
190,0.245,0.0674,1.7055031061172485,1.7721707626988064e-05,,,,,,,,,,,
195,0.251,0.0794,2.60526704788208,1.780943925718008e-05,,,,,,,,,,,
200,0.257,0.0546,1.4173567295074463,1.7894949593073975e-05,,,,,,,,,,,
205,0.264,0.0817,2.4996159076690674,1.797834834536765e-05,,,,,,,,,,,
210,0.27,0.0506,1.5461658239364624,1.8059737292271135e-05,,,,,,,,,,,
215,0.277,0.0458,2.039386034011841,1.8139211026274675e-05,,,,,,,,,,,
220,0.283,0.0602,3.1060657501220703,1.821685761505727e-05,,,,,,,,,,,
225,0.29,0.0555,1.0785348415374756,1.829275918811593e-05,,,,,,,,,,,
230,0.296,0.0675,2.217029333114624,1.8366992458913676e-05,,,,,,,,,,,
235,0.302,0.0597,2.0507524013519287,1.843962919086886e-05,,,,,,,,,,,
240,0.309,0.0563,3.561567783355713,1.851073661428148e-05,,,,,,,,,,,
245,0.315,0.0607,2.1831812858581543,1.8580377800267753e-05,,,,,,,,,,,
250,0.322,0.081,3.823758840560913,1.864861199691539e-05,,,,,,,,,,,
255,0.328,0.0623,2.2902820110321045,1.8715494932149304e-05,,,,,,,,,,,
260,0.335,0.0642,1.6189395189285278,1.878107908718704e-05,,,,,,,,,,,
265,0.341,0.0595,1.5289782285690308,1.884541394394586e-05,,,,,,,,,,,
270,0.347,0.0546,3.172917127609253,1.8908546209323433e-05,,,,,,,,,,,
275,0.354,0.0694,1.7642338275909424,1.8970520018898686e-05,,,,,,,,,,,
280,0.36,0.0585,2.0844521522521973,1.9031377122278096e-05,,,,,,,,,,,
285,0.367,0.0542,1.9247771501541138,1.9091157052036978e-05,,,,,,,,,,,
290,0.373,0.0604,3.108971118927002,1.914989727796787e-05,,,,,,,,,,,
295,0.38,0.0505,1.2418428659439087,1.9207633348143327e-05,,,,,,,,,,,
300,0.386,0.0551,3.0514774322509766,1.9264399018122892e-05,,,,,,,,,,,
305,0.393,0.0459,1.7771137952804565,1.9320226369480355e-05,,,,,,,,,,,
310,0.399,0.0591,12.912070274353027,1.9375145918693242e-05,,,,,,,,,,,
315,0.405,0.0646,1.8866338729858398,1.9429186717320048e-05,,,,,,,,,,,
320,0.412,0.0586,1.8819814920425415,1.948237644428844e-05,,,,,,,,,,,
325,0.418,0.0556,1.2967147827148438,1.9534741491028455e-05,,,,,,,,,,,
330,0.425,0.0657,1.6564136743545532,1.9586307040106185e-05,,,,,,,,,,,
335,0.431,0.0679,6.453764915466309,1.9637097137944473e-05,,,,,,,,,,,
340,0.438,0.042,3.372678518295288,1.968713476215627e-05,,,,,,,,,,,
345,0.444,0.0512,2.0370476245880127,1.9736441883962593e-05,,,,,,,,,,,
350,0.45,0.0379,0.9662209749221802,1.978503952611951e-05,,,,,,,,,,,
355,0.457,0.0581,2.121629476547241,1.983294781673642e-05,,,,,,,,,,,
360,0.463,0.0698,2.35294508934021,1.9880186039330394e-05,,,,,,,,,,,
365,0.47,0.0562,2.6672089099884033,1.9926772679428174e-05,,,,,,,,,,,
370,0.476,0.061,2.2327005863189697,1.9972725467997668e-05,,,,,,,,,,,
375,0.483,0.0549,1.5581024885177612,1.9997765612780698e-05,,,,,,,,,,,
380,0.489,0.047,1.326961636543274,1.9986593676684173e-05,,,,,,,,,,,
385,0.495,0.068,1.6521269083023071,1.9975421740587648e-05,,,,,,,,,,,
388,0.499,,,,0.7999999999498043,0.7999999999498043,3.6398,291.223,1.648,,,,,,
390,0.502,0.0672,2.1169590950012207,1.996424980449112e-05,,,,,,,,,,,
395,0.508,0.0534,1.8923759460449219,1.9953077868394594e-05,,,,,,,,,,,
400,0.515,0.0415,1.8350106477737427,1.994190593229807e-05,,,,,,,,,,,
405,0.521,0.0491,1.7159866094589233,1.9930733996201544e-05,,,,,,,,,,,
410,0.528,0.0759,2.1180851459503174,1.991956206010502e-05,,,,,,,,,,,
415,0.534,0.0451,1.2051830291748047,1.9908390124008493e-05,,,,,,,,,,,
420,0.541,0.0453,1.7277872562408447,1.9897218187911968e-05,,,,,,,,,,,
425,0.547,0.0427,3.228196859359741,1.988604625181544e-05,,,,,,,,,,,
430,0.553,0.0667,2.3798696994781494,1.9874874315718914e-05,,,,,,,,,,,
435,0.56,0.0546,2.223921775817871,1.986370237962239e-05,,,,,,,,,,,
440,0.566,0.0535,2.597801685333252,1.9852530443525864e-05,,,,,,,,,,,
445,0.573,0.047,1.6575769186019897,1.984135850742934e-05,,,,,,,,,,,
450,0.579,0.0562,1.6004172563552856,1.9830186571332814e-05,,,,,,,,,,,
455,0.586,0.0396,1.0091084241867065,1.981901463523629e-05,,,,,,,,,,,
460,0.592,0.052,1.8832634687423706,1.9807842699139763e-05,,,,,,,,,,,
465,0.598,0.0549,1.6591483354568481,1.9796670763043238e-05,,,,,,,,,,,
470,0.605,0.0615,1.2338840961456299,1.9785498826946713e-05,,,,,,,,,,,
475,0.611,0.0429,0.7495322227478027,1.9774326890850188e-05,,,,,,,,,,,
480,0.618,0.0604,3.609408140182495,1.976315495475366e-05,,,,,,,,,,,
485,0.624,0.0427,1.7091206312179565,1.9751983018657134e-05,,,,,,,,,,,
490,0.631,0.0582,2.0947792530059814,1.974081108256061e-05,,,,,,,,,,,
495,0.637,0.0477,0.9904905557632446,1.9729639146464084e-05,,,,,,,,,,,
500,0.644,0.0554,1.0912545919418335,1.971846721036756e-05,,,,,,,,,,,
505,0.65,0.0597,1.5072802305221558,1.9707295274271033e-05,,,,,,,,,,,
510,0.656,0.0518,1.7128355503082275,1.9696123338174505e-05,,,,,,,,,,,
515,0.663,0.0532,2.3654518127441406,1.968495140207798e-05,,,,,,,,,,,
520,0.669,0.0509,3.709270715713501,1.9673779465981454e-05,,,,,,,,,,,
525,0.676,0.0622,1.581302523612976,1.9662607529884933e-05,,,,,,,,,,,
530,0.682,0.0428,1.8686497211456299,1.9651435593788408e-05,,,,,,,,,,,
535,0.689,0.0438,2.8507843017578125,1.964026365769188e-05,,,,,,,,,,,
540,0.695,0.0448,1.9855760335922241,1.9629091721595354e-05,,,,,,,,,,,
545,0.701,0.0546,1.965742826461792,1.961791978549883e-05,,,,,,,,,,,
550,0.708,0.0401,1.2756376266479492,1.9606747849402303e-05,,,,,,,,,,,
