step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,0.7668,12.067203521728516,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,0.3524,5.274074077606201,9.855208374047785e-06,,,,,,,,,,,
15,0.068,0.1146,4.041891574859619,1.159062442488995e-05,,,,,,,,,,,
20,0.09,0.0809,4.886477470397949,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,0.0823,2.759531259536743,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,0.0673,0.9902003407478333,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,0.061,2.0386390686035156,1.521711232078042e-05,,,,,,,,,,,
40,0.18,0.0532,2.5119614601135254,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,0.0539,1.7271164655685425,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.0486,2.5697338581085205,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.0473,1.6099187135696411,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.0457,2.002678632736206,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.0426,2.133146047592163,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.0444,0.9718571901321411,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.0378,0.8477501273155212,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.0401,1.222725749015808,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.0317,1.046883463859558,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.0337,1.6954137086868286,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.0329,1.1921454668045044,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.0276,1.2963042259216309,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.032,1.0089982748031616,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.0237,0.3959450125694275,1.9984356667970278e-05,,,,,,,,,,,
111,0.5,,,,0.38902743137161083,0.38902743137161083,68.416,47.694,0.248,,,,,,
115,0.518,0.0241,0.8002650737762451,1.9945248337895972e-05,,,,,,,,,,,
120,0.541,0.0253,3.328002452850342,1.9906140007821667e-05,,,,,,,,,,,
125,0.563,0.0351,1.0044775009155273,1.986703167774736e-05,,,,,,,,,,,
130,0.586,0.0278,1.2907112836837769,1.9827923347673055e-05,,,,,,,,,,,
135,0.608,0.028,1.1094298362731934,1.978881501759875e-05,,,,,,,,,,,
140,0.631,0.0307,1.4105359315872192,1.9749706687524444e-05,,,,,,,,,,,
145,0.653,0.0236,1.710845708847046,1.971059835745014e-05,,,,,,,,,,,
150,0.676,0.018,0.7264522910118103,1.9671490027375833e-05,,,,,,,,,,,
155,0.698,0.0172,1.2322701215744019,1.9632381697301527e-05,,,,,,,,,,,
160,0.721,0.0192,1.334505319595337,1.959327336722722e-05,,,,,,,,,,,
165,0.743,0.0169,0.5598649382591248,1.9554165037152916e-05,,,,,,,,,,,
170,0.766,0.0167,0.5322744846343994,1.951505670707861e-05,,,,,,,,,,,
175,0.788,0.0182,1.5354819297790527,1.9475948377004304e-05,,,,,,,,,,,
180,0.811,0.0165,0.8096122145652771,1.9436840046929995e-05,,,,,,,,,,,
185,0.833,0.0144,0.6893033981323242,1.9397731716855693e-05,,,,,,,,,,,
190,0.856,0.0157,0.5119640231132507,1.9358623386781384e-05,,,,,,,,,,,
195,0.878,0.014,0.6730674505233765,1.9319515056707082e-05,,,,,,,,,,,
200,0.901,0.0147,0.8537876009941101,1.9280406726632773e-05,,,,,,,,,,,
205,0.923,0.0147,0.980985701084137,1.9241298396558467e-05,,,,,,,,,,,
210,0.946,0.0128,0.44453588128089905,1.9202190066484165e-05,,,,,,,,,,,
215,0.968,0.0149,0.6757001280784607,1.9163081736409856e-05,,,,,,,,,,,
220,0.991,0.0156,0.8289719223976135,1.9123973406335553e-05,,,,,,,,,,,
222,1.0,,,,0.6569343065197388,0.6569343065197388,62.6033,52.122,0.272,,,,,,
225,1.014,0.0128,0.839175283908844,1.9084865076261244e-05,,,,,,,,,,,
230,1.036,0.0132,0.46065089106559753,1.904575674618694e-05,,,,,,,,,,,
235,1.059,0.0132,1.4501392841339111,1.9006648416112633e-05,,,,,,,,,,,
240,1.081,0.0132,0.6363736987113953,1.8967540086038327e-05,,,,,,,,,,,
245,1.104,0.0139,0.4780396819114685,1.8928431755964022e-05,,,,,,,,,,,
250,1.126,0.0119,0.7140832543373108,1.8889323425889716e-05,,,,,,,,,,,
255,1.149,0.0117,0.46624755859375,1.885021509581541e-05,,,,,,,,,,,
260,1.171,0.0096,0.3416576087474823,1.8811106765741105e-05,,,,,,,,,,,
265,1.194,0.0096,0.36986538767814636,1.87719984356668e-05,,,,,,,,,,,
270,1.216,0.0121,1.3424303531646729,1.873289010559249e-05,,,,,,,,,,,
275,1.239,0.0085,0.36423641443252563,1.8693781775518188e-05,,,,,,,,,,,
280,1.261,0.0109,0.7532599568367004,1.8654673445443882e-05,,,,,,,,,,,
285,1.284,0.0086,0.683749258518219,1.8615565115369576e-05,,,,,,,,,,,
290,1.306,0.011,0.8195480704307556,1.857645678529527e-05,,,,,,,,,,,
295,1.329,0.0107,1.1846951246261597,1.8537348455220962e-05,,,,,,,,,,,
300,1.351,0.01,0.37475278973579407,1.849824012514666e-05,,,,,,,,,,,
