step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,0.7381,10.837035179138184,7.861760963081327e-06,,,,,,,,,,,
10,0.081,0.2469,6.756839752197266,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,0.0495,1.754867672920227,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,0.014,1.2952206134796143,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,0.0071,1.7808235883712769,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.0074,1.2601866722106934,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.0038,0.7685565948486328,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.0032,0.6302841901779175,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.0028,0.5338495373725891,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.0025,0.07630791515111923,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.0021,0.2947807312011719,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.0006,0.5739735960960388,2e-05,,,,,,,,,,,
62,0.504,,,,0.7115384614883563,0.7115384614883563,121.2252,34.498,0.173,,,,,,
65,0.528,0.0011,0.03441319242119789,1.9943502824858758e-05,,,,,,,,,,,
70,0.569,0.0001,0.013302414678037167,1.9872881355932205e-05,,,,,,,,,,,
75,0.61,0.0001,0.013016520999372005,1.980225988700565e-05,,,,,,,,,,,
80,0.65,0.0,0.002826972398906946,1.9731638418079098e-05,,,,,,,,,,,
85,0.691,0.0,0.001787275425158441,1.9661016949152545e-05,,,,,,,,,,,
90,0.732,0.0,0.0013294266536831856,1.959039548022599e-05,,,,,,,,,,,
95,0.772,0.0,0.0013133238535374403,1.9519774011299438e-05,,,,,,,,,,,
100,0.813,0.0,0.0009187922696582973,1.944915254237288e-05,,,,,,,,,,,
105,0.854,0.0,0.000761811388656497,1.937853107344633e-05,,,,,,,,,,,
110,0.894,0.0,0.0007102937088347971,1.9307909604519777e-05,,,,,,,,,,,
115,0.935,0.0,0.0005458172527141869,1.923728813559322e-05,,,,,,,,,,,
120,0.976,0.0,0.0005892397020943463,1.916666666666667e-05,,,,,,,,,,,
123,1.0,,,,0.7255192877837203,0.7255192877837203,119.0455,35.129,0.176,,,,,,
125,1.016,0.0,0.00044225231977179646,1.9096045197740114e-05,,,,,,,,,,,
130,1.057,0.0,0.00046660599764436483,1.902542372881356e-05,,,,,,,,,,,
135,1.098,0.0,0.00042602227767929435,1.8954802259887007e-05,,,,,,,,,,,
140,1.138,0.0,0.00041828007670119405,1.8884180790960454e-05,,,,,,,,,,,
145,1.179,0.0,0.0003447879571467638,1.88135593220339e-05,,,,,,,,,,,
150,1.22,0.0,0.0003728242591023445,1.8742937853107347e-05,,,,,,,,,,,
155,1.26,0.0,0.00032198496046476066,1.8672316384180793e-05,,,,,,,,,,,
160,1.301,0.0,0.0003303269622847438,1.8601694915254237e-05,,,,,,,,,,,
165,1.341,0.0,0.0003816773241851479,1.8531073446327686e-05,,,,,,,,,,,
170,1.382,0.0,0.00028024191851727664,1.846045197740113e-05,,,,,,,,,,,
175,1.423,0.0,0.0002597605052869767,1.8389830508474576e-05,,,,,,,,,,,
180,1.463,0.0,0.00025282244314439595,1.8319209039548026e-05,,,,,,,,,,,
184,1.496,,,,0.7255192877837203,0.7255192877837203,112.3954,37.208,0.187,,,,,,
185,1.504,0.0,0.000299537496175617,1.824858757062147e-05,,,,,,,,,,,
190,1.545,0.0,0.00024244379892479628,1.8177966101694916e-05,,,,,,,,,,,
195,1.585,0.0,0.00025403054314665496,1.8107344632768363e-05,,,,,,,,,,,
200,1.626,0.0,0.00022614728368353099,1.803672316384181e-05,,,,,,,,,,,
205,1.667,0.0,0.00024550670059397817,1.7966101694915256e-05,,,,,,,,,,,
210,1.707,0.0,0.0002522361173760146,1.7895480225988702e-05,,,,,,,,,,,
215,1.748,0.0,0.00024040977586992085,1.782485875706215e-05,,,,,,,,,,,
220,1.789,0.0,0.00021978885342832655,1.7754237288135596e-05,,,,,,,,,,,
225,1.829,0.0,0.00019006380171049386,1.7683615819209042e-05,,,,,,,,,,,
230,1.87,0.0,0.00019218843954149634,1.7612994350282485e-05,,,,,,,,,,,
235,1.911,0.0,0.00020623939053621143,1.7542372881355932e-05,,,,,,,,,,,
240,1.951,0.0,0.00020239248988218606,1.7471751412429382e-05,,,,,,,,,,,
245,1.992,0.0,0.00016499192861374468,1.7401129943502825e-05,,,,,,,,,,,
246,2.0,,,,0.733481811382705,0.733481811382705,112.5229,37.166,0.187,,,,,,
250,2.033,0.0,0.0001446029491489753,1.733050847457627e-05,,,,,,,,,,,
255,2.073,0.0,0.00018311197345610708,1.7259887005649718e-05,,,,,,,,,,,
260,2.114,0.0,0.00015635057934559882,1.7189265536723165e-05,,,,,,,,,,,
265,2.154,0.0,0.00018432532669976354,1.711864406779661e-05,,,,,,,,,,,
270,2.195,0.0,0.00013984799443278462,1.7048022598870058e-05,,,,,,,,,,,
275,2.236,0.0,0.00015173449355643243,1.6977401129943505e-05,,,,,,,,,,,
280,2.276,0.0,0.00014962043496780097,1.690677966101695e-05,,,,,,,,,,,
285,2.317,0.0,0.00014114844088908285,1.6836158192090398e-05,,,,,,,,,,,
290,2.358,0.0,0.00013828145165462047,1.676553672316384e-05,,,,,,,,,,,
295,2.398,0.0,0.0001431436976417899,1.669491525423729e-05,,,,,,,,,,,
300,2.439,0.0,0.0001270639186259359,1.6624293785310737e-05,,,,,,,,,,,
305,2.48,0.0,0.0001391943806083873,1.655367231638418e-05,,,,,,,,,,,
308,2.504,,,,0.7297096053110244,0.7297096053110244,112.9716,37.018,0.186,,,,,,
310,2.52,0.0,0.00013240832777228206,1.648305084745763e-05,,,,,,,,,,,
315,2.561,0.0,0.00013748799392487854,1.6412429378531074e-05,,,,,,,,,,,
320,2.602,0.0,0.00013055704766884446,1.634180790960452e-05,,,,,,,,,,,
325,2.642,0.0,0.00011625656043179333,1.6271186440677967e-05,,,,,,,,,,,
330,2.683,0.0,0.0001258716220036149,1.6200564971751414e-05,,,,,,,,,,,
335,2.724,0.0,0.0001184181819553487,1.612994350282486e-05,,,,,,,,,,,
340,2.764,0.0,0.00011123769945697859,1.6059322033898307e-05,,,,,,,,,,,
345,2.805,0.0,0.00010201305121881887,1.5988700564971753e-05,,,,,,,,,,,
350,2.846,0.0,9.600612247595564e-05,1.5918079096045196e-05,,,,,,,,,,,
355,2.886,0.0,0.00011040916433557868,1.5847457627118646e-05,,,,,,,,,,,
360,2.927,0.0,0.00012106581561965868,1.5776836158192093e-05,,,,,,,,,,,
365,2.967,0.0,0.0001046494726324454,1.5706214689265536e-05,,,,,,,,,,,
369,3.0,,,,0.729166666616559,0.729166666616559,112.5891,37.144,0.187,,,,,,
370,3.008,0.0,0.00011376896145520732,1.5635593220338986e-05,,,,,,,,,,,
375,3.049,0.0,9.824242442846298e-05,1.556497175141243e-05,,,,,,,,,,,
380,3.089,0.0,0.00010796811693580821,1.5494350282485876e-05,,,,,,,,,,,
385,3.13,0.0,0.00011683533375617117,1.5423728813559326e-05,,,,,,,,,,,
390,3.171,0.0,8.717594755580649e-05,1.535310734463277e-05,,,,,,,,,,,
395,3.211,0.0,8.499575051246211e-05,1.5282485875706216e-05,,,,,,,,,,,
400,3.252,0.0,0.00010713509254856035,1.5211864406779662e-05,,,,,,,,,,,
405,3.293,0.0,0.00011887034634128213,1.5141242937853109e-05,,,,,,,,,,,
410,3.333,0.0,9.057427814695984e-05,1.5070621468926554e-05,,,,,,,,,,,
415,3.374,0.0,8.668191003380343e-05,1.5000000000000002e-05,,,,,,,,,,,
420,3.415,0.0,0.00010189351451117545,1.4929378531073449e-05,,,,,,,,,,,
425,3.455,0.0,0.0001248967309948057,1.4858757062146894e-05,,,,,,,,,,,
430,3.496,0.0,9.423000301467255e-05,1.478813559322034e-05,,,,,,,,,,,
430,3.496,,,,0.7236255571564308,0.7236255571564308,114.1072,36.65,0.184,,,,,,
435,3.537,0.0,8.88226495590061e-05,1.4717514124293785e-05,,,,,,,,,,,
440,3.577,0.0,9.086901263799518e-05,1.4646892655367233e-05,,,,,,,,,,,
445,3.618,0.0,9.387747559230775e-05,1.4576271186440678e-05,,,,,,,,,,,
450,3.659,0.0,8.197611168725416e-05,1.4505649717514125e-05,,,,,,,,,,,
455,3.699,0.0,8.999930287245661e-05,1.4435028248587573e-05,,,,,,,,,,,
460,3.74,0.0,8.456418436253443e-05,1.4364406779661018e-05,,,,,,,,,,,
465,3.78,0.0,8.017054642550647e-05,1.4293785310734465e-05,,,,,,,,,,,
470,3.821,0.0,7.317088602576405e-05,1.422316384180791e-05,,,,,,,,,,,
475,3.862,0.0,7.641535194125026e-05,1.4152542372881358e-05,,,,,,,,,,,
480,3.902,0.0,9.523470362182707e-05,1.4081920903954804e-05,,,,,,,,,,,
485,3.943,0.0,9.605778905097395e-05,1.4011299435028249e-05,,,,,,,,,,,
490,3.984,0.0,7.05084967194125e-05,1.3940677966101697e-05,,,,,,,,,,,
492,4.0,,,,0.7245731254138866,0.7245731254138866,112.4441,37.192,0.187,,,,,,
495,4.024,0.0,7.7189935836941e-05,1.3870056497175142e-05,,,,,,,,,,,
