step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,1.602,8.103461265563965,5.381462829997033e-06,,,,,,,,,,,,,,,,,
10,0.012,1.5494,7.274684429168701,7.699132719020058e-06,,,,,,,,,,,,,,,,,
15,0.018,1.3619,5.7299485206604,9.05488269314909e-06,,,,,,,,,,,,,,,,,
20,0.024,1.1807,4.250746726989746,1.001680260804308e-05,,,,,,,,,,,,,,,,,
25,0.03,0.8938,2.4217615127563477,1.0762925659994066e-05,,,,,,,,,,,,,,,,,
30,0.036,0.7923,1.8147835731506348,1.1372552582172113e-05,,,,,,,,,,,,,,,,,
35,0.042,0.6639,1.3787541389465332,1.1887984800650519e-05,,,,,,,,,,,,,,,,,
40,0.048,0.5723,0.9853449463844299,1.2334472497066103e-05,,,,,,,,,,,,,,,,,
45,0.055,0.5008,0.7752466201782227,1.2728302556301145e-05,,,,,,,,,,,,,,,,,
50,0.061,0.4495,0.6402214169502258,1.308059554901709e-05,,,,,,,,,,,,,,,,,
55,0.067,0.3792,0.5710866451263428,1.3399283325646878e-05,,,,,,,,,,,,,,,,,
60,0.073,0.3458,0.4922749996185303,1.3690222471195137e-05,,,,,,,,,,,,,,,,,
65,0.079,0.3263,0.4429765045642853,1.3957860540877486e-05,,,,,,,,,,,,,,,,,
70,0.085,0.3027,0.4703295826911926,1.4205654689673544e-05,,,,,,,,,,,,,,,,,
75,0.091,0.2938,0.39922890067100525,1.4436345523146123e-05,,,,,,,,,,,,,,,,,
80,0.097,0.2622,0.3947434723377228,1.4652142386089125e-05,,,,,,,,,,,,,,,,,
85,0.103,0.2549,0.35621803998947144,1.4854852379663441e-05,,,,,,,,,,,,,,,,,
90,0.109,0.2433,0.3626471161842346,1.5045972445324168e-05,,,,,,,,,,,,,,,,,
95,0.115,0.227,0.3072195053100586,1.5226756518657677e-05,,,,,,,,,,,,,,,,,
100,0.121,0.2288,0.32572507858276367,1.5398265438040116e-05,,,,,,,,,,,,,,,,,
105,0.127,0.2107,0.2735559344291687,1.5561404663802574e-05,,,,,,,,,,,,,,,,,
110,0.133,0.2085,0.28182291984558105,1.5716953214669903e-05,,,,,,,,,,,,,,,,,
115,0.139,0.1934,0.263134241104126,1.5865586166680462e-05,,,,,,,,,,,,,,,,,
120,0.145,0.19,0.25466546416282654,1.600789236021816e-05,,,,,,,,,,,,,,,,,
125,0.152,0.1926,0.267037570476532,1.6144388489991102e-05,,,,,,,,,,,,,,,,,
130,0.158,0.1781,0.24684621393680573,1.627553042990051e-05,,,,,,,,,,,,,,,,,
135,0.164,0.1747,0.24782684445381165,1.6401722419453202e-05,,,,,,,,,,,,,,,,,
140,0.17,0.1766,0.23736652731895447,1.6523324578696566e-05,,,,,,,,,,,,,,,,,
145,0.176,0.1745,0.226153165102005,1.664065910385031e-05,,,,,,,,,,,,,,,,,
