step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,0.9017,4.046901226043701,1.3876635607780456e-05,,,,,,,,,,,,,,,,,
10,0.012,0.7006,1.97663414478302,1.985297726897803e-05,,,,,,,,,,,,,,,,,
15,0.018,0.4447,0.9701758027076721,2.3348913032276192e-05,,,,,,,,,,,,,,,,,
20,0.024,0.3324,0.5324599742889404,2.5829318930175607e-05,,,,,,,,,,,,,,,,,
25,0.03,0.2509,0.4710332155227661,2.775327121556091e-05,,,,,,,,,,,,,,,,,
30,0.036,0.2046,0.3397379219532013,2.9325254693473768e-05,,,,,,,,,,,,,,,,,
35,0.042,0.1692,0.24426321685314178,3.065434778624138e-05,,,,,,,,,,,,,,,,,
40,0.048,0.1499,0.1887962967157364,3.180566059137318e-05,,,,,,,,,,,,,,,,,
45,0.055,0.1326,0.18593016266822815,3.2821190456771925e-05,,,,,,,,,,,,,,,,,
50,0.061,0.1277,0.18066665530204773,3.372961287675849e-05,,,,,,,,,,,,,,,,,
55,0.067,0.1151,0.13913339376449585,3.45513809143067e-05,,,,,,,,,,,,,,,,,
60,0.073,0.1072,0.1646784543991089,3.530159635467133e-05,,,,,,,,,,,,,,,,,
65,0.079,0.1079,0.17179140448570251,3.599172766005727e-05,,,,,,,,,,,,,,,,,
70,0.085,0.1041,0.12976709008216858,3.663068944743896e-05,,,,,,,,,,,,,,,,,
75,0.091,0.1021,0.14459846913814545,3.722554864005665e-05,,,,,,,,,,,,,,,,,
80,0.097,0.0925,0.12800127267837524,3.778200225257075e-05,,,,,,,,,,,,,,,,,
85,0.103,0.0927,0.12398647516965866,3.830471007454187e-05,,,,,,,,,,,,,,,,,
90,0.109,0.0887,0.12775097787380219,3.87975321179695e-05,,,,,,,,,,,,,,,,,
95,0.115,0.0833,0.12274578958749771,3.926370178012077e-05,,,,,,,,,,,,,,,,,
100,0.121,0.0869,0.12219884991645813,3.970595453795606e-05,,,,,,,,,,,,,,,,,
105,0.127,0.0793,0.11911065131425858,4.012662521073712e-05,,,,,,,,,,,,,,,,,
110,0.133,0.0809,0.1518755406141281,4.0527722575504266e-05,,,,,,,,,,,,,,,,,
115,0.139,0.0751,0.1116311103105545,4.091098738277237e-05,,,,,,,,,,,,,,,,,
120,0.145,0.0742,0.13979539275169373,4.127793801586891e-05,,,,,,,,,,,,,,,,,
