step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.3223,21.326942443847656,0.0,,,,,,,,,,,
2,0.08,1.1523,19.133995056152344,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.2188,20.924545288085938,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.4932,28.87594223022461,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.0273,15.431568145751953,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.7339,16.91044044494629,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.4556,8.908666610717773,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.3159,8.268402099609375,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2148,4.630744457244873,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2522,10.8087158203125,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.2454,21.277904510498047,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.2131,7.4034600257873535,2e-05,,,,,,,,,,,
13,0.52,0.207,5.42498779296875,2e-05,,,,,,,,,,,
14,0.56,0.1216,4.03621768951416,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1256,7.0137553215026855,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1633,4.667655944824219,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0897,2.152742385864258,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1149,3.241539716720581,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0866,2.706448554992676,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1128,2.276076078414917,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.073,2.9845168590545654,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0939,3.629828929901123,1.9375e-05,,,,,,,,,,,
23,0.92,0.0905,3.0062754154205322,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1094,2.0138797760009766,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0777,2.3895277976989746,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.34018264835174883,0.34018264835174883,7.83,12.771,0.128,,,,,,
26,1.04,0.0763,2.657451868057251,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.1136,3.505594491958618,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0696,2.7762908935546875,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0374,1.248145580291748,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0313,1.390865683555603,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0589,4.041823387145996,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0491,1.4528764486312866,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0832,2.399303674697876,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.06,2.3640265464782715,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0767,1.853188395500183,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.095,4.447961330413818,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0802,1.656274437904358,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0572,2.2647597789764404,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.4571428570928264,0.4571428570928264,6.4453,15.515,0.155,,,,,,
39,1.56,0.0731,3.293654441833496,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0532,2.163098096847534,1.8125e-05,,,,,,,,,,,
41,1.64,0.0793,2.13569974899292,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.1163,2.462282419204712,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.1083,2.740234613418579,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0622,1.2763581275939941,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0905,1.9536278247833252,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0808,1.750382423400879,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0511,2.5531578063964844,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.046,2.17539119720459,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0217,0.7509497404098511,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0453,1.4852654933929443,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.372272143724749,0.372272143724749,6.1863,16.165,0.162,,,,,,
51,2.04,0.0172,1.027727723121643,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0302,1.9542591571807861,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0365,3.5583603382110596,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0166,0.5756494402885437,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0156,1.0312201976776123,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0151,1.3678027391433716,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0531,1.6564462184906006,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0471,2.1053130626678467,1.6875e-05,,,,,,,,,,,
59,2.36,0.0296,2.1270222663879395,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0483,1.7921192646026611,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0843,4.723504066467285,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0358,1.2071527242660522,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.44653348996168907,0.44653348996168907,6.2046,16.117,0.161,,,,,,
63,2.52,0.0278,0.9075178503990173,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0139,0.998369038105011,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.0101,0.4943698048591614,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0127,1.1004064083099365,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.0181,0.8921675086021423,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0456,1.6602798700332642,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0822,1.7445037364959717,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0437,1.5440486669540405,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0148,0.8130972385406494,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0426,2.463961601257324,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0382,1.3747514486312866,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0517,3.2091808319091797,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0343,2.1982574462890625,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.48888888883880477,0.48888888883880477,6.4042,15.615,0.156,,,,,,
76,3.04,0.0131,0.7978492379188538,1.5625e-05,,,,,,,,,,,
77,3.08,0.0104,1.6616127490997314,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.0102,0.6836909055709839,1.5486111111111113e-05,,,,,,,,,,,
79,3.16,0.0148,0.7839276790618896,1.5416666666666668e-05,,,,,,,,,,,
80,3.2,0.0033,0.544830858707428,1.5347222222222226e-05,,,,,,,,,,,
81,3.24,0.0135,0.5496359467506409,1.5277777777777777e-05,,,,,,,,,,,
82,3.28,0.0043,0.45426544547080994,1.5208333333333333e-05,,,,,,,,,,,
83,3.32,0.0059,0.5121865272521973,1.513888888888889e-05,,,,,,,,,,,
84,3.36,0.0221,1.3357354402542114,1.5069444444444446e-05,,,,,,,,,,,
85,3.4,0.0109,2.2801594734191895,1.5000000000000002e-05,,,,,,,,,,,
86,3.44,0.0135,0.9874438643455505,1.4930555555555557e-05,,,,,,,,,,,
87,3.48,0.0104,0.8479175567626953,1.4861111111111113e-05,,,,,,,,,,,
88,3.52,0.0106,0.6217553019523621,1.479166666666667e-05,,,,,,,,,,,
88,3.52,,,,0.5039370078239132,0.5039370078239132,6.1844,16.17,0.162,,,,,,
89,3.56,0.0058,0.7822265028953552,1.4722222222222224e-05,,,,,,,,,,,
90,3.6,0.0012,0.15286804735660553,1.4652777777777779e-05,,,,,,,,,,,
91,3.64,0.0221,1.1128284931182861,1.4583333333333333e-05,,,,,,,,,,,
92,3.68,0.0027,0.2918625771999359,1.451388888888889e-05,,,,,,,,,,,
93,3.72,0.0344,3.056403398513794,1.4444444444444446e-05,,,,,,,,,,,
94,3.76,0.0624,1.9462964534759521,1.4375e-05,,,,,,,,,,,
95,3.8,0.0068,0.8915628790855408,1.4305555555555557e-05,,,,,,,,,,,
96,3.84,0.0522,1.8209654092788696,1.4236111111111113e-05,,,,,,,,,,,
97,3.88,0.0157,1.2352712154388428,1.416666666666667e-05,,,,,,,,,,,
98,3.92,0.0207,1.3616447448730469,1.4097222222222224e-05,,,,,,,,,,,
