step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.0977,19.69209098815918,0.0,,,,,,,,,,,
2,0.04,1.2773,20.78229331970215,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.1045,17.49331283569336,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.1299,21.083019256591797,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.6943,15.424214363098145,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.5527,10.682519912719727,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.4214,9.17369270324707,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.3999,77.60428619384766,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.3416,23.181289672851562,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.3433,11.100614547729492,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.2915,16.460355758666992,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.2291,5.463151931762695,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1796,3.9940719604492188,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1761,6.565418720245361,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1282,4.191654205322266,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1593,5.15193510055542,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.1086,4.617234230041504,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.1122,3.303443193435669,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0705,2.2310056686401367,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0745,2.815561294555664,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1639,4.29467248916626,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0737,2.4219510555267334,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0728,2.094809055328369,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0979,3.370007276535034,2e-05,,,,,,,,,,,
25,0.5,0.0768,1.5891880989074707,2e-05,,,,,,,,,,,
26,0.52,0.0817,2.3934316635131836,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.1102,2.3067243099212646,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0427,1.408715844154358,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0303,1.7297396659851074,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0504,4.199563503265381,1.982638888888889e-05,,,,,,,,,,,
