step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,5.7991,88.22550964355469,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,1.9329,14.593655586242676,9.855208374047785e-06,,,,,,,,,,,
15,0.068,0.6903,9.057164192199707,1.159062442488995e-05,,,,,,,,,,,
20,0.09,0.5741,12.184835433959961,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,0.4229,8.02582836151123,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,0.3691,12.817426681518555,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,0.3541,5.449956893920898,1.521711232078042e-05,,,,,,,,,,,
40,0.18,0.2057,4.761885166168213,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,0.2642,4.813791751861572,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.266,4.324658393859863,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.2009,4.478221893310547,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.3695,8.285015106201172,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.2066,3.0934014320373535,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.2525,6.547634601593018,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.1904,3.2256100177764893,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.2789,7.806816577911377,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.3279,4.953370571136475,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.2099,5.899050235748291,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.2292,5.11768913269043,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.2104,4.974426746368408,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.1643,2.8852365016937256,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.1817,1.718666911125183,1.9984356667970278e-05,,,,,,,,,,,
111,0.5,,,,0.5883597883100683,0.5883597883100683,10.468,311.713,1.624,,,,,,
115,0.518,0.171,4.689123153686523,1.9945248337895972e-05,,,,,,,,,,,
120,0.541,0.1741,6.110183238983154,1.9906140007821667e-05,,,,,,,,,,,
125,0.563,0.1831,4.661901950836182,1.986703167774736e-05,,,,,,,,,,,
130,0.586,0.1548,5.754721641540527,1.9827923347673055e-05,,,,,,,,,,,
135,0.608,0.1814,10.421459197998047,1.978881501759875e-05,,,,,,,,,,,
140,0.631,0.1077,4.486412048339844,1.9749706687524444e-05,,,,,,,,,,,
145,0.653,0.1576,2.519944667816162,1.971059835745014e-05,,,,,,,,,,,
150,0.676,0.2054,6.1830010414123535,1.9671490027375833e-05,,,,,,,,,,,
155,0.698,0.1526,4.034466743469238,1.9632381697301527e-05,,,,,,,,,,,
160,0.721,0.1512,2.421621322631836,1.959327336722722e-05,,,,,,,,,,,
165,0.743,0.0907,3.763984203338623,1.9554165037152916e-05,,,,,,,,,,,
170,0.766,0.1418,3.217818260192871,1.951505670707861e-05,,,,,,,,,,,
175,0.788,0.2256,5.830779075622559,1.9475948377004304e-05,,,,,,,,,,,
180,0.811,0.2217,3.2623043060302734,1.9436840046929995e-05,,,,,,,,,,,
185,0.833,0.1833,3.850430488586426,1.9397731716855693e-05,,,,,,,,,,,
190,0.856,0.1541,5.416801452636719,1.9358623386781384e-05,,,,,,,,,,,
195,0.878,0.1013,1.8084490299224854,1.9319515056707082e-05,,,,,,,,,,,
200,0.901,0.1915,5.028541564941406,1.9280406726632773e-05,,,,,,,,,,,
205,0.923,0.1251,5.913727760314941,1.9241298396558467e-05,,,,,,,,,,,
210,0.946,0.1478,1.4646018743515015,1.9202190066484165e-05,,,,,,,,,,,
215,0.968,0.1824,2.3443164825439453,1.9163081736409856e-05,,,,,,,,,,,
220,0.991,0.1661,3.979153633117676,1.9123973406335553e-05,,,,,,,,,,,
222,1.0,,,,0.5762331838064374,0.5762331838064374,8.9652,363.964,1.896,,,,,,
225,1.014,0.0792,3.026441812515259,1.9084865076261244e-05,,,,,,,,,,,
230,1.036,0.1165,3.512129545211792,1.904575674618694e-05,,,,,,,,,,,
235,1.059,0.0996,2.4048147201538086,1.9006648416112633e-05,,,,,,,,,,,
240,1.081,0.1094,3.833134651184082,1.8967540086038327e-05,,,,,,,,,,,
245,1.104,0.1069,5.133254528045654,1.8928431755964022e-05,,,,,,,,,,,
250,1.126,0.1283,3.4685111045837402,1.8889323425889716e-05,,,,,,,,,,,
255,1.149,0.165,6.726456642150879,1.885021509581541e-05,,,,,,,,,,,
260,1.171,0.1353,1.1793231964111328,1.8811106765741105e-05,,,,,,,,,,,
265,1.194,0.0963,2.4251980781555176,1.87719984356668e-05,,,,,,,,,,,
270,1.216,0.1293,2.0902915000915527,1.873289010559249e-05,,,,,,,,,,,
275,1.239,0.099,5.545464992523193,1.8693781775518188e-05,,,,,,,,,,,
280,1.261,0.1372,1.663869023323059,1.8654673445443882e-05,,,,,,,,,,,
285,1.284,0.1265,7.932621002197266,1.8615565115369576e-05,,,,,,,,,,,
290,1.306,0.0769,1.6479812860488892,1.857645678529527e-05,,,,,,,,,,,
295,1.329,0.1276,3.5473105907440186,1.8537348455220962e-05,,,,,,,,,,,
300,1.351,0.1447,4.443752765655518,1.849824012514666e-05,,,,,,,,,,,
305,1.374,0.1142,4.756580352783203,1.845913179507235e-05,,,,,,,,,,,
310,1.396,0.1258,2.789316177368164,1.8420023464998048e-05,,,,,,,,,,,
315,1.419,0.0915,1.6016263961791992,1.838091513492374e-05,,,,,,,,,,,
320,1.441,0.1128,5.7382025718688965,1.8341806804849433e-05,,,,,,,,,,,
325,1.464,0.1272,2.657759189605713,1.8302698474775128e-05,,,,,,,,,,,
330,1.486,0.1026,2.4326539039611816,1.8263590144700822e-05,,,,,,,,,,,
333,1.5,,,,0.5435294117145849,0.5435294117145849,8.9155,365.991,1.907,,,,,,
335,1.509,0.0844,2.125304698944092,1.8224481814626516e-05,,,,,,,,,,,
340,1.532,0.0693,2.0672805309295654,1.818537348455221e-05,,,,,,,,,,,
345,1.554,0.1409,4.91300630569458,1.8146265154477905e-05,,,,,,,,,,,
350,1.577,0.1173,2.4316420555114746,1.81071568244036e-05,,,,,,,,,,,
355,1.599,0.0819,5.417276859283447,1.8068048494329294e-05,,,,,,,,,,,
360,1.622,0.1025,7.195554733276367,1.8028940164254988e-05,,,,,,,,,,,
365,1.644,0.0677,1.7228220701217651,1.7989831834180682e-05,,,,,,,,,,,
370,1.667,0.1199,7.025454044342041,1.7950723504106377e-05,,,,,,,,,,,
375,1.689,0.1137,2.5847537517547607,1.791161517403207e-05,,,,,,,,,,,
380,1.712,0.1869,3.2983689308166504,1.7872506843957765e-05,,,,,,,,,,,
385,1.734,0.0784,3.029096841812134,1.7833398513883456e-05,,,,,,,,,,,
390,1.757,0.0443,1.7519609928131104,1.7794290183809154e-05,,,,,,,,,,,
395,1.779,0.0568,1.2320822477340698,1.7755181853734845e-05,,,,,,,,,,,
400,1.802,0.128,0.7083438634872437,1.7716073523660543e-05,,,,,,,,,,,
405,1.824,0.0549,2.7122936248779297,1.7676965193586234e-05,,,,,,,,,,,
410,1.847,0.0947,3.8216633796691895,1.7637856863511928e-05,,,,,,,,,,,
415,1.869,0.1132,2.547240734100342,1.7598748533437622e-05,,,,,,,,,,,
420,1.892,0.0584,2.46551251411438,1.7559640203363317e-05,,,,,,,,,,,
425,1.914,0.0788,1.8978432416915894,1.7520531873289015e-05,,,,,,,,,,,
430,1.937,0.1309,2.2521278858184814,1.7481423543214705e-05,,,,,,,,,,,
435,1.959,0.1523,2.8467509746551514,1.74423152131404e-05,,,,,,,,,,,
440,1.982,0.0939,2.955265760421753,1.7403206883066094e-05,,,,,,,,,,,
444,2.0,,,,0.46750524104053415,0.46750524104053415,8.9882,363.03,1.891,,,,,,
445,2.005,0.1152,2.2320330142974854,1.736409855299179e-05,,,,,,,,,,,
450,2.027,0.0579,1.6355059146881104,1.7324990222917483e-05,,,,,,,,,,,
455,2.05,0.0765,4.111917972564697,1.7285881892843177e-05,,,,,,,,,,,
460,2.072,0.0809,4.249380588531494,1.724677356276887e-05,,,,,,,,,,,
465,2.095,0.0654,0.6067007780075073,1.7207665232694566e-05,,,,,,,,,,,
470,2.117,0.0281,0.04767234995961189,1.716855690262026e-05,,,,,,,,,,,
475,2.14,0.0686,0.8629345297813416,1.7129448572545955e-05,,,,,,,,,,,
480,2.162,0.0754,2.09755539894104,1.709034024247165e-05,,,,,,,,,,,
485,2.185,0.048,1.1784205436706543,1.705123191239734e-05,,,,,,,,,,,
490,2.207,0.1157,2.9397943019866943,1.7012123582323038e-05,,,,,,,,,,,
495,2.23,0.0828,1.6637866497039795,1.697301525224873e-05,,,,,,,,,,,
500,2.252,0.0928,2.214888095855713,1.6933906922174423e-05,,,,,,,,,,,
505,2.275,0.067,3.192025661468506,1.689479859210012e-05,,,,,,,,,,,
510,2.297,0.0911,4.04487943649292,1.685569026202581e-05,,,,,,,,,,,
515,2.32,0.1401,1.2531951665878296,1.681658193195151e-05,,,,,,,,,,,
520,2.342,0.0543,0.4673501253128052,1.67774736018772e-05,,,,,,,,,,,
525,2.365,0.0445,2.2016894817352295,1.6738365271802895e-05,,,,,,,,,,,
530,2.387,0.0937,2.1441445350646973,1.669925694172859e-05,,,,,,,,,,,
535,2.41,0.0754,1.6309032440185547,1.6660148611654283e-05,,,,,,,,,,,
540,2.432,0.0767,1.5104069709777832,1.6621040281579978e-05,,,,,,,,,,,
545,2.455,0.0744,1.9531697034835815,1.6581931951505672e-05,,,,,,,,,,,
550,2.477,0.0854,3.828202962875366,1.6542823621431366e-05,,,,,,,,,,,
555,2.5,0.0777,1.9905292987823486,1.650371529135706e-05,,,,,,,,,,,
555,2.5,,,,0.6364617043729933,0.6364617043729933,8.9947,362.77,1.89,,,,,,
560,2.523,0.0759,1.050443410873413,1.6464606961282755e-05,,,,,,,,,,,
565,2.545,0.0634,1.6647182703018188,1.642549863120845e-05,,,,,,,,,,,
570,2.568,0.0454,1.664557695388794,1.6386390301134144e-05,,,,,,,,,,,
575,2.59,0.0635,2.0592451095581055,1.6347281971059838e-05,,,,,,,,,,,
580,2.613,0.0592,2.2892003059387207,1.6308173640985532e-05,,,,,,,,,,,
585,2.635,0.048,2.5472023487091064,1.6269065310911227e-05,,,,,,,,,,,
590,2.658,0.0593,0.818410336971283,1.622995698083692e-05,,,,,,,,,,,
595,2.68,0.0846,3.2813539505004883,1.6190848650762615e-05,,,,,,,,,,,
600,2.703,0.0686,1.0657211542129517,1.6151740320688306e-05,,,,,,,,,,,
605,2.725,0.0281,0.3892262876033783,1.6112631990614004e-05,,,,,,,,,,,
610,2.748,0.0441,0.6024071574211121,1.6073523660539695e-05,,,,,,,,,,,
615,2.77,0.0462,3.8077635765075684,1.603441533046539e-05,,,,,,,,,,,
620,2.793,0.1097,2.353151559829712,1.5995307000391084e-05,,,,,,,,,,,
625,2.815,0.0439,0.7856864929199219,1.5956198670316778e-05,,,,,,,,,,,
630,2.838,0.0846,2.442715644836426,1.5917090340242472e-05,,,,,,,,,,,
635,2.86,0.0789,2.819070339202881,1.5877982010168167e-05,,,,,,,,,,,
640,2.883,0.0708,2.0975542068481445,1.583887368009386e-05,,,,,,,,,,,
645,2.905,0.0777,0.5815772414207458,1.5799765350019555e-05,,,,,,,,,,,
650,2.928,0.0897,2.874835729598999,1.576065701994525e-05,,,,,,,,,,,
655,2.95,0.0384,0.5693299174308777,1.5721548689870944e-05,,,,,,,,,,,
660,2.973,0.0537,0.621362566947937,1.5682440359796638e-05,,,,,,,,,,,
665,2.995,0.0815,0.3789098262786865,1.5643332029722333e-05,,,,,,,,,,,
666,3.0,,,,0.6456361724003746,0.6456361724003746,9.2897,351.249,1.83,,,,,,
670,3.018,0.0517,1.1776310205459595,1.5604223699648027e-05,,,,,,,,,,,
675,3.041,0.0239,0.6828417181968689,1.556511536957372e-05,,,,,,,,,,,
680,3.063,0.0372,0.6310999393463135,1.5526007039499416e-05,,,,,,,,,,,
685,3.086,0.0618,0.9785818457603455,1.548689870942511e-05,,,,,,,,,,,
690,3.108,0.0617,8.45080280303955,1.54477903793508e-05,,,,,,,,,,,
695,3.131,0.1047,2.0080604553222656,1.54086820492765e-05,,,,,,,,,,,
700,3.153,0.0776,1.6126741170883179,1.536957371920219e-05,,,,,,,,,,,
705,3.176,0.046,0.24456800520420074,1.5330465389127887e-05,,,,,,,,,,,
710,3.198,0.0905,0.9234213829040527,1.5291357059053578e-05,,,,,,,,,,,
715,3.221,0.0435,1.9020543098449707,1.5252248728979273e-05,,,,,,,,,,,
720,3.243,0.0274,1.4317487478256226,1.5213140398904969e-05,,,,,,,,,,,
725,3.266,0.0499,1.765404224395752,1.5174032068830661e-05,,,,,,,,,,,
730,3.288,0.0456,0.7359662055969238,1.5134923738756356e-05,,,,,,,,,,,
735,3.311,0.0434,1.629681944847107,1.509581540868205e-05,,,,,,,,,,,
740,3.333,0.0205,0.9938567280769348,1.5056707078607744e-05,,,,,,,,,,,
745,3.356,0.0362,7.460892677307129,1.501759874853344e-05,,,,,,,,,,,
750,3.378,0.0268,0.5465880036354065,1.4978490418459133e-05,,,,,,,,,,,
755,3.401,0.0573,0.24763984978199005,1.4939382088384826e-05,,,,,,,,,,,
760,3.423,0.0437,2.041501998901367,1.4900273758310522e-05,,,,,,,,,,,
765,3.446,0.0741,2.4939541816711426,1.4861165428236214e-05,,,,,,,,,,,
770,3.468,0.0392,0.757896363735199,1.482205709816191e-05,,,,,,,,,,,
775,3.491,0.0331,1.8113802671432495,1.4782948768087605e-05,,,,,,,,,,,
777,3.5,,,,0.6520307354055569,0.6520307354055569,9.0566,360.288,1.877,,,,,,
780,3.514,0.0099,1.5475860834121704,1.4743840438013297e-05,,,,,,,,,,,
785,3.536,0.0516,0.443554550409317,1.4704732107938993e-05,,,,,,,,,,,
790,3.559,0.0308,0.6659581065177917,1.4665623777864686e-05,,,,,,,,,,,
795,3.581,0.0433,0.22382278740406036,1.4626515447790382e-05,,,,,,,,,,,
800,3.604,0.0732,5.965518951416016,1.4587407117716075e-05,,,,,,,,,,,
805,3.626,0.0391,0.8537324666976929,1.4548298787641767e-05,,,,,,,,,,,
810,3.649,0.0274,0.29059043526649475,1.4509190457567463e-05,,,,,,,,,,,
815,3.671,0.0375,1.200020432472229,1.4470082127493158e-05,,,,,,,,,,,
820,3.694,0.0475,0.7623578906059265,1.4430973797418852e-05,,,,,,,,,,,
825,3.716,0.0671,0.31144988536834717,1.4391865467344546e-05,,,,,,,,,,,
830,3.739,0.0394,0.5118061900138855,1.4352757137270239e-05,,,,,,,,,,,
835,3.761,0.0605,1.3722736835479736,1.4313648807195935e-05,,,,,,,,,,,
840,3.784,0.0528,1.7736929655075073,1.4274540477121628e-05,,,,,,,,,,,
845,3.806,0.0544,1.091812014579773,1.4235432147047324e-05,,,,,,,,,,,
850,3.829,0.055,1.2491650581359863,1.4196323816973016e-05,,,,,,,,,,,
855,3.851,0.0297,0.616360604763031,1.415721548689871e-05,,,,,,,,,,,
860,3.874,0.0274,3.338453769683838,1.4118107156824405e-05,,,,,,,,,,,
865,3.896,0.0949,2.9228310585021973,1.40789988267501e-05,,,,,,,,,,,
870,3.919,0.0509,1.8257356882095337,1.4039890496675792e-05,,,,,,,,,,,
875,3.941,0.0588,1.434712290763855,1.4000782166601488e-05,,,,,,,,,,,
880,3.964,0.0641,1.6314219236373901,1.396167383652718e-05,,,,,,,,,,,
885,3.986,0.0396,0.3557818531990051,1.3922565506452877e-05,,,,,,,,,,,
888,4.0,,,,0.6313559321536519,0.6313559321536519,8.9469,364.707,1.9,,,,,,
890,4.009,0.0382,0.2832615375518799,1.388345717637857e-05,,,,,,,,,,,
895,4.032,0.0236,0.46543461084365845,1.3844348846304264e-05,,,,,,,,,,,
900,4.054,0.043,4.909448146820068,1.3805240516229958e-05,,,,,,,,,,,
905,4.077,0.0255,0.35383641719818115,1.3766132186155652e-05,,,,,,,,,,,
910,4.099,0.0203,0.4633868932723999,1.3727023856081347e-05,,,,,,,,,,,
915,4.122,0.053,0.7870887517929077,1.3687915526007041e-05,,,,,,,,,,,
920,4.144,0.0054,0.049704086035490036,1.3648807195932734e-05,,,,,,,,,,,
925,4.167,0.0071,0.0752454549074173,1.360969886585843e-05,,,,,,,,,,,
930,4.189,0.0211,2.4870975017547607,1.3570590535784122e-05,,,,,,,,,,,
935,4.212,0.0293,0.4617760479450226,1.3531482205709818e-05,,,,,,,,,,,
940,4.234,0.0707,2.6320152282714844,1.3492373875635511e-05,,,,,,,,,,,
945,4.257,0.0896,1.3756110668182373,1.3453265545561205e-05,,,,,,,,,,,
950,4.279,0.0603,1.5013922452926636,1.34141572154869e-05,,,,,,,,,,,
955,4.302,0.052,1.6599504947662354,1.3375048885412594e-05,,,,,,,,,,,
960,4.324,0.0272,0.5411431193351746,1.333594055533829e-05,,,,,,,,,,,
