step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,0.9893,18.081653594970703,6.655682788551919e-06,,,,,,,,,,,
10,0.038,0.4586,3.672513723373413,9.522129343553784e-06,,,,,,,,,,,
15,0.057,0.1699,81.79603576660156,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,0.1016,2.1421754360198975,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,0.0458,0.8015733361244202,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.0434,2.156970262527466,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.038,0.6944841146469116,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.0285,0.7358923554420471,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.0187,0.5358738303184509,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.015,0.5932081341743469,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.0144,0.7123289108276367,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.013,0.4999683201313019,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.0123,0.5980863571166992,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.0104,0.16383443772792816,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.0115,0.5682207345962524,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.0091,0.35069137811660767,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.0074,0.23128698766231537,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.0076,0.20437324047088623,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.0074,0.222972109913826,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.0067,0.2070673704147339,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.0063,0.1491784304380417,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.0053,0.23325087130069733,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.0044,0.091038279235363,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.0049,0.08337296545505524,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.0049,0.13830140233039856,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.0089,0.26674604415893555,1.9980119284294236e-05,,,,,,,,,,,
131,0.5,,,,0.4168582374981649,0.4168582374981649,133.8039,32.966,0.172,,,,,,
