step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.041,1.1293,18.610252380371094,7.861760963081327e-06,,,,,,,,,,,
10,0.081,0.5825,5.85689640045166,1.1247637115056958e-05,,,,,,,,,,,
15,0.122,0.1611,1.4474421739578247,1.3228247696048747e-05,,,,,,,,,,,
20,0.163,0.086,1.9528846740722656,1.4633513267032583e-05,,,,,,,,,,,
25,0.203,0.0658,1.6492723226547241,1.5723521926162654e-05,,,,,,,,,,,
30,0.244,0.0528,0.5677939057350159,1.6614123848024376e-05,,,,,,,,,,,
35,0.285,0.0499,1.2967259883880615,1.736711704380757e-05,,,,,,,,,,,
40,0.325,0.0463,1.0128405094146729,1.8019389419008214e-05,,,,,,,,,,,
45,0.366,0.0429,0.37848982214927673,1.8594734429016163e-05,,,,,,,,,,,
50,0.407,0.038,0.308126300573349,1.9109398078138283e-05,,,,,,,,,,,
55,0.447,0.0347,0.38068705797195435,1.9574967980015803e-05,,,,,,,,,,,
60,0.488,0.0306,0.2861098051071167,2e-05,,,,,,,,,,,
62,0.504,,,,0.017467248904859428,0.017467248904859428,122.9556,34.012,0.171,,,,,,
65,0.528,0.0345,0.6339774131774902,1.9943502824858758e-05,,,,,,,,,,,
70,0.569,0.0314,1.263308048248291,1.9872881355932205e-05,,,,,,,,,,,
75,0.61,0.0273,0.32499629259109497,1.980225988700565e-05,,,,,,,,,,,
80,0.65,0.023,0.3770148754119873,1.9731638418079098e-05,,,,,,,,,,,
85,0.691,0.0247,0.937960684299469,1.9661016949152545e-05,,,,,,,,,,,
90,0.732,0.0234,0.5260061621665955,1.959039548022599e-05,,,,,,,,,,,
95,0.772,0.0233,0.537967324256897,1.9519774011299438e-05,,,,,,,,,,,
100,0.813,0.0189,0.45263728499412537,1.944915254237288e-05,,,,,,,,,,,
105,0.854,0.0178,0.16504834592342377,1.937853107344633e-05,,,,,,,,,,,
110,0.894,0.0187,0.5811152458190918,1.9307909604519777e-05,,,,,,,,,,,
115,0.935,0.0199,0.21712726354599,1.923728813559322e-05,,,,,,,,,,,
120,0.976,0.0196,0.3704136312007904,1.916666666666667e-05,,,,,,,,,,,
123,1.0,,,,0.2506224065896865,0.2506224065896865,138.7145,30.148,0.151,,,,,,
125,1.016,0.0162,0.19314166903495789,1.9096045197740114e-05,,,,,,,,,,,
130,1.057,0.0132,0.1708679050207138,1.902542372881356e-05,,,,,,,,,,,
135,1.098,0.0115,0.23395715653896332,1.8954802259887007e-05,,,,,,,,,,,
140,1.138,0.0153,0.6195113062858582,1.8884180790960454e-05,,,,,,,,,,,
145,1.179,0.0138,0.39807021617889404,1.88135593220339e-05,,,,,,,,,,,
150,1.22,0.0122,0.1486603319644928,1.8742937853107347e-05,,,,,,,,,,,
155,1.26,0.0134,0.31576117873191833,1.8672316384180793e-05,,,,,,,,,,,
160,1.301,0.0117,0.8341569304466248,1.8601694915254237e-05,,,,,,,,,,,
165,1.341,0.0138,1.1634948253631592,1.8531073446327686e-05,,,,,,,,,,,
170,1.382,0.0143,0.6133046746253967,1.846045197740113e-05,,,,,,,,,,,
175,1.423,0.0122,0.208408385515213,1.8389830508474576e-05,,,,,,,,,,,
180,1.463,0.012,0.5885741114616394,1.8319209039548026e-05,,,,,,,,,,,
184,1.496,,,,0.2337662337176185,0.2337662337176185,145.1799,28.806,0.145,,,,,,
185,1.504,0.0124,0.34051230549812317,1.824858757062147e-05,,,,,,,,,,,
190,1.545,0.0107,0.2432166039943695,1.8177966101694916e-05,,,,,,,,,,,
195,1.585,0.0109,0.17249752581119537,1.8107344632768363e-05,,,,,,,,,,,
200,1.626,0.0132,0.5573429465293884,1.803672316384181e-05,,,,,,,,,,,
205,1.667,0.0116,0.243107870221138,1.7966101694915256e-05,,,,,,,,,,,
210,1.707,0.0107,0.17423631250858307,1.7895480225988702e-05,,,,,,,,,,,
215,1.748,0.0107,0.47087445855140686,1.782485875706215e-05,,,,,,,,,,,
220,1.789,0.0118,0.4359342157840729,1.7754237288135596e-05,,,,,,,,,,,
225,1.829,0.0099,0.244196817278862,1.7683615819209042e-05,,,,,,,,,,,
230,1.87,0.01,0.25491058826446533,1.7612994350282485e-05,,,,,,,,,,,
235,1.911,0.0107,0.27800384163856506,1.7542372881355932e-05,,,,,,,,,,,
240,1.951,0.0085,0.6498095393180847,1.7471751412429382e-05,,,,,,,,,,,
245,1.992,0.0093,0.38115882873535156,1.7401129943502825e-05,,,,,,,,,,,
246,2.0,,,,0.4492652203839598,0.4492652203839598,155.9898,26.809,0.135,,,,,,
250,2.033,0.0074,0.13486438989639282,1.733050847457627e-05,,,,,,,,,,,
255,2.073,0.0089,0.2061004787683487,1.7259887005649718e-05,,,,,,,,,,,
260,2.114,0.0082,0.4610061049461365,1.7189265536723165e-05,,,,,,,,,,,
265,2.154,0.0081,0.2709328532218933,1.711864406779661e-05,,,,,,,,,,,
270,2.195,0.0074,0.20685216784477234,1.7048022598870058e-05,,,,,,,,,,,
275,2.236,0.0067,0.19994385540485382,1.6977401129943505e-05,,,,,,,,,,,
280,2.276,0.0061,0.1754707247018814,1.690677966101695e-05,,,,,,,,,,,
285,2.317,0.0059,0.2646050453186035,1.6836158192090398e-05,,,,,,,,,,,
290,2.358,0.0061,0.18060016632080078,1.676553672316384e-05,,,,,,,,,,,
295,2.398,0.0063,0.20187388360500336,1.669491525423729e-05,,,,,,,,,,,
300,2.439,0.0081,0.31953561305999756,1.6624293785310737e-05,,,,,,,,,,,
305,2.48,0.0071,0.5566636919975281,1.655367231638418e-05,,,,,,,,,,,
308,2.504,,,,0.38053740009520715,0.38053740009520715,140.3571,29.795,0.15,,,,,,
310,2.52,0.0071,0.10863102972507477,1.648305084745763e-05,,,,,,,,,,,
315,2.561,0.0062,0.45835360884666443,1.6412429378531074e-05,,,,,,,,,,,
320,2.602,0.0065,0.15723314881324768,1.634180790960452e-05,,,,,,,,,,,
325,2.642,0.0059,0.0943288654088974,1.6271186440677967e-05,,,,,,,,,,,
330,2.683,0.0063,0.3618166744709015,1.6200564971751414e-05,,,,,,,,,,,
335,2.724,0.0056,0.14924660325050354,1.612994350282486e-05,,,,,,,,,,,
340,2.764,0.0057,0.28040674328804016,1.6059322033898307e-05,,,,,,,,,,,
345,2.805,0.0063,0.11176331341266632,1.5988700564971753e-05,,,,,,,,,,,
350,2.846,0.004,0.11308969557285309,1.5918079096045196e-05,,,,,,,,,,,
355,2.886,0.0048,0.15435220301151276,1.5847457627118646e-05,,,,,,,,,,,
360,2.927,0.004,0.11623404175043106,1.5776836158192093e-05,,,,,,,,,,,
365,2.967,0.004,0.17560958862304688,1.5706214689265536e-05,,,,,,,,,,,
369,3.0,,,,0.43013899044006915,0.43013899044006915,143.0485,29.235,0.147,,,,,,
370,3.008,0.0074,0.341635137796402,1.5635593220338986e-05,,,,,,,,,,,
375,3.049,0.0097,0.154790461063385,1.556497175141243e-05,,,,,,,,,,,
380,3.089,0.0038,0.11957796663045883,1.5494350282485876e-05,,,,,,,,,,,
385,3.13,0.0035,0.20152902603149414,1.5423728813559326e-05,,,,,,,,,,,
390,3.171,0.004,0.15487031638622284,1.535310734463277e-05,,,,,,,,,,,
395,3.211,0.0043,0.1287750005722046,1.5282485875706216e-05,,,,,,,,,,,
400,3.252,0.0046,0.19515731930732727,1.5211864406779662e-05,,,,,,,,,,,
405,3.293,0.005,0.23693454265594482,1.5141242937853109e-05,,,,,,,,,,,
410,3.333,0.0051,0.13404245674610138,1.5070621468926554e-05,,,,,,,,,,,
415,3.374,0.0048,0.2010023444890976,1.5000000000000002e-05,,,,,,,,,,,
420,3.415,0.0042,0.13736024498939514,1.4929378531073449e-05,,,,,,,,,,,
425,3.455,0.0042,0.19314944744110107,1.4858757062146894e-05,,,,,,,,,,,
430,3.496,0.0036,0.16262251138687134,1.478813559322034e-05,,,,,,,,,,,
430,3.496,,,,0.4590395479726427,0.4590395479726427,139.3866,30.003,0.151,,,,,,
435,3.537,0.0031,0.07560418546199799,1.4717514124293785e-05,,,,,,,,,,,
440,3.577,0.0033,0.10365741699934006,1.4646892655367233e-05,,,,,,,,,,,
445,3.618,0.0042,0.25437283515930176,1.4576271186440678e-05,,,,,,,,,,,
450,3.659,0.0033,0.17245006561279297,1.4505649717514125e-05,,,,,,,,,,,
455,3.699,0.0031,0.19283822178840637,1.4435028248587573e-05,,,,,,,,,,,
460,3.74,0.0037,0.29915720224380493,1.4364406779661018e-05,,,,,,,,,,,
465,3.78,0.004,0.2782335579395294,1.4293785310734465e-05,,,,,,,,,,,
470,3.821,0.0032,0.7101086378097534,1.422316384180791e-05,,,,,,,,,,,
475,3.862,0.0039,0.3470141589641571,1.4152542372881358e-05,,,,,,,,,,,
480,3.902,0.0046,0.2226882129907608,1.4081920903954804e-05,,,,,,,,,,,
485,3.943,0.0036,0.36376985907554626,1.4011299435028249e-05,,,,,,,,,,,
490,3.984,0.0043,0.1407967507839203,1.3940677966101697e-05,,,,,,,,,,,
