step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,1.1009,17.86691665649414,6.655682788551919e-06,,,,,,,,,,,
10,0.038,0.554,4.1403679847717285,9.522129343553784e-06,,,,,,,,,,,
15,0.057,0.1496,2.084759473800659,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,0.076,1.4706519842147827,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,0.0531,1.3678151369094849,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.0489,1.2326818704605103,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.0486,0.8673171401023865,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.0375,1.0141873359680176,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.0379,0.5560811161994934,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.0342,0.3902095854282379,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.0317,0.3862171471118927,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.0307,0.32433030009269714,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.0288,0.5309874415397644,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.0266,1.7370805740356445,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.0304,0.7579951286315918,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.0271,0.6537446975708008,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.0224,0.30600506067276,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.0231,0.7260124683380127,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.0211,0.2795272469520569,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.0208,0.25870445370674133,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.0184,0.6093940734863281,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.0179,0.40280047059059143,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.0172,0.18089669942855835,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.0189,0.3468402624130249,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.0175,0.4077724814414978,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.0177,0.3947194218635559,1.9980119284294236e-05,,,,,,,,,,,
131,0.5,,,,0.23261250726013674,0.23261250726013674,151.3373,29.147,0.152,,,,,,
135,0.515,0.0159,0.8018444776535034,1.994698475811796e-05,,,,,,,,,,,
140,0.534,0.0205,0.4108317792415619,1.9913850231941686e-05,,,,,,,,,,,
145,0.553,0.0151,0.25238534808158875,1.988071570576541e-05,,,,,,,,,,,
150,0.573,0.0142,0.4239022135734558,1.9847581179589133e-05,,,,,,,,,,,
155,0.592,0.0131,0.162272647023201,1.9814446653412858e-05,,,,,,,,,,,
160,0.611,0.013,0.15086348354816437,1.9781312127236583e-05,,,,,,,,,,,
165,0.63,0.0157,0.2177455574274063,1.9748177601060304e-05,,,,,,,,,,,
170,0.649,0.0154,0.7989112138748169,1.971504307488403e-05,,,,,,,,,,,
175,0.668,0.0126,0.47663217782974243,1.9681908548707754e-05,,,,,,,,,,,
180,0.687,0.0123,0.3320535719394684,1.964877402253148e-05,,,,,,,,,,,
185,0.706,0.0119,0.847428023815155,1.9615639496355204e-05,,,,,,,,,,,
190,0.725,0.015,0.7649021744728088,1.958250497017893e-05,,,,,,,,,,,
195,0.744,0.0123,0.5168801546096802,1.9549370444002654e-05,,,,,,,,,,,
200,0.763,0.0112,0.22134891152381897,1.9516235917826376e-05,,,,,,,,,,,
205,0.782,0.012,0.2935027778148651,1.94831013916501e-05,,,,,,,,,,,
210,0.802,0.0104,0.1512792408466339,1.9449966865473826e-05,,,,,,,,,,,
215,0.821,0.0114,0.23238128423690796,1.9416832339297547e-05,,,,,,,,,,,
220,0.84,0.0131,0.5246824622154236,1.9383697813121272e-05,,,,,,,,,,,
225,0.859,0.0106,0.14364154636859894,1.9350563286944997e-05,,,,,,,,,,,
230,0.878,0.0111,0.18956393003463745,1.9317428760768722e-05,,,,,,,,,,,
235,0.897,0.0104,0.13628804683685303,1.9284294234592447e-05,,,,,,,,,,,
240,0.916,0.0094,0.1691359132528305,1.9251159708416172e-05,,,,,,,,,,,
245,0.935,0.0084,0.1902916133403778,1.9218025182239894e-05,,,,,,,,,,,
250,0.954,0.0077,0.18981632590293884,1.918489065606362e-05,,,,,,,,,,,
255,0.973,0.0084,0.33146771788597107,1.9151756129887344e-05,,,,,,,,,,,
260,0.992,0.007,0.148192897439003,1.911862160371107e-05,,,,,,,,,,,
262,1.0,,,,0.4992050873904158,0.4992050873904158,137.8629,31.996,0.167,,,,,,
265,1.011,0.0079,0.25554925203323364,1.9085487077534794e-05,,,,,,,,,,,
270,1.031,0.0072,0.17240142822265625,1.905235255135852e-05,,,,,,,,,,,
275,1.05,0.0066,0.31500157713890076,1.9019218025182244e-05,,,,,,,,,,,
280,1.069,0.0072,0.44217824935913086,1.8986083499005965e-05,,,,,,,,,,,
285,1.088,0.0075,0.6777505278587341,1.895294897282969e-05,,,,,,,,,,,
290,1.107,0.0087,0.14620883762836456,1.8919814446653415e-05,,,,,,,,,,,
295,1.126,0.0113,0.24794796109199524,1.8886679920477137e-05,,,,,,,,,,,
300,1.145,0.0108,0.15099316835403442,1.8853545394300862e-05,,,,,,,,,,,
305,1.164,0.0082,0.1993577927350998,1.8820410868124587e-05,,,,,,,,,,,
310,1.183,0.0068,1.12111496925354,1.8787276341948312e-05,,,,,,,,,,,
315,1.202,0.0074,0.1446882039308548,1.8754141815772037e-05,,,,,,,,,,,
320,1.221,0.0076,0.44118353724479675,1.8721007289595762e-05,,,,,,,,,,,
325,1.24,0.007,0.13295669853687286,1.8687872763419487e-05,,,,,,,,,,,
330,1.26,0.0068,0.7167773246765137,1.865473823724321e-05,,,,,,,,,,,
335,1.279,0.0069,0.20096510648727417,1.8621603711066934e-05,,,,,,,,,,,
340,1.298,0.0072,0.3586718738079071,1.858846918489066e-05,,,,,,,,,,,
345,1.317,0.0074,0.4295481741428375,1.855533465871438e-05,,,,,,,,,,,
350,1.336,0.0053,0.15152761340141296,1.8522200132538105e-05,,,,,,,,,,,
355,1.355,0.0055,0.2988625764846802,1.848906560636183e-05,,,,,,,,,,,
360,1.374,0.0059,0.16215041279792786,1.8455931080185555e-05,,,,,,,,,,,
365,1.393,0.006,0.12843257188796997,1.842279655400928e-05,,,,,,,,,,,
