step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.2281,13.33053207397461,7.927400573059717e-06,,,,,,,,,,,
10,0.084,0.4618,4.735991477966309,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.2108,2.169451951980591,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.0894,4.823044776916504,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.0689,1.8969889879226685,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.061,1.166716456413269,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.0504,1.0495084524154663,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.0439,0.5883694887161255,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.0463,0.4298689365386963,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.0428,0.6464555859565735,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.0432,0.8332380056381226,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.0398,0.5081074833869934,1.9985401459854017e-05,,,,,,,,,,,
60,0.504,,,,0.013303769395725685,0.013303769395725685,98.927,35.097,0.182,,,,,,
65,0.546,0.0371,0.775962769985199,1.9912408759124088e-05,,,,,,,,,,,
70,0.588,0.0376,0.36123713850975037,1.9839416058394162e-05,,,,,,,,,,,
75,0.63,0.0324,0.399287611246109,1.9766423357664237e-05,,,,,,,,,,,
80,0.672,0.0274,0.6942115426063538,1.969343065693431e-05,,,,,,,,,,,
85,0.714,0.0298,0.5540953278541565,1.962043795620438e-05,,,,,,,,,,,
90,0.756,0.0266,0.9998916983604431,1.9547445255474453e-05,,,,,,,,,,,
95,0.798,0.025,0.48395615816116333,1.9474452554744527e-05,,,,,,,,,,,
100,0.84,0.0237,0.5753418207168579,1.9401459854014598e-05,,,,,,,,,,,
105,0.882,0.0194,0.5630214810371399,1.9328467153284672e-05,,,,,,,,,,,
110,0.924,0.0217,0.28450897336006165,1.9255474452554746e-05,,,,,,,,,,,
115,0.966,0.0208,0.37874075770378113,1.918248175182482e-05,,,,,,,,,,,
119,1.0,,,,0.22011385194379413,0.22011385194379413,113.4825,30.595,0.159,,,,,,
120,1.008,0.0181,0.29916834831237793,1.910948905109489e-05,,,,,,,,,,,
125,1.05,0.0174,0.5993767380714417,1.9036496350364966e-05,,,,,,,,,,,
130,1.092,0.0159,0.2634229362010956,1.8963503649635036e-05,,,,,,,,,,,
135,1.134,0.0166,0.787205696105957,1.889051094890511e-05,,,,,,,,,,,
140,1.176,0.0154,0.39413896203041077,1.8817518248175185e-05,,,,,,,,,,,
145,1.218,0.0129,0.1702602058649063,1.874452554744526e-05,,,,,,,,,,,
150,1.261,0.0129,0.3396094739437103,1.867153284671533e-05,,,,,,,,,,,
155,1.303,0.0123,0.2838558852672577,1.85985401459854e-05,,,,,,,,,,,
160,1.345,0.0139,0.5133807063102722,1.8525547445255475e-05,,,,,,,,,,,
165,1.387,0.0126,0.5975197553634644,1.845255474452555e-05,,,,,,,,,,,
170,1.429,0.0133,0.5537750124931335,1.8379562043795624e-05,,,,,,,,,,,
175,1.471,0.0133,0.3367810547351837,1.8306569343065695e-05,,,,,,,,,,,
178,1.496,,,,0.4954545454044339,0.4954545454044339,113.8942,30.484,0.158,,,,,,
180,1.513,0.0128,0.3332649767398834,1.823357664233577e-05,,,,,,,,,,,
185,1.555,0.0115,0.40162259340286255,1.816058394160584e-05,,,,,,,,,,,
190,1.597,0.0117,0.3365997076034546,1.8087591240875914e-05,,,,,,,,,,,
195,1.639,0.0107,0.26858431100845337,1.801459854014599e-05,,,,,,,,,,,
200,1.681,0.0155,1.3937156200408936,1.794160583941606e-05,,,,,,,,,,,
205,1.723,0.0136,0.5170882344245911,1.7868613138686133e-05,,,,,,,,,,,
210,1.765,0.0132,0.4379965364933014,1.7795620437956204e-05,,,,,,,,,,,
215,1.807,0.0115,0.2713433802127838,1.772262773722628e-05,,,,,,,,,,,
220,1.849,0.0117,0.31361040472984314,1.764963503649635e-05,,,,,,,,,,,
225,1.891,0.0146,0.7928208112716675,1.7576642335766424e-05,,,,,,,,,,,
230,1.933,0.0147,0.4573654234409332,1.7503649635036498e-05,,,,,,,,,,,
235,1.975,0.0099,0.49466538429260254,1.7430656934306572e-05,,,,,,,,,,,
238,2.0,,,,0.5092896174363184,0.5092896174363184,111.8124,31.052,0.161,,,,,,
240,2.017,0.0106,0.2746846675872803,1.7357664233576643e-05,,,,,,,,,,,
245,2.059,0.0115,0.3474063575267792,1.7284671532846717e-05,,,,,,,,,,,
250,2.101,0.01,0.7806558012962341,1.7211678832116788e-05,,,,,,,,,,,
255,2.143,0.0091,0.44649264216423035,1.7138686131386862e-05,,,,,,,,,,,
260,2.185,0.008,0.30477529764175415,1.7065693430656937e-05,,,,,,,,,,,
265,2.227,0.0074,0.4101068675518036,1.699270072992701e-05,,,,,,,,,,,
270,2.269,0.0085,0.2189168483018875,1.6919708029197082e-05,,,,,,,,,,,
275,2.311,0.0088,0.22141526639461517,1.6846715328467153e-05,,,,,,,,,,,
280,2.353,0.0077,0.14207832515239716,1.6773722627737227e-05,,,,,,,,,,,
285,2.395,0.0068,0.17979033291339874,1.67007299270073e-05,,,,,,,,,,,
290,2.437,0.0066,0.2762240767478943,1.6627737226277376e-05,,,,,,,,,,,
295,2.479,0.0065,0.22773362696170807,1.6554744525547446e-05,,,,,,,,,,,
298,2.504,,,,0.5411499435800998,0.5411499435800998,118.9319,29.193,0.151,,,,,,
300,2.521,0.0067,0.1387687772512436,1.648175182481752e-05,,,,,,,,,,,
305,2.563,0.0059,0.15940234065055847,1.640875912408759e-05,,,,,,,,,,,
310,2.605,0.0066,0.4433457553386688,1.6335766423357666e-05,,,,,,,,,,,
315,2.647,0.0085,0.24103374779224396,1.6262773722627737e-05,,,,,,,,,,,
320,2.689,0.0112,0.3048589527606964,1.618978102189781e-05,,,,,,,,,,,
325,2.731,0.0075,0.23641613125801086,1.6116788321167885e-05,,,,,,,,,,,
330,2.773,0.0092,0.22476984560489655,1.604379562043796e-05,,,,,,,,,,,
335,2.815,0.01,0.5439527630805969,1.597080291970803e-05,,,,,,,,,,,
340,2.857,0.0094,0.3437866270542145,1.58978102189781e-05,,,,,,,,,,,
345,2.899,0.0093,0.24925079941749573,1.5824817518248175e-05,,,,,,,,,,,
350,2.941,0.0081,0.11740906536579132,1.575182481751825e-05,,,,,,,,,,,
355,2.983,0.0076,0.5033560991287231,1.5678832116788324e-05,,,,,,,,,,,
357,3.0,,,,0.5441020190787096,0.5441020190787096,119.316,29.099,0.151,,,,,,
360,3.025,0.0056,0.11960136890411377,1.5605839416058395e-05,,,,,,,,,,,
365,3.067,0.0058,0.25701940059661865,1.553284671532847e-05,,,,,,,,,,,
