step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,2.1556,25.075048446655273,5.768873987190341e-06,,,,,,,,,,,
10,0.018,0.9757,26.26956558227539,8.253392779952611e-06,,,,,,,,,,,
15,0.027,0.28,5.92122220993042,9.706743106055534e-06,,,,,,,,,,,
20,0.036,0.1922,4.035910606384277,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,0.1653,2.5871126651763916,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.1311,1.7286463975906372,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.1299,3.2877118587493896,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.1044,3.1444289684295654,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.0854,2.6160099506378174,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.072,2.596156358718872,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.0629,1.996361494064331,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.0482,1.7047381401062012,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.0474,1.7706074714660645,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.0411,1.2553592920303345,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.0414,0.6721445918083191,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.0346,0.72486412525177,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.031,0.6557401418685913,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.0285,0.6878594160079956,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.029,0.7312508821487427,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.025,0.5547347068786621,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.0216,0.48952367901802063,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.0267,0.5309678912162781,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.0253,0.5700469613075256,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.0297,0.5078224539756775,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.0296,0.45699065923690796,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.0258,0.5032384395599365,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.0223,0.28910431265830994,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.0229,0.40121129155158997,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.0219,0.40317681431770325,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.0231,0.4800601005554199,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.0208,0.28667134046554565,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.0228,0.4378373920917511,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.0187,0.48519062995910645,1.8301765974835886e-05,,,,,,,,,,,
