step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.3328,13.276877403259277,7.927400573059717e-06,,,,,,,,,,,
10,0.084,0.5007,7.847903251647949,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.1804,2.7936766147613525,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.0831,1.4272434711456299,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.0671,0.9168699383735657,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.0662,1.0137842893600464,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.0548,0.581080973148346,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.0496,0.6333295106887817,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.0458,1.9978675842285156,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.0425,0.44776254892349243,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.0394,0.3701973855495453,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.0384,0.8340023756027222,1.9985401459854017e-05,,,,,,,,,,,
60,0.504,,,,0.0,0.0,94.4553,34.323,0.18,,,,,,
65,0.546,0.0379,0.33284279704093933,1.9912408759124088e-05,,,,,,,,,,,
70,0.588,0.036,0.3819766044616699,1.9839416058394162e-05,,,,,,,,,,,
75,0.63,0.0308,0.9686387777328491,1.9766423357664237e-05,,,,,,,,,,,
80,0.672,0.0319,0.5057262778282166,1.969343065693431e-05,,,,,,,,,,,
85,0.714,0.0286,0.723871111869812,1.962043795620438e-05,,,,,,,,,,,
90,0.756,0.028,1.0312615633010864,1.9547445255474453e-05,,,,,,,,,,,
95,0.798,0.0328,0.35002121329307556,1.9474452554744527e-05,,,,,,,,,,,
100,0.84,0.0273,0.3435421288013458,1.9401459854014598e-05,,,,,,,,,,,
105,0.882,0.0214,0.3367314040660858,1.9328467153284672e-05,,,,,,,,,,,
110,0.924,0.0229,0.4981522560119629,1.9255474452554746e-05,,,,,,,,,,,
115,0.966,0.0228,0.40350255370140076,1.918248175182482e-05,,,,,,,,,,,
119,1.0,,,,0.159554730941956,0.159554730941956,104.4665,31.034,0.163,,,,,,
120,1.008,0.0233,0.38610684871673584,1.910948905109489e-05,,,,,,,,,,,
125,1.05,0.0196,0.29152214527130127,1.9036496350364966e-05,,,,,,,,,,,
130,1.092,0.0193,0.2881428897380829,1.8963503649635036e-05,,,,,,,,,,,
135,1.134,0.0174,0.25159716606140137,1.889051094890511e-05,,,,,,,,,,,
140,1.176,0.0172,0.3285922408103943,1.8817518248175185e-05,,,,,,,,,,,
145,1.218,0.016,0.26513075828552246,1.874452554744526e-05,,,,,,,,,,,
150,1.261,0.0143,0.380333811044693,1.867153284671533e-05,,,,,,,,,,,
155,1.303,0.0142,0.332302451133728,1.85985401459854e-05,,,,,,,,,,,
160,1.345,0.0171,0.30490240454673767,1.8525547445255475e-05,,,,,,,,,,,
165,1.387,0.0158,0.7220844626426697,1.845255474452555e-05,,,,,,,,,,,
170,1.429,0.0153,0.19401229918003082,1.8379562043795624e-05,,,,,,,,,,,
175,1.471,0.0129,0.279196172952652,1.8306569343065695e-05,,,,,,,,,,,
178,1.496,,,,0.619289340051412,0.619289340051412,110.6369,29.303,0.154,,,,,,
180,1.513,0.0138,0.32891029119491577,1.823357664233577e-05,,,,,,,,,,,
185,1.555,0.0168,0.18097999691963196,1.816058394160584e-05,,,,,,,,,,,
190,1.597,0.0132,0.2672860622406006,1.8087591240875914e-05,,,,,,,,,,,
195,1.639,0.013,0.16969315707683563,1.801459854014599e-05,,,,,,,,,,,
200,1.681,0.0117,0.21477633714675903,1.794160583941606e-05,,,,,,,,,,,
205,1.723,0.0129,0.5101099014282227,1.7868613138686133e-05,,,,,,,,,,,
210,1.765,0.0123,0.4113607108592987,1.7795620437956204e-05,,,,,,,,,,,
215,1.807,0.0111,0.24328000843524933,1.772262773722628e-05,,,,,,,,,,,
220,1.849,0.0107,0.37218669056892395,1.764963503649635e-05,,,,,,,,,,,
225,1.891,0.0097,0.3288500905036926,1.7576642335766424e-05,,,,,,,,,,,
230,1.933,0.0103,0.3020158112049103,1.7503649635036498e-05,,,,,,,,,,,
235,1.975,0.0093,0.43357351422309875,1.7430656934306572e-05,,,,,,,,,,,
238,2.0,,,,0.5707317072671672,0.5707317072671672,97.1957,33.355,0.175,,,,,,
240,2.017,0.009,0.38632380962371826,1.7357664233576643e-05,,,,,,,,,,,
245,2.059,0.0078,0.29703229665756226,1.7284671532846717e-05,,,,,,,,,,,
250,2.101,0.009,0.3900339901447296,1.7211678832116788e-05,,,,,,,,,,,
255,2.143,0.0079,0.26830655336380005,1.7138686131386862e-05,,,,,,,,,,,
260,2.185,0.0088,0.5428320169448853,1.7065693430656937e-05,,,,,,,,,,,
265,2.227,0.01,0.7395836114883423,1.699270072992701e-05,,,,,,,,,,,
270,2.269,0.0085,0.28274279832839966,1.6919708029197082e-05,,,,,,,,,,,
275,2.311,0.0091,0.19494475424289703,1.6846715328467153e-05,,,,,,,,,,,
280,2.353,0.0086,0.2844982445240021,1.6773722627737227e-05,,,,,,,,,,,
285,2.395,0.0101,0.4777645170688629,1.67007299270073e-05,,,,,,,,,,,
290,2.437,0.0091,0.17407427728176117,1.6627737226277376e-05,,,,,,,,,,,
295,2.479,0.0076,0.18462100625038147,1.6554744525547446e-05,,,,,,,,,,,
298,2.504,,,,0.6386138613361287,0.6386138613361287,101.1326,32.057,0.168,,,,,,
300,2.521,0.006,0.18880096077919006,1.648175182481752e-05,,,,,,,,,,,
305,2.563,0.0078,0.2902275025844574,1.640875912408759e-05,,,,,,,,,,,
310,2.605,0.0108,0.42917585372924805,1.6335766423357666e-05,,,,,,,,,,,
315,2.647,0.0075,0.27384066581726074,1.6262773722627737e-05,,,,,,,,,,,
320,2.689,0.0079,0.19317692518234253,1.618978102189781e-05,,,,,,,,,,,
325,2.731,0.0071,0.16864271461963654,1.6116788321167885e-05,,,,,,,,,,,
330,2.773,0.0088,0.4336908459663391,1.604379562043796e-05,,,,,,,,,,,
335,2.815,0.0089,0.41143062710762024,1.597080291970803e-05,,,,,,,,,,,
340,2.857,0.0091,0.4814349412918091,1.58978102189781e-05,,,,,,,,,,,
345,2.899,0.0077,0.15908083319664001,1.5824817518248175e-05,,,,,,,,,,,
350,2.941,0.0078,0.18319475650787354,1.575182481751825e-05,,,,,,,,,,,
355,2.983,0.0065,0.2182772159576416,1.5678832116788324e-05,,,,,,,,,,,
357,3.0,,,,0.5681818181317371,0.5681818181317371,112.3948,28.845,0.151,,,,,,
360,3.025,0.0053,0.197818323969841,1.5605839416058395e-05,,,,,,,,,,,
365,3.067,0.0059,0.2926762104034424,1.553284671532847e-05,,,,,,,,,,,
370,3.109,0.006,0.26021522283554077,1.545985401459854e-05,,,,,,,,,,,
375,3.151,0.0072,0.3196147382259369,1.5386861313868614e-05,,,,,,,,,,,
380,3.193,0.0075,0.23888176679611206,1.531386861313869e-05,,,,,,,,,,,
385,3.235,0.0073,0.24439017474651337,1.5240875912408761e-05,,,,,,,,,,,
390,3.277,0.0056,0.44510480761528015,1.5167883211678834e-05,,,,,,,,,,,
395,3.319,0.0086,0.32598453760147095,1.5094890510948908e-05,,,,,,,,,,,
400,3.361,0.0066,0.29879558086395264,1.5021897810218979e-05,,,,,,,,,,,
405,3.403,0.0054,0.30994316935539246,1.4948905109489051e-05,,,,,,,,,,,
410,3.445,0.0055,0.2256009429693222,1.4875912408759126e-05,,,,,,,,,,,
415,3.487,0.0086,0.3786991238594055,1.4802919708029198e-05,,,,,,,,,,,
416,3.496,,,,0.5905707195529669,0.5905707195529669,103.5346,31.313,0.164,,,,,,
420,3.529,0.0081,0.2679135203361511,1.4729927007299272e-05,,,,,,,,,,,
425,3.571,0.0083,0.46763163805007935,1.4656934306569343e-05,,,,,,,,,,,
430,3.613,0.0084,0.15339942276477814,1.4583941605839418e-05,,,,,,,,,,,
435,3.655,0.0066,0.14240282773971558,1.451094890510949e-05,,,,,,,,,,,
440,3.697,0.006,0.0779326930642128,1.4437956204379564e-05,,,,,,,,,,,
445,3.739,0.0063,0.42564767599105835,1.4364963503649635e-05,,,,,,,,,,,
450,3.782,0.0058,0.26458343863487244,1.429197080291971e-05,,,,,,,,,,,
455,3.824,0.0052,0.22188334167003632,1.4218978102189782e-05,,,,,,,,,,,
460,3.866,0.005,0.23088091611862183,1.4145985401459855e-05,,,,,,,,,,,
465,3.908,0.0046,0.26440683007240295,1.4072992700729929e-05,,,,,,,,,,,
470,3.95,0.0054,0.32584449648857117,1.4e-05,,,,,,,,,,,
475,3.992,0.0041,0.39583200216293335,1.3927007299270074e-05,,,,,,,,,,,
476,4.0,,,,0.6449086161378216,0.6449086161378216,95.9098,33.803,0.177,,,,,,
480,4.034,0.0038,0.2670678198337555,1.3854014598540147e-05,,,,,,,,,,,
485,4.076,0.0042,0.3049548268318176,1.3781021897810221e-05,,,,,,,,,,,
490,4.118,0.0045,0.33823633193969727,1.3708029197080292e-05,,,,,,,,,,,
495,4.16,0.0037,0.11927253007888794,1.3635036496350366e-05,,,,,,,,,,,
500,4.202,0.0047,0.14736038446426392,1.3562043795620439e-05,,,,,,,,,,,
505,4.244,0.0038,0.1232975423336029,1.3489051094890513e-05,,,,,,,,,,,
510,4.286,0.0037,0.23762854933738708,1.3416058394160585e-05,,,,,,,,,,,
515,4.328,0.0037,0.13763616979122162,1.334306569343066e-05,,,,,,,,,,,
520,4.37,0.0035,0.17264749109745026,1.327007299270073e-05,,,,,,,,,,,
525,4.412,0.0035,0.1661631464958191,1.3197080291970803e-05,,,,,,,,,,,
530,4.454,0.0037,0.41683608293533325,1.3124087591240877e-05,,,,,,,,,,,
535,4.496,0.0042,0.15507952868938446,1.305109489051095e-05,,,,,,,,,,,
536,4.504,,,,0.6566037735348166,0.6566037735348166,101.2655,32.015,0.168,,,,,,
540,4.538,0.0049,0.24595434963703156,1.2978102189781022e-05,,,,,,,,,,,
545,4.58,0.004,0.08168770372867584,1.2905109489051095e-05,,,,,,,,,,,
550,4.622,0.0044,0.17516003549098969,1.283211678832117e-05,,,,,,,,,,,
555,4.664,0.0053,0.2804090082645416,1.2759124087591242e-05,,,,,,,,,,,
560,4.706,0.0042,0.14038391411304474,1.2686131386861316e-05,,,,,,,,,,,
565,4.748,0.0046,0.19841021299362183,1.2613138686131387e-05,,,,,,,,,,,
570,4.79,0.0035,0.11516942083835602,1.2540145985401461e-05,,,,,,,,,,,
575,4.832,0.0032,0.058466944843530655,1.2467153284671534e-05,,,,,,,,,,,
580,4.874,0.0033,0.09603998064994812,1.2394160583941608e-05,,,,,,,,,,,
585,4.916,0.0044,0.19047477841377258,1.232116788321168e-05,,,,,,,,,,,
590,4.958,0.0033,0.1460060179233551,1.2248175182481752e-05,,,,,,,,,,,
595,5.0,0.0041,0.3804146349430084,1.2175182481751826e-05,,,,,,,,,,,
595,5.0,,,,0.633971291816248,0.633971291816248,102.6678,31.578,0.166,,,,,,
600,5.042,0.0039,0.3022642433643341,1.2102189781021898e-05,,,,,,,,,,,
605,5.084,0.0033,0.20099829137325287,1.2029197080291973e-05,,,,,,,,,,,
610,5.126,0.0029,0.11013741791248322,1.1956204379562044e-05,,,,,,,,,,,
615,5.168,0.0028,0.24771884083747864,1.1883211678832118e-05,,,,,,,,,,,
620,5.21,0.0027,0.10182642936706543,1.181021897810219e-05,,,,,,,,,,,
625,5.252,0.0024,0.05528510361909866,1.1737226277372265e-05,,,,,,,,,,,
630,5.294,0.0023,0.2627316117286682,1.1664233576642337e-05,,,,,,,,,,,
635,5.336,0.0021,0.19276797771453857,1.1591240875912411e-05,,,,,,,,,,,
640,5.378,0.0028,0.33253195881843567,1.1518248175182482e-05,,,,,,,,,,,
645,5.42,0.0041,0.28536713123321533,1.1445255474452555e-05,,,,,,,,,,,
650,5.462,0.0046,0.20641575753688812,1.1372262773722629e-05,,,,,,,,,,,
654,5.496,,,,0.6505717915636005,0.6505717915636005,95.295,34.021,0.178,,,,,,
655,5.504,0.0046,0.17644649744033813,1.12992700729927e-05,,,,,,,,,,,
660,5.546,0.0034,0.16639269888401031,1.1226277372262774e-05,,,,,,,,,,,
665,5.588,0.0044,0.2344299554824829,1.1153284671532847e-05,,,,,,,,,,,
670,5.63,0.0036,0.0802021399140358,1.1080291970802921e-05,,,,,,,,,,,
675,5.672,0.003,0.164176344871521,1.1007299270072994e-05,,,,,,,,,,,
680,5.714,0.0029,0.11445622146129608,1.0934306569343068e-05,,,,,,,,,,,
685,5.756,0.0029,0.095755435526371,1.0861313868613139e-05,,,,,,,,,,,
690,5.798,0.002,0.17177368700504303,1.0788321167883213e-05,,,,,,,,,,,
695,5.84,0.0016,0.05607591196894646,1.0715328467153286e-05,,,,,,,,,,,
700,5.882,0.0018,0.10641296952962875,1.064233576642336e-05,,,,,,,,,,,
705,5.924,0.0014,0.09390806406736374,1.056934306569343e-05,,,,,,,,,,,
710,5.966,0.0027,0.3381418287754059,1.0496350364963503e-05,,,,,,,,,,,
