step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,2.0396,24.62567901611328,5.43584091395317e-06,,,,,,,,,,,
10,0.013,0.9212,29.09851837158203,7.77693016900905e-06,,,,,,,,,,,
15,0.019,0.2973,7.3017072677612305,9.146379594057966e-06,,,,,,,,,,,
20,0.026,0.1996,4.741722106933594,1.0118019424064926e-05,,,,,,,,,,,
25,0.032,0.1419,2.269136667251587,1.087168182790634e-05,,,,,,,,,,,
30,0.039,0.1258,2.1915972232818604,1.1487468849113843e-05,,,,,,,,,,,
35,0.045,0.1088,1.8963940143585205,1.200810935711046e-05,,,,,,,,,,,
40,0.051,0.0968,1.3134946823120117,1.2459108679120806e-05,,,,,,,,,,,
45,0.058,0.0949,1.9872134923934937,1.2856918274162757e-05,,,,,,,,,,,
50,0.064,0.0854,1.0833983421325684,1.3212771082962219e-05,,,,,,,,,,,
55,0.071,0.069,0.9060578942298889,1.3534679104945514e-05,,,,,,,,,,,
60,0.077,0.0645,1.671188473701477,1.382855810416972e-05,,,,,,,,,,,
65,0.084,0.0597,2.312682867050171,1.4098900577075285e-05,,,,,,,,,,,
70,0.09,0.0503,1.6832375526428223,1.4349198612166341e-05,,,,,,,,,,,
75,0.097,0.0418,1.6249489784240723,1.4582220508011133e-05,,,,,,,,,,,
80,0.103,0.0435,1.2992846965789795,1.4800197934176684e-05,,,,,,,,,,,
85,0.109,0.0325,0.7100879549980164,1.5004956252044514e-05,,,,,,,,,,,
90,0.116,0.035,1.5713154077529907,1.5198007529218637e-05,,,,,,,,,,,
95,0.122,0.0286,0.6065465807914734,1.5380618371932186e-05,,,,,,,,,,,
100,0.129,0.0263,0.6579144597053528,1.55538603380181e-05,,,,,,,,,,,
105,0.135,0.0269,0.8573776483535767,1.5718648037215253e-05,,,,,,,,,,,
110,0.142,0.0286,0.5033214092254639,1.5875768360001393e-05,,,,,,,,,,,
115,0.148,0.0233,0.7537911534309387,1.6025903203857795e-05,,,,,,,,,,,
120,0.154,0.0235,0.8682675957679749,1.61696473592256e-05,,,,,,,,,,,
125,0.161,0.0263,0.3602328300476074,1.6307522741859515e-05,,,,,,,,,,,
130,0.167,0.0241,0.3683066964149475,1.6439989832131163e-05,,,,,,,,,,,
135,0.174,0.0231,0.41602179408073425,1.6567456954267552e-05,,,,,,,,,,,
140,0.18,0.0197,0.5175381302833557,1.6690287867222218e-05,,,,,,,,,,,
145,0.187,0.0215,0.7621501088142395,1.6808808022911993e-05,,,,,,,,,,,
150,0.193,0.0212,0.5415837168693542,1.6923309763067014e-05,,,,,,,,,,,
155,0.199,0.0201,1.0670874118804932,1.7034056663637364e-05,,,,,,,,,,,
160,0.206,0.0152,0.3350383937358856,1.7141287189232564e-05,,,,,,,,,,,
165,0.212,0.0193,0.4415789842605591,1.7245217785050307e-05,,,,,,,,,,,
170,0.219,0.0181,0.21930038928985596,1.7346045507100393e-05,,,,,,,,,,,
