step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.042,1.0428,18.770904541015625,7.927400573059717e-06,,,,,,,,,,,
10,0.084,0.3798,2.655991792678833,1.1341546166334124e-05,,,,,,,,,,,
15,0.126,0.1113,3.465688943862915,1.3338693310402031e-05,,,,,,,,,,,
20,0.168,0.0509,1.0992467403411865,1.4755691759608524e-05,,,,,,,,,,,
25,0.21,0.0211,0.8058735728263855,1.5854801146119433e-05,,,,,,,,,,,
30,0.252,0.0075,0.27057787775993347,1.6752838903676433e-05,,,,,,,,,,,
35,0.294,0.0056,0.4597006142139435,1.751211900895989e-05,,,,,,,,,,,
40,0.336,0.0021,0.38162168860435486,1.8169837352882926e-05,,,,,,,,,,,
45,0.378,0.0015,0.07676198333501816,1.8749986047744344e-05,,,,,,,,,,,
50,0.42,0.0008,0.05664925277233124,1.926894673939384e-05,,,,,,,,,,,
55,0.462,0.0012,0.28907376527786255,1.9738403789064383e-05,,,,,,,,,,,
60,0.504,0.0004,0.049849286675453186,1.9985401459854017e-05,,,,,,,,,,,
60,0.504,,,,0.552808988713933,0.552808988713933,162.4292,21.375,0.111,,,,,,
65,0.546,0.0002,0.08578484505414963,1.9912408759124088e-05,,,,,,,,,,,
70,0.588,0.0001,0.0019941767677664757,1.9839416058394162e-05,,,,,,,,,,,
75,0.63,0.0004,0.00210519484244287,1.9766423357664237e-05,,,,,,,,,,,
80,0.672,0.0001,0.060019101947546005,1.969343065693431e-05,,,,,,,,,,,
85,0.714,0.0,0.0030189822427928448,1.962043795620438e-05,,,,,,,,,,,
90,0.756,0.0,0.007712709251791239,1.9547445255474453e-05,,,,,,,,,,,
95,0.798,0.0,0.009764546528458595,1.9474452554744527e-05,,,,,,,,,,,
100,0.84,0.0001,0.13151374459266663,1.9401459854014598e-05,,,,,,,,,,,
105,0.882,0.0,0.0008154251263476908,1.9328467153284672e-05,,,,,,,,,,,
110,0.924,0.0,0.0165336262434721,1.9255474452554746e-05,,,,,,,,,,,
115,0.966,0.0,0.0007112397579476237,1.918248175182482e-05,,,,,,,,,,,
119,1.0,,,,0.5796460176490348,0.5796460176490348,156.6854,22.159,0.115,,,,,,
