step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_AVERAGE,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
10,0.07,0.9522,0.9410480856895447,1.9555555555555557e-05,,,,,,,,,,,,,,,,
20,0.14,0.1217,0.26157593727111816,1.8074074074074074e-05,,,,,,,,,,,,,,,,
30,0.21,0.0679,0.16284500062465668,1.6592592592592594e-05,,,,,,,,,,,,,,,,
36,0.25,,,,0.18148820321934445,0.32390243897707244,0.21595375717682852,0.3004385964428405,0.2523128679081498,0.7338702036449242,0.651253663251868,0.3798885329458611,860.3195,7.073,0.014,,,,,
40,0.28,0.0504,0.10695560276508331,1.5111111111111112e-05,,,,,,,,,,,,,,,,
50,0.35,0.0447,0.14727866649627686,1.362962962962963e-05,,,,,,,,,,,,,,,,
60,0.42,0.0371,0.11394240707159042,1.2148148148148149e-05,,,,,,,,,,,,,,,,
70,0.49,0.037,0.15978123247623444,1.0666666666666667e-05,,,,,,,,,,,,,,,,
72,0.51,,,,0.3535911601711915,0.43704305437730573,0.49383199525055477,0.5497835497335329,0.41597028778656947,0.8192011861236534,0.7432517262525569,0.5446675656707665,926.8515,6.565,0.013,,,,,
80,0.56,0.0353,0.09967628121376038,9.185185185185186e-06,,,,,,,,,,,,,,,,
90,0.63,0.0335,0.09016779065132141,7.703703703703704e-06,,,,,,,,,,,,,,,,
100,0.71,0.0338,0.08727610856294632,6.222222222222223e-06,,,,,,,,,,,,,,,,
108,0.76,,,,0.4480922803423702,0.4859097126723399,0.5700953539771931,0.5644809659070589,0.5516559564503624,0.8456262331549081,0.7664861420334422,0.6046209492196678,738.9669,8.234,0.016,,,,,
110,0.78,0.0324,0.11368416994810104,4.7407407407407415e-06,,,,,,,,,,,,,,,,
120,0.85,0.0313,0.08971200883388519,3.25925925925926e-06,,,,,,,,,,,,,,,,
130,0.92,0.0329,0.10102005302906036,1.777777777777778e-06,,,,,,,,,,,,,,,,
140,0.99,0.0303,0.1384081244468689,2.9629629629629634e-07,,,,,,,,,,,,,,,,
141,0.99,,,,,,,,,,,,,,,2827.201,6.414,0.05,4.483070918498714e+16,0.10957955299539769
