step,epoch,loss,grad_norm,learning_rate
1,0.003,7.5781,253.317626953125,0.0
2,0.006,9.8594,333.169921875,2.745215624227179e-06
3,0.009,7.5039,239.9688720703125,4.3510638207939e-06
4,0.012,9.1406,302.20263671875,5.490431248454358e-06
5,0.015,7.1328,228.9832305908203,6.374193284416834e-06
6,0.018,4.5781,168.3255615234375,7.0962794450210784e-06
7,0.022,1.5156,65.7645034790039,7.706794594783609e-06
8,0.025,0.6592,31.874778747558594,8.235646872681536e-06
9,0.028,0.0642,19.745269775390625,8.7021276415878e-06
10,0.031,0.0035,1.3812072277069092,9.119408908644014e-06
11,0.034,0.3946,9.56583023071289,9.496885730428628e-06
12,0.037,0.0002,0.04484366625547409,9.841495069248257e-06
13,0.04,0.2103,7.176969528198242,1.0158504930751744e-05
14,0.043,3.7402,301.2903137207031,1.0452010219010787e-05
15,0.046,0.0052,3.0831642150878906,1.0725257105210733e-05
16,0.049,0.3066,9.850335121154785,1.0980862496908715e-05
17,0.052,0.0,0.0012568144593387842,1.122096685524845e-05
18,0.055,0.0,0.0008744054939597845,1.1447343265814976e-05
19,0.058,0.0,0.00032567576272413135,1.1661476980489838e-05
20,0.062,0.6973,12.818373680114746,1.1864624532871192e-05
21,0.065,0.0,2.4241900973720476e-05,1.2057858415577509e-05
22,0.068,0.0,8.158176206052303e-05,1.2242101354655807e-05
23,0.071,0.1973,6.859785556793213,1.241815295892737e-05
24,0.074,0.0001,0.017325326800346375,1.2586710693475437e-05
25,0.077,0.1093,3.42612624168396,1.2748386568833668e-05
26,0.08,0.1253,5.027089595794678,1.2903720554978922e-05
27,0.083,0.0199,4.0472331047058105,1.3053191462381697e-05
28,0.086,0.0001,0.02031688578426838,1.3197225843237967e-05
29,0.089,0.0,0.00024928036145865917,1.333620533002291e-05
30,0.092,0.0,1.097936365113128e-05,1.3470472729437914e-05
31,0.095,0.3203,7.665661334991455,1.3600337116762693e-05
32,0.098,0.4941,9.25428295135498,1.3726078121135895e-05
33,0.102,0.0,2.683691491256468e-06,1.3847949551222526e-05
34,0.105,0.2832,5.828390598297119,1.3966182479475627e-05
35,0.108,0.3047,5.621031761169434,1.4080987879200444e-05
36,0.111,0.0,6.907214265083894e-05,1.4192558890042157e-05
37,0.114,0.0,0.00026321798213757575,1.4301072773007454e-05
