step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.035,1.6644,13.160540580749512,1.1886322578355742e-05,,,,,,,,,,,,,,,,,
10,0.071,0.4417,9.218890190124512,1.7005483074552054e-05,,,,,,,,,,,,,,,,,
15,0.106,0.1849,2.3707821369171143,1.9999999999999998e-05,,,,,,,,,,,,,,,,,
20,0.142,0.1079,2.1211607456207275,1.976331360946746e-05,,,,,,,,,,,,,,,,,
25,0.177,0.0822,1.3791369199752808,1.9467455621301777e-05,,,,,,,,,,,,,,,,,
30,0.213,0.0665,0.6617831587791443,1.9171597633136098e-05,,,,,,,,,,,,,,,,,
35,0.248,0.053,0.9228354096412659,1.887573964497042e-05,,,,,,,,,,,,,,,,,
40,0.284,0.0507,1.0457974672317505,1.8579881656804736e-05,,,,,,,,,,,,,,,,,
45,0.319,0.0475,0.6671974658966064,1.8284023668639056e-05,,,,,,,,,,,,,,,,,
47,0.333,,,,0.36476043271825115,0.38312428729312825,0.41120117902155745,0.3713527850961053,0.414269274978737,0.8357487922201381,0.7350835321692267,0.502220040499592,38.1072,18.369,0.157,,,,,,
50,0.355,0.038,0.6367084383964539,1.7988165680473374e-05,,,,,,,,,,,,,,,,,
55,0.39,0.0358,0.6876620054244995,1.7692307692307694e-05,,,,,,,,,,,,,,,,,
60,0.426,0.0357,0.37562888860702515,1.7396449704142012e-05,,,,,,,,,,,,,,,,,
65,0.461,0.0352,0.5264983773231506,1.7100591715976332e-05,,,,,,,,,,,,,,,,,
70,0.496,0.0357,0.47426149249076843,1.6804733727810653e-05,,,,,,,,,,,,,,,,,
75,0.532,0.0349,0.4971991777420044,1.650887573964497e-05,,,,,,,,,,,,,,,,,
80,0.567,0.0331,0.38663241267204285,1.621301775147929e-05,,,,,,,,,,,,,,,,,
85,0.603,0.0321,0.35471975803375244,1.591715976331361e-05,,,,,,,,,,,,,,,,,
90,0.638,0.0316,0.2884006202220917,1.562130177514793e-05,,,,,,,,,,,,,,,,,
94,0.667,,,,0.4927536231389019,0.5421412300182139,0.5753424657033853,0.5831960460784048,0.5570469798156494,0.8850855745216947,0.7885985747714919,0.6320234991496774,37.4969,18.668,0.16,,,,,,
95,0.674,0.0318,0.2738887071609497,1.532544378698225e-05,,,,,,,,,,,,,,,,,
100,0.709,0.0315,0.42275720834732056,1.5029585798816569e-05,,,,,,,,,,,,,,,,,
105,0.745,0.0304,0.5557683706283569,1.4733727810650888e-05,,,,,,,,,,,,,,,,,
110,0.78,0.0304,0.3122759461402893,1.4437869822485209e-05,,,,,,,,,,,,,,,,,
115,0.816,0.0281,0.3464921712875366,1.4142011834319526e-05,,,,,,,,,,,,,,,,,
120,0.851,0.0309,0.273876816034317,1.3846153846153847e-05,,,,,,,,,,,,,,,,,
125,0.887,0.0338,0.2910098731517792,1.3550295857988167e-05,,,,,,,,,,,,,,,,,
130,0.922,0.0293,0.3534901738166809,1.3254437869822488e-05,,,,,,,,,,,,,,,,,
135,0.957,0.0286,0.3611598312854767,1.2958579881656806e-05,,,,,,,,,,,,,,,,,
140,0.993,0.0286,0.631740152835846,1.2662721893491126e-05,,,,,,,,,,,,,,,,,
141,1.0,,,,0.5618915159445127,0.6071842409695694,0.5326560231720495,0.6807790007966686,0.6348122866393039,0.8845208844704502,0.8337349397086347,0.676511270243027,37.1254,18.855,0.162,,,,,,
145,1.028,0.0254,0.12317106127738953,1.242603550295858e-05,,,,,,,,,,,,,,,,,
150,1.064,0.021,0.11375074833631516,1.21301775147929e-05,,,,,,,,,,,,,,,,,
155,1.099,0.0196,0.12792521715164185,1.183431952662722e-05,,,,,,,,,,,,,,,,,
160,1.135,0.0232,0.11714562773704529,1.1538461538461538e-05,,,,,,,,,,,,,,,,,
165,1.17,0.0197,0.41056668758392334,1.1242603550295859e-05,,,,,,,,,,,,,,,,,
170,1.206,0.0219,0.10149659216403961,1.094674556213018e-05,,,,,,,,,,,,,,,,,
175,1.241,0.0195,0.1563790738582611,1.0650887573964498e-05,,,,,,,,,,,,,,,,,
180,1.277,0.0218,0.11557606607675552,1.0355029585798817e-05,,,,,,,,,,,,,,,,,
185,1.312,0.0226,0.10746672004461288,1.0059171597633138e-05,,,,,,,,,,,,,,,,,
188,1.333,,,,0.5805555555056165,0.5246277204538895,0.6685755189191486,0.6856187290468893,0.5298944899851976,0.8774509803417267,0.7695961994745888,0.6623313133895795,37.0277,18.905,0.162,,,,,,
190,1.348,0.0215,0.14137688279151917,9.763313609467457e-06,,,,,,,,,,,,,,,,,
195,1.383,0.0196,0.10811552405357361,9.467455621301776e-06,,,,,,,,,,,,,,,,,
200,1.418,0.0209,0.16005954146385193,9.171597633136095e-06,,,,,,,,,,,,,,,,,
205,1.454,0.0199,0.11619020998477936,8.875739644970414e-06,,,,,,,,,,,,,,,,,
210,1.489,0.0194,0.2022799253463745,8.579881656804735e-06,,,,,,,,,,,,,,,,,
215,1.525,0.0218,0.20246601104736328,8.284023668639054e-06,,,,,,,,,,,,,,,,,
220,1.56,0.0203,0.11644387245178223,7.988165680473373e-06,,,,,,,,,,,,,,,,,
225,1.596,0.0209,0.12093134224414825,7.692307692307694e-06,,,,,,,,,,,,,,,,,
230,1.631,0.0185,0.36284130811691284,7.396449704142013e-06,,,,,,,,,,,,,,,,,
235,1.667,0.0186,0.08944682031869888,7.100591715976332e-06,,,,,,,,,,,,,,,,,
235,1.667,,,,0.602510460201131,0.6100116413934166,0.6434911242104179,0.6895973153861461,0.6528258361667616,0.8888888888384527,0.7912621358719473,0.6969410574383247,37.0179,18.91,0.162,,,,,,
240,1.702,0.0188,0.14029785990715027,6.8047337278106515e-06,,,,,,,,,,,,,,,,,
245,1.738,0.0194,0.11079878360033035,6.5088757396449705e-06,,,,,,,,,,,,,,,,,
250,1.773,0.0223,0.057430241256952286,6.21301775147929e-06,,,,,,,,,,,,,,,,,
255,1.809,0.0171,0.06472698599100113,5.91715976331361e-06,,,,,,,,,,,,,,,,,
260,1.844,0.0195,0.11425510048866272,5.621301775147929e-06,,,,,,,,,,,,,,,,,
265,1.879,0.02,0.11391297727823257,5.325443786982249e-06,,,,,,,,,,,,,,,,,
270,1.915,0.0187,0.10467793047428131,5.029585798816569e-06,,,,,,,,,,,,,,,,,
275,1.95,0.0195,0.1375901997089386,4.733727810650888e-06,,,,,,,,,,,,,,,,,
280,1.986,0.0206,0.1074829027056694,4.437869822485207e-06,,,,,,,,,,,,,,,,,
282,2.0,,,,0.5853658536088875,0.5985915492456737,0.6821144097978954,0.7203389830007718,0.6743119265554015,0.8829268292178631,0.8066825775152546,0.7071903041345354,37.0142,18.912,0.162,,,,,,
285,2.021,0.0169,0.14418013393878937,4.142011834319527e-06,,,,,,,,,,,,,,,,,
290,2.057,0.0174,0.12518446147441864,3.846153846153847e-06,,,,,,,,,,,,,,,,,
295,2.092,0.0167,0.24415220320224762,3.550295857988166e-06,,,,,,,,,,,,,,,,,
300,2.128,0.0159,0.16924452781677246,3.2544378698224853e-06,,,,,,,,,,,,,,,,,
305,2.163,0.0192,0.21249274909496307,2.958579881656805e-06,,,,,,,,,,,,,,,,,
310,2.199,0.0155,0.15293273329734802,2.6627218934911246e-06,,,,,,,,,,,,,,,,,
315,2.234,0.0167,0.19522371888160706,2.366863905325444e-06,,,,,,,,,,,,,,,,,
320,2.27,0.016,0.16882355511188507,2.0710059171597635e-06,,,,,,,,,,,,,,,,,
325,2.305,0.017,0.13589411973953247,1.775147928994083e-06,,,,,,,,,,,,,,,,,
329,2.333,,,,0.621983914158992,0.6398158802720655,0.6815884476033793,0.6894254787175865,0.6765039727080989,0.8866995073387272,0.8047619047115318,0.7143970150729115,37.7445,18.546,0.159,,,,,,
330,2.34,0.015,0.14617927372455597,1.4792899408284026e-06,,,,,,,,,,,,,,,,,
335,2.376,0.0159,0.3813770115375519,1.183431952662722e-06,,,,,,,,,,,,,,,,,
340,2.411,0.0151,0.1476278305053711,8.875739644970415e-07,,,,,,,,,,,,,,,,,
345,2.447,0.015,0.12728697061538696,5.91715976331361e-07,,,,,,,,,,,,,,,,,
350,2.482,0.0156,0.1328764110803604,2.958579881656805e-07,,,,,,,,,,,,,,,,,
353,2.504,,,,,,,,,,,,,,,592.723,76.49,0.596,1.1224485060201677e+17,112.24485060201677,0.05839836766294312
