step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.035,1.6818,13.781106948852539,9.128039525166163e-06,,,,,,,,,,,,,,,,,
10,0.071,0.5112,2.970146894454956,1.3059272169822617e-05,,,,,,,,,,,,,,,,,
15,0.106,0.2413,7.001781940460205,1.5358895848557497e-05,,,,,,,,,,,,,,,,,
20,0.142,0.1356,2.5877387523651123,1.6990504814479066e-05,,,,,,,,,,,,,,,,,
25,0.177,0.0898,1.6710554361343384,1.8256079050332326e-05,,,,,,,,,,,,,,,,,
30,0.213,0.0716,0.8585049510002136,1.929012849321395e-05,,,,,,,,,,,,,,,,,
35,0.248,0.0554,0.6434693932533264,2e-05,,,,,,,,,,,,,,,,,
40,0.284,0.0534,0.5865341424942017,1.9876847290640397e-05,,,,,,,,,,,,,,,,,
45,0.319,0.0498,0.8846315741539001,1.975369458128079e-05,,,,,,,,,,,,,,,,,
47,0.333,,,,0.3566433565991027,0.3647959183179424,0.3809523809032093,0.3544776118911346,0.437340153403712,0.8337349397086486,0.6682577565129341,0.4851717310480977,47.4418,14.755,0.126,,,,,,
50,0.355,0.04,0.6109805107116699,1.9630541871921184e-05,,,,,,,,,,,,,,,,,
55,0.39,0.0355,0.3683319389820099,1.950738916256158e-05,,,,,,,,,,,,,,,,,
60,0.426,0.0385,0.5795188546180725,1.938423645320197e-05,,,,,,,,,,,,,,,,,
65,0.461,0.0376,0.5783395767211914,1.9261083743842367e-05,,,,,,,,,,,,,,,,,
70,0.496,0.037,0.5278512835502625,1.913793103448276e-05,,,,,,,,,,,,,,,,,
75,0.532,0.036,0.5392736196517944,1.9014778325123154e-05,,,,,,,,,,,,,,,,,
80,0.567,0.0326,0.28065162897109985,1.889162561576355e-05,,,,,,,,,,,,,,,,,
85,0.603,0.0328,0.3449614346027374,1.876847290640394e-05,,,,,,,,,,,,,,,,,
90,0.638,0.0319,0.3357698321342468,1.8645320197044337e-05,,,,,,,,,,,,,,,,,
94,0.667,,,,0.46902654862330906,0.5397923874931335,0.5587583148059468,0.5308537615729414,0.5286041189430583,0.8948655256219343,0.8019323670993711,0.6176904320228135,44.9055,15.588,0.134,,,,,,
95,0.674,0.033,0.31510546803474426,1.852216748768473e-05,,,,,,,,,,,,,,,,,
100,0.709,0.0319,0.28218603134155273,1.8399014778325124e-05,,,,,,,,,,,,,,,,,
105,0.745,0.0304,0.4826582372188568,1.827586206896552e-05,,,,,,,,,,,,,,,,,
