step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.0977,19.691205978393555,0.0,,,,,,,,,,,
2,0.04,1.2773,20.79176139831543,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.1045,17.492876052856445,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.1309,21.023700714111328,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.6943,15.33596420288086,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.5513,11.37303638458252,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.4219,11.344261169433594,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.3892,14.457319259643555,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2996,8.231881141662598,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.3008,9.062613487243652,1.449053550324508e-05,,,,,,,,,,,
10,0.2,,,,0.0,0.0,6.3484,15.752,0.158,,,,,,
11,0.22,0.1831,3.7767417430877686,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1897,5.1585259437561035,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1434,3.2529847621917725,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1809,10.014302253723145,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.109,3.855168104171753,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1548,5.448212146759033,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.1023,4.1183271408081055,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.1085,3.067894697189331,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0751,2.6304054260253906,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0597,2.8557190895080566,1.885262134295571e-05,,,,,,,,,,,
20,0.4,,,,0.10379241514529264,0.10379241514529264,6.3001,15.873,0.159,,,,,,
21,0.42,0.1689,5.098289966583252,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0646,2.572188138961792,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0608,1.631709337234497,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0824,2.4990992546081543,2e-05,,,,,,,,,,,
25,0.5,0.0991,2.6831209659576416,2e-05,,,,,,,,,,,
