step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.375,25.05547523498535,0.0,,,,,,,,,,,
2,0.08,1.5469,30.030410766601562,7.737056144690831e-06,,,,,,,,,,,
3,0.12,1.5078,28.677108764648438,1.2262943855309169e-05,,,,,,,,,,,
4,0.16,1.1064,25.282665252685547,1.5474112289381662e-05,,,,,,,,,,,
5,0.2,0.8931,14.924116134643555,1.7964888034078543e-05,,,,,,,,,,,
6,0.24,1.3623,48.81261444091797,1.9999999999999998e-05,,,,,,,,,,,
7,0.28,0.7188,33.45473098754883,2e-05,,,,,,,,,,,
8,0.32,0.6333,21.344911575317383,1.9861111111111114e-05,,,,,,,,,,,
8,0.32,,,,0.0,0.0,30.3714,3.293,0.165,,,,,,
9,0.36,0.4023,9.537391662597656,1.9722222222222224e-05,,,,,,,,,,,
10,0.4,0.6719,15.98711109161377,1.9583333333333333e-05,,,,,,,,,,,
11,0.44,0.3799,8.593719482421875,1.9444444444444445e-05,,,,,,,,,,,
12,0.48,0.2786,6.096919059753418,1.9305555555555558e-05,,,,,,,,,,,
13,0.52,0.1914,3.7079200744628906,1.916666666666667e-05,,,,,,,,,,,
14,0.56,0.2495,6.360597610473633,1.902777777777778e-05,,,,,,,,,,,
15,0.6,0.1331,2.759673595428467,1.888888888888889e-05,,,,,,,,,,,
16,0.64,0.2393,9.63698673248291,1.8750000000000002e-05,,,,,,,,,,,
17,0.68,0.1709,3.5468053817749023,1.8611111111111114e-05,,,,,,,,,,,
17,0.68,,,,0.17770597733556182,0.17770597733556182,26.163,3.822,0.191,,,,,,
18,0.72,0.1823,4.957685947418213,1.8472222222222224e-05,,,,,,,,,,,
19,0.76,0.1895,5.157492160797119,1.8333333333333333e-05,,,,,,,,,,,
20,0.8,0.1542,4.991340160369873,1.8194444444444445e-05,,,,,,,,,,,
21,0.84,0.1333,5.956520080566406,1.8055555555555558e-05,,,,,,,,,,,
22,0.88,0.1152,3.5363986492156982,1.7916666666666667e-05,,,,,,,,,,,
23,0.92,0.1168,3.257943868637085,1.7777777777777777e-05,,,,,,,,,,,
24,0.96,0.1337,2.9141979217529297,1.763888888888889e-05,,,,,,,,,,,
25,1.0,0.1047,3.6133949756622314,1.7500000000000002e-05,,,,,,,,,,,
25,1.0,,,,0.17021276590741427,0.17021276590741427,25.9025,3.861,0.193,,,,,,
26,1.04,0.0786,2.706118583679199,1.7361111111111114e-05,,,,,,,,,,,
27,1.08,0.1051,2.75982666015625,1.7222222222222224e-05,,,,,,,,,,,
28,1.12,0.1556,3.8616769313812256,1.7083333333333333e-05,,,,,,,,,,,
29,1.16,0.0706,2.0912880897521973,1.6944444444444446e-05,,,,,,,,,,,
30,1.2,0.0649,2.709810733795166,1.6805555555555558e-05,,,,,,,,,,,
31,1.24,0.0938,3.1847360134124756,1.6666666666666667e-05,,,,,,,,,,,
32,1.28,0.0446,2.281874179840088,1.6527777777777777e-05,,,,,,,,,,,
33,1.32,0.0625,1.1034752130508423,1.638888888888889e-05,,,,,,,,,,,
33,1.32,,,,0.3282674771548452,0.3282674771548452,21.3417,4.686,0.234,,,,,,
34,1.36,0.0454,1.5107845067977905,1.6250000000000002e-05,,,,,,,,,,,
35,1.4,0.0429,1.9410309791564941,1.6111111111111115e-05,,,,,,,,,,,
36,1.44,0.0479,1.7095913887023926,1.5972222222222224e-05,,,,,,,,,,,
37,1.48,0.0909,2.8849289417266846,1.5833333333333333e-05,,,,,,,,,,,
38,1.52,0.0284,1.525931477546692,1.5694444444444446e-05,,,,,,,,,,,
39,1.56,0.0587,2.4714760780334473,1.555555555555556e-05,,,,,,,,,,,
40,1.6,0.0881,2.4916727542877197,1.5416666666666668e-05,,,,,,,,,,,
41,1.64,0.0833,3.5587048530578613,1.5277777777777777e-05,,,,,,,,,,,
42,1.68,0.042,2.085453748703003,1.513888888888889e-05,,,,,,,,,,,
42,1.68,,,,0.42572741189618424,0.42572741189618424,27.2224,3.673,0.184,,,,,,
43,1.72,0.0535,2.753549814224243,1.5000000000000002e-05,,,,,,,,,,,
44,1.76,0.0999,2.876493215560913,1.4861111111111113e-05,,,,,,,,,,,
