step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,5.064,98.9126968383789,0.0,,,,,,,,,,,
2,0.08,5.3218,123.3116455078125,5.578858913022597e-06,,,,,,,,,,,
3,0.12,5.476,119.8620376586914,8.842282173954808e-06,,,,,,,,,,,
4,0.16,4.8994,89.89883422851562,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,4.1148,47.30527114868164,1.295370924755994e-05,,,,,,,,,,,
6,0.24,4.9941,100.58524322509766,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,3.6463,78.7520523071289,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,3.0886,50.00259017944336,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,2.6215,84.49821472167969,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,2.464,58.68186950683594,1.853256816058254e-05,,,,,,,,,,,
11,0.44,1.9209,37.173465728759766,1.929968091962688e-05,,,,,,,,,,,
12,0.48,2.0346,34.30166244506836,2e-05,,,,,,,,,,,
13,0.52,1.3418,32.806251525878906,2e-05,,,,,,,,,,,
14,0.56,1.3336,31.26723289489746,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,1.1757,31.195287704467773,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.9122,38.453758239746094,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.858,32.05781173706055,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.9213,12.319334030151367,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.5566,13.11391830444336,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.7735,25.22234535217285,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.5979,27.47547149658203,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.3936,15.090476036071777,1.9375e-05,,,,,,,,,,,
23,0.92,0.561,13.929994583129883,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.7553,15.460670471191406,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.4991,9.328829765319824,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.0,0.0,7.1821,13.924,0.139,,,,,,
26,1.04,0.4013,11.488807678222656,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.3766,6.928262710571289,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.4018,26.877716064453125,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.4374,14.318022727966309,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.355,9.426287651062012,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.2822,5.671968460083008,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.2746,6.81487512588501,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.4942,7.4044389724731445,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.2461,6.7380218505859375,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.3171,4.801678657531738,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.333,3.9684159755706787,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.2332,7.282745361328125,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.2417,5.12640380859375,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.0,0.0,6.5691,15.223,0.152,,,,,,
39,1.56,0.2441,6.839447975158691,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.2535,5.535543441772461,1.8125e-05,,,,,,,,,,,
41,1.64,0.3462,9.79146671295166,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.2669,6.118565082550049,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.3062,5.815435409545898,1.7916666666666667e-05,,,,,,,,,,,
