step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,5.1274,84.71586608886719,0.0,,,,,,,,,,,
2,0.04,4.942,98.41899871826172,4.362085839710631e-06,,,,,,,,,,,
3,0.06,4.3202,75.81993103027344,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,4.1231,125.06523132324219,8.724171679421262e-06,,,,,,,,,,,
5,0.1,3.8043,54.845970153808594,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,3.311,75.38911437988281,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,4.0273,78.54769134521484,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,3.1696,94.38639831542969,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,2.7276,43.78262710571289,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,2.1595,40.363407135009766,1.449053550324508e-05,,,,,,,,,,,
11,0.22,1.9201,37.943084716796875,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,1.5605,33.15102005004883,1.563791416028937e-05,,,,,,,,,,,
13,0.26,1.6712,52.113807678222656,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,1.4556,47.366859436035156,1.660800899226005e-05,,,,,,,,,,,
15,0.3,1.008,35.91132736206055,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.8241,37.5184211730957,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.9068,35.18030548095703,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.6341,29.966041564941406,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.695,16.353164672851562,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.5183,12.546015739440918,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.6413,20.775306701660156,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.5079,52.080406188964844,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.3418,37.223506927490234,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.5579,21.70793342590332,2e-05,,,,,,,,,,,
25,0.5,0.3855,10.078353881835938,2e-05,,,,,,,,,,,
26,0.52,0.3499,11.650497436523438,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.317,7.130803108215332,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.3852,14.37480640411377,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.2981,15.88919448852539,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.4234,8.751214027404785,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.3631,16.94220542907715,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.3403,10.338821411132812,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.3907,9.325581550598145,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.3212,8.863835334777832,1.96875e-05,,,,,,,,,,,
35,0.7,0.3078,6.679370880126953,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.3426,10.358526229858398,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.2433,3.7648916244506836,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.2235,4.753396987915039,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.2631,5.872239112854004,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.4629,13.041671752929688,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.2601,6.1114888191223145,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.2557,4.773791790008545,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.2862,8.111122131347656,1.9375e-05,,,,,,,,,,,
44,0.88,0.2532,5.153461456298828,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.291,7.951973915100098,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.2475,6.32130241394043,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.1882,3.7157509326934814,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.3481,8.520679473876953,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.2923,6.678240776062012,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.2716,14.439476013183594,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.0,0.0,6.6693,14.994,0.15,,,,,,
51,1.02,0.2007,7.888306617736816,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.3265,6.347672939300537,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.2284,5.673829555511475,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.129,3.5304877758026123,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.1916,3.6251060962677,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.1361,2.8742034435272217,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.1851,4.75045919418335,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.2773,10.008620262145996,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.1728,4.583952903747559,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.1689,5.272795677185059,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.2263,4.383834362030029,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.1541,3.6912577152252197,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.2161,5.801534652709961,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.1878,4.465765953063965,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.1586,4.1368513107299805,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.1808,4.499114036560059,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.1204,3.373440742492676,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.1757,4.763117790222168,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0843,1.4643195867538452,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.1072,3.673532724380493,1.84375e-05,,,,,,,,,,,
71,1.42,0.1478,3.4890968799591064,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.1644,3.142479419708252,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0996,2.767298936843872,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.1125,2.4721267223358154,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.11,3.6028716564178467,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.0,0.0,6.4697,15.457,0.155,,,,,,
76,1.52,0.0766,2.3519699573516846,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.1461,6.214512348175049,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.1959,4.377101898193359,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.1313,3.2501630783081055,1.8125e-05,,,,,,,,,,,
80,1.6,0.1106,6.089990615844727,1.8090277777777777e-05,,,,,,,,,,,
