step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.7568,7.105169773101807,0.0,,,,,,,,,,,
2,0.08,0.5464,5.561496257781982,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.6094,5.0718512535095215,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.7842,6.62281608581543,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.7607,6.985551834106445,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.6167,5.6093950271606445,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.4766,4.694976329803467,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.3628,3.5322210788726807,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.3159,3.7116599082946777,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.3479,4.329184532165527,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.3479,4.13010835647583,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.2432,3.047184467315674,2e-05,,,,,,,,,,,
13,0.52,0.3281,3.2780089378356934,2e-05,,,,,,,,,,,
14,0.56,0.2207,2.757582426071167,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1605,3.7080023288726807,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1654,2.641028642654419,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1317,1.8635507822036743,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1824,1.872360110282898,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1282,1.705725908279419,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.1219,1.8602313995361328,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1011,1.72246253490448,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.119,1.3212043046951294,1.9375e-05,,,,,,,,,,,
23,0.92,0.069,2.1326000690460205,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1144,1.3182936906814575,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0696,1.0784046649932861,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.4863013698129027,0.4863013698129027,20.0138,4.997,0.05,,,,,,
26,1.04,0.0956,1.1259583234786987,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0907,1.2698485851287842,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0968,1.2967973947525024,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0654,1.058768391609192,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0757,1.5793455839157104,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.044,1.0196748971939087,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0412,1.030277967453003,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0947,1.65829336643219,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0847,1.3404380083084106,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.1246,2.180124044418335,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.1067,2.3900203704833984,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0756,1.5308773517608643,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0734,1.932140588760376,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.5673603504428385,0.5673603504428385,13.7006,7.299,0.073,,,,,,
39,1.56,0.0474,0.8781004548072815,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0735,1.2413302659988403,1.8125e-05,,,,,,,,,,,
41,1.64,0.0795,1.7803387641906738,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.078,1.1233361959457397,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0805,1.1350723505020142,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0545,0.8831152319908142,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.108,1.5649245977401733,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0653,1.211890459060669,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0349,0.5509744882583618,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0425,0.869785726070404,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0614,0.9928638935089111,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0398,0.6963622570037842,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.6619883040434427,0.6619883040434427,12.9639,7.714,0.077,,,,,,
51,2.04,0.0304,0.8485305309295654,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.049,1.1348568201065063,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0447,1.357423186302185,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0413,1.1394836902618408,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0425,1.1822577714920044,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0275,1.077930212020874,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0717,0.9509186148643494,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0468,0.5126234292984009,1.6875e-05,,,,,,,,,,,
59,2.36,0.0395,0.8328608870506287,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0775,0.8320074081420898,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0304,0.8837200999259949,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.0408,1.51083505153656,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.6146993317984455,0.6146993317984455,20.8133,4.805,0.048,,,,,,
63,2.52,0.048,1.1813033819198608,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.0407,1.046435832977295,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.0347,1.3318581581115723,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.0213,0.6083002686500549,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.0388,0.6289105415344238,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.0757,1.1785703897476196,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.0551,0.8494234681129456,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.0608,1.2689729928970337,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.0272,0.4459300637245178,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.0806,1.1213003396987915,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.0415,0.7049573659896851,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.0392,0.8287262916564941,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.0497,1.27850341796875,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.6943483275161659,0.6943483275161659,13.5654,7.372,0.074,,,,,,
76,3.04,0.0337,0.7940784692764282,1.5625e-05,,,,,,,,,,,
77,3.08,0.0203,0.4226323962211609,1.555555555555556e-05,,,,,,,,,,,
78,3.12,0.035,0.5367417931556702,1.5486111111111113e-05,,,,,,,,,,,
79,3.16,0.0287,0.709795355796814,1.5416666666666668e-05,,,,,,,,,,,
80,3.2,0.0211,0.5838349461555481,1.5347222222222226e-05,,,,,,,,,,,
81,3.24,0.0423,0.7199580073356628,1.5277777777777777e-05,,,,,,,,,,,
82,3.28,0.0453,0.81890469789505,1.5208333333333333e-05,,,,,,,,,,,
83,3.32,0.0428,0.8618518710136414,1.513888888888889e-05,,,,,,,,,,,
84,3.36,0.0324,0.8556376695632935,1.5069444444444446e-05,,,,,,,,,,,
85,3.4,0.0278,0.556652843952179,1.5000000000000002e-05,,,,,,,,,,,
86,3.44,0.0226,0.7592166066169739,1.4930555555555557e-05,,,,,,,,,,,
87,3.48,0.0609,1.4416494369506836,1.4861111111111113e-05,,,,,,,,,,,
88,3.52,0.031,1.046284556388855,1.479166666666667e-05,,,,,,,,,,,
88,3.52,,,,0.6911111110609931,0.6911111110609931,13.3646,7.482,0.075,,,,,,
89,3.56,0.0443,0.7072638869285583,1.4722222222222224e-05,,,,,,,,,,,
90,3.6,0.0203,0.875465989112854,1.4652777777777779e-05,,,,,,,,,,,
91,3.64,0.0198,0.7175269722938538,1.4583333333333333e-05,,,,,,,,,,,
92,3.68,0.0231,0.7267221212387085,1.451388888888889e-05,,,,,,,,,,,
93,3.72,0.0416,0.6793301701545715,1.4444444444444446e-05,,,,,,,,,,,
94,3.76,0.05,0.741472601890564,1.4375e-05,,,,,,,,,,,
95,3.8,0.0288,0.6145697236061096,1.4305555555555557e-05,,,,,,,,,,,
96,3.84,0.0489,1.011586308479309,1.4236111111111113e-05,,,,,,,,,,,
97,3.88,0.027,0.6930056810379028,1.416666666666667e-05,,,,,,,,,,,
98,3.92,0.049,1.331681728363037,1.4097222222222224e-05,,,,,,,,,,,
99,3.96,0.0499,1.4911127090454102,1.4027777777777779e-05,,,,,,,,,,,
100,4.0,0.0371,0.9227274060249329,1.3958333333333333e-05,,,,,,,,,,,
100,4.0,,,,0.6966551325911364,0.6966551325911364,13.214,7.568,0.076,,,,,,
101,4.04,0.0145,0.3718850016593933,1.388888888888889e-05,,,,,,,,,,,
102,4.08,0.0224,0.6536024808883667,1.3819444444444446e-05,,,,,,,,,,,
103,4.12,0.0208,0.7639008164405823,1.375e-05,,,,,,,,,,,
104,4.16,0.0342,0.6079822182655334,1.3680555555555557e-05,,,,,,,,,,,
105,4.2,0.0366,0.958968460559845,1.3611111111111113e-05,,,,,,,,,,,
106,4.24,0.0303,0.5668363571166992,1.3541666666666668e-05,,,,,,,,,,,
107,4.28,0.02,0.5749518275260925,1.3472222222222224e-05,,,,,,,,,,,
108,4.32,0.0172,0.7294986248016357,1.3402777777777779e-05,,,,,,,,,,,
109,4.36,0.021,0.8419772386550903,1.3333333333333333e-05,,,,,,,,,,,
110,4.4,0.0308,0.5074923038482666,1.326388888888889e-05,,,,,,,,,,,
111,4.44,0.0452,1.0730112791061401,1.3194444444444446e-05,,,,,,,,,,,
112,4.48,0.0301,0.4066567122936249,1.3125e-05,,,,,,,,,,,
112,4.48,,,,0.6964490262957745,0.6964490262957745,13.0342,7.672,0.077,,,,,,
113,4.52,0.0094,0.3374689519405365,1.3055555555555557e-05,,,,,,,,,,,
114,4.56,0.0272,1.111711859703064,1.2986111111111113e-05,,,,,,,,,,,
115,4.6,0.0323,1.0862177610397339,1.2916666666666668e-05,,,,,,,,,,,
116,4.64,0.0452,1.2451777458190918,1.2847222222222224e-05,,,,,,,,,,,
117,4.68,0.0376,0.8875157833099365,1.2777777777777777e-05,,,,,,,,,,,
118,4.72,0.0298,1.320364236831665,1.2708333333333333e-05,,,,,,,,,,,
119,4.76,0.0279,0.6228495836257935,1.263888888888889e-05,,,,,,,,,,,
120,4.8,0.0349,1.3299202919006348,1.2569444444444446e-05,,,,,,,,,,,
121,4.84,0.0386,0.9377152323722839,1.25e-05,,,,,,,,,,,
122,4.88,0.0188,0.632598876953125,1.2430555555555557e-05,,,,,,,,,,,
123,4.92,0.0091,0.3034416139125824,1.2361111111111113e-05,,,,,,,,,,,
124,4.96,0.0348,0.9658088088035583,1.2291666666666668e-05,,,,,,,,,,,
125,5.0,0.0224,0.8600841164588928,1.2222222222222224e-05,,,,,,,,,,,
125,5.0,,,,0.7064220182984629,0.7064220182984629,13.4123,7.456,0.075,,,,,,
126,5.04,0.0353,0.579786479473114,1.2152777777777777e-05,,,,,,,,,,,
127,5.08,0.0376,0.8252686262130737,1.2083333333333333e-05,,,,,,,,,,,
128,5.12,0.0324,0.40045273303985596,1.201388888888889e-05,,,,,,,,,,,
129,5.16,0.0252,1.007889747619629,1.1944444444444444e-05,,,,,,,,,,,
130,5.2,0.0165,0.27539879083633423,1.1875e-05,,,,,,,,,,,
131,5.24,0.0255,0.6086018681526184,1.1805555555555557e-05,,,,,,,,,,,
132,5.28,0.0169,0.4654901921749115,1.1736111111111113e-05,,,,,,,,,,,
133,5.32,0.0308,0.848265528678894,1.1666666666666668e-05,,,,,,,,,,,
134,5.36,0.0252,0.8014643788337708,1.1597222222222224e-05,,,,,,,,,,,
135,5.4,0.0119,0.4444189965724945,1.1527777777777777e-05,,,,,,,,,,,
136,5.44,0.0208,0.569265604019165,1.1458333333333333e-05,,,,,,,,,,,
137,5.48,0.0113,0.5707247257232666,1.138888888888889e-05,,,,,,,,,,,
138,5.52,0.0346,0.5722859501838684,1.1319444444444444e-05,,,,,,,,,,,
138,5.52,,,,0.7058823528910191,0.7058823528910191,13.3536,7.489,0.075,,,,,,
139,5.56,0.0147,0.6451433897018433,1.125e-05,,,,,,,,,,,
140,5.6,0.0211,0.627124011516571,1.1180555555555557e-05,,,,,,,,,,,
141,5.64,0.03,0.8096219301223755,1.1111111111111113e-05,,,,,,,,,,,
142,5.68,0.0107,0.3002450168132782,1.1041666666666668e-05,,,,,,,,,,,
143,5.72,0.0243,0.7554271221160889,1.0972222222222224e-05,,,,,,,,,,,
144,5.76,0.023,0.4629536271095276,1.0902777777777777e-05,,,,,,,,,,,
145,5.8,0.0188,0.4045475125312805,1.0833333333333334e-05,,,,,,,,,,,
146,5.84,0.0228,0.4879324734210968,1.076388888888889e-05,,,,,,,,,,,
147,5.88,0.0119,0.3672569692134857,1.0694444444444444e-05,,,,,,,,,,,
148,5.92,0.0106,0.3314518630504608,1.0625e-05,,,,,,,,,,,
149,5.96,0.0282,0.8359671831130981,1.0555555555555557e-05,,,,,,,,,,,
150,6.0,0.0277,1.2931880950927734,1.0486111111111112e-05,,,,,,,,,,,
150,6.0,,,,0.6992230854104826,0.6992230854104826,13.2684,7.537,0.075,,,,,,
151,6.04,0.0178,0.6282556653022766,1.0416666666666668e-05,,,,,,,,,,,
