step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.6182,5.623202800750732,0.0,,,,,,,,,,,
2,0.04,0.6357,6.702813148498535,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.5107,5.250030517578125,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.6973,8.109149932861328,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.6592,6.114175796508789,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.5049,6.3704962730407715,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.5557,5.286734580993652,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.2849,3.688478469848633,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2891,3.5352611541748047,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.3296,3.545503616333008,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.2732,3.4981377124786377,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.2554,3.2869768142700195,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.2051,2.231987714767456,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.2617,2.8255767822265625,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1945,2.3706345558166504,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1328,1.8946760892868042,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.163,1.632772445678711,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.149,2.823920488357544,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.179,3.071040391921997,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0938,1.5362834930419922,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1365,1.6305389404296875,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0975,1.450476050376892,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0616,1.1479400396347046,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.1,1.6984622478485107,2e-05,,,,,,,,,,,
25,0.5,0.0723,1.115790605545044,2e-05,,,,,,,,,,,
26,0.52,0.0425,1.3433235883712769,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0462,1.0196633338928223,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0846,1.7516891956329346,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0546,1.1013447046279907,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0657,1.0317293405532837,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.0779,0.9906491041183472,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.042,1.4398488998413086,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0893,1.1875152587890625,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0593,0.8849292397499084,1.96875e-05,,,,,,,,,,,
35,0.7,0.0764,1.243054986000061,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0301,0.797970175743103,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0471,0.9118345379829407,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0575,1.4162697792053223,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0565,1.634808897972107,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0511,1.6195381879806519,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0416,0.6805118918418884,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0545,1.0199872255325317,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0305,0.5672268271446228,1.9375e-05,,,,,,,,,,,
44,0.88,0.0455,1.4490224123001099,1.9340277777777777e-05,,,,,,,,,,,
