step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.023,3.9702,109.00201416015625,6.8884950399405484e-06,,,,,,,,,,,
10,0.045,0.8946,71.02989196777344,9.855208374047785e-06,,,,,,,,,,,
15,0.068,0.5491,17.258846282958984,1.159062442488995e-05,,,,,,,,,,,
20,0.09,0.4747,32.99443054199219,1.2821921708155018e-05,,,,,,,,,,,
25,0.113,0.3053,15.725998878479004,1.3776990079881097e-05,,,,,,,,,,,
30,0.135,0.381,29.807138442993164,1.4557337758997188e-05,,,,,,,,,,,
35,0.158,0.2822,11.327698707580566,1.521711232078042e-05,,,,,,,,,,,
40,0.18,0.2083,7.186110973358154,1.5788635042262254e-05,,,,,,,,,,,
45,0.203,0.321,10.235509872436523,1.6292753809839353e-05,,,,,,,,,,,
50,0.225,0.3002,97.79497528076172,1.6743703413988334e-05,,,,,,,,,,,
55,0.248,0.1915,9.846638679504395,1.7151636951383997e-05,,,,,,,,,,,
60,0.27,0.3016,13.865605354309082,1.752405109310442e-05,,,,,,,,,,,
65,0.293,0.202,7.966592788696289,1.7866638893809745e-05,,,,,,,,,,,
70,0.315,0.1898,6.489495754241943,1.818382565488766e-05,,,,,,,,,,,
75,0.338,0.2516,13.46125316619873,1.8479119464830498e-05,,,,,,,,,,,
80,0.36,0.264,10.97807788848877,1.875534837636949e-05,,,,,,,,,,,
85,0.383,0.3202,10.646062850952148,1.9014825553745778e-05,,,,,,,,,,,
90,0.405,0.232,12.595958709716797,1.9259467143946592e-05,,,,,,,,,,,
95,0.428,0.1968,15.219505310058594,1.9490878236394627e-05,,,,,,,,,,,
100,0.45,0.1932,9.597290992736816,1.971041674809557e-05,,,,,,,,,,,
105,0.473,0.126,6.949404239654541,1.9919241705729823e-05,,,,,,,,,,,
110,0.495,0.2033,3.696337938308716,1.9984356667970278e-05,,,,,,,,,,,
111,0.5,,,,0.5977777777277435,0.5977777777277435,8.651,377.182,1.965,,,,,,
115,0.518,0.1745,15.111055374145508,1.9945248337895972e-05,,,,,,,,,,,
120,0.541,0.171,8.896171569824219,1.9906140007821667e-05,,,,,,,,,,,
125,0.563,0.1737,13.921542167663574,1.986703167774736e-05,,,,,,,,,,,
130,0.586,0.1452,12.686783790588379,1.9827923347673055e-05,,,,,,,,,,,
135,0.608,0.1448,12.160735130310059,1.978881501759875e-05,,,,,,,,,,,
140,0.631,0.155,8.827352523803711,1.9749706687524444e-05,,,,,,,,,,,
145,0.653,0.1677,15.671202659606934,1.971059835745014e-05,,,,,,,,,,,
150,0.676,0.2229,13.814936637878418,1.9671490027375833e-05,,,,,,,,,,,
155,0.698,0.1909,10.558571815490723,1.9632381697301527e-05,,,,,,,,,,,
160,0.721,0.1063,1.9533705711364746,1.959327336722722e-05,,,,,,,,,,,
165,0.743,0.1291,8.874466896057129,1.9554165037152916e-05,,,,,,,,,,,
170,0.766,0.1308,3.012795925140381,1.951505670707861e-05,,,,,,,,,,,
175,0.788,0.1692,3.140967845916748,1.9475948377004304e-05,,,,,,,,,,,
180,0.811,0.2468,18.12221336364746,1.9436840046929995e-05,,,,,,,,,,,
185,0.833,0.1821,4.858859539031982,1.9397731716855693e-05,,,,,,,,,,,
190,0.856,0.0993,5.851762771606445,1.9358623386781384e-05,,,,,,,,,,,
195,0.878,0.0944,8.546004295349121,1.9319515056707082e-05,,,,,,,,,,,
200,0.901,0.1311,16.851497650146484,1.9280406726632773e-05,,,,,,,,,,,
205,0.923,0.1532,11.916327476501465,1.9241298396558467e-05,,,,,,,,,,,
210,0.946,0.1947,7.831335067749023,1.9202190066484165e-05,,,,,,,,,,,
215,0.968,0.1595,10.445857048034668,1.9163081736409856e-05,,,,,,,,,,,
220,0.991,0.121,6.219301700592041,1.9123973406335553e-05,,,,,,,,,,,
222,1.0,,,,0.5692803436666024,0.5692803436666024,7.4528,437.819,2.281,,,,,,
225,1.014,0.1161,4.167746067047119,1.9084865076261244e-05,,,,,,,,,,,
230,1.036,0.1809,3.44195556640625,1.904575674618694e-05,,,,,,,,,,,
235,1.059,0.1048,7.1662678718566895,1.9006648416112633e-05,,,,,,,,,,,
240,1.081,0.0703,5.136200428009033,1.8967540086038327e-05,,,,,,,,,,,
245,1.104,0.1142,9.692354202270508,1.8928431755964022e-05,,,,,,,,,,,
250,1.126,0.0936,8.92463207244873,1.8889323425889716e-05,,,,,,,,,,,
255,1.149,0.2077,11.87260627746582,1.885021509581541e-05,,,,,,,,,,,
260,1.171,0.1575,9.50377082824707,1.8811106765741105e-05,,,,,,,,,,,
265,1.194,0.0572,7.017719268798828,1.87719984356668e-05,,,,,,,,,,,
270,1.216,0.1505,7.206668376922607,1.873289010559249e-05,,,,,,,,,,,
275,1.239,0.0893,1.2313634157180786,1.8693781775518188e-05,,,,,,,,,,,
280,1.261,0.0975,9.168519973754883,1.8654673445443882e-05,,,,,,,,,,,
285,1.284,0.1038,7.57987117767334,1.8615565115369576e-05,,,,,,,,,,,
290,1.306,0.1048,6.294585704803467,1.857645678529527e-05,,,,,,,,,,,
295,1.329,0.107,9.162863731384277,1.8537348455220962e-05,,,,,,,,,,,
300,1.351,0.1192,3.6535370349884033,1.849824012514666e-05,,,,,,,,,,,
305,1.374,0.122,7.915433406829834,1.845913179507235e-05,,,,,,,,,,,
310,1.396,0.1597,6.959122657775879,1.8420023464998048e-05,,,,,,,,,,,
315,1.419,0.1415,7.742908477783203,1.838091513492374e-05,,,,,,,,,,,
320,1.441,0.1468,9.509757041931152,1.8341806804849433e-05,,,,,,,,,,,
325,1.464,0.1049,3.5518829822540283,1.8302698474775128e-05,,,,,,,,,,,
330,1.486,0.1561,6.433948516845703,1.8263590144700822e-05,,,,,,,,,,,
333,1.5,,,,0.5664739883891772,0.5664739883891772,6.9579,468.963,2.443,,,,,,
335,1.509,0.0657,2.7736945152282715,1.8224481814626516e-05,,,,,,,,,,,
340,1.532,0.0638,2.4269888401031494,1.818537348455221e-05,,,,,,,,,,,
345,1.554,0.1846,9.500033378601074,1.8146265154477905e-05,,,,,,,,,,,
350,1.577,0.0913,21.295211791992188,1.81071568244036e-05,,,,,,,,,,,
355,1.599,0.1087,6.913588047027588,1.8068048494329294e-05,,,,,,,,,,,
