step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.019,4.7916,122.90642547607422,6.655682788551919e-06,,,,,,,,,,,
10,0.038,1.0327,22.017324447631836,9.522129343553784e-06,,,,,,,,,,,
15,0.057,0.3373,35.20949172973633,1.1198893088551218e-05,,,,,,,,,,,
20,0.076,0.2051,14.293877601623535,1.2388575898555646e-05,,,,,,,,,,,
25,0.095,0.2114,16.14236831665039,1.3311365577103839e-05,,,,,,,,,,,
30,0.115,0.1455,4.891982078552246,1.4065339643553083e-05,,,,,,,,,,,
35,0.134,0.1584,8.13148307800293,1.4702815633551465e-05,,,,,,,,,,,
40,0.153,0.1143,10.759566307067871,1.525502245355751e-05,,,,,,,,,,,
45,0.172,0.127,4.640134334564209,1.5742103388550514e-05,,,,,,,,,,,
50,0.191,0.1086,9.618390083312988,1.6177812132105704e-05,,,,,,,,,,,
55,0.21,0.0989,5.299991607666016,1.657195863405932e-05,,,,,,,,,,,
60,0.229,0.0981,2.997453212738037,1.6931786198554942e-05,,,,,,,,,,,
65,0.248,0.1073,8.790308952331543,1.726279547060952e-05,,,,,,,,,,,
70,0.267,0.0878,3.2303638458251953,1.756926218855333e-05,,,,,,,,,,,
75,0.286,0.1095,5.689229965209961,1.7854575877103134e-05,,,,,,,,,,,
80,0.305,0.1424,6.092729091644287,1.8121469008559374e-05,,,,,,,,,,,
85,0.324,0.1003,11.386795997619629,1.8372176568552083e-05,,,,,,,,,,,
90,0.344,0.0603,2.6912500858306885,1.8608549943552376e-05,,,,,,,,,,,
95,0.363,0.0835,9.88675308227539,1.8832139975359918e-05,,,,,,,,,,,
100,0.382,0.117,7.480127811431885,1.904425868710757e-05,,,,,,,,,,,
105,0.401,0.0764,3.3154313564300537,1.924602593355076e-05,,,,,,,,,,,
110,0.42,0.0858,2.8805041313171387,1.9438405189061186e-05,,,,,,,,,,,
115,0.439,0.07,2.6720476150512695,1.9622231373829038e-05,,,,,,,,,,,
120,0.458,0.0765,2.1053619384765625,1.9798232753556807e-05,,,,,,,,,,,
125,0.477,0.1263,6.559051513671875,1.996704836565576e-05,,,,,,,,,,,
130,0.496,0.0884,6.04427433013916,1.9980119284294236e-05,,,,,,,,,,,
131,0.5,,,,0.5128205127715162,0.5128205127715162,11.3489,388.673,2.027,,,,,,
135,0.515,0.1482,5.561436176300049,1.994698475811796e-05,,,,,,,,,,,
140,0.534,0.1024,12.348527908325195,1.9913850231941686e-05,,,,,,,,,,,
145,0.553,0.0815,5.8095293045043945,1.988071570576541e-05,,,,,,,,,,,
150,0.573,0.0684,4.207723617553711,1.9847581179589133e-05,,,,,,,,,,,
155,0.592,0.1399,6.013460636138916,1.9814446653412858e-05,,,,,,,,,,,
160,0.611,0.0771,3.604940414428711,1.9781312127236583e-05,,,,,,,,,,,
165,0.63,0.0776,2.2875680923461914,1.9748177601060304e-05,,,,,,,,,,,
170,0.649,0.1273,5.959117889404297,1.971504307488403e-05,,,,,,,,,,,
175,0.668,0.0855,6.106358528137207,1.9681908548707754e-05,,,,,,,,,,,
180,0.687,0.0718,2.923881769180298,1.964877402253148e-05,,,,,,,,,,,
185,0.706,0.1023,11.041097640991211,1.9615639496355204e-05,,,,,,,,,,,
190,0.725,0.1159,5.735028266906738,1.958250497017893e-05,,,,,,,,,,,
195,0.744,0.0416,3.246570348739624,1.9549370444002654e-05,,,,,,,,,,,
200,0.763,0.0761,4.114360332489014,1.9516235917826376e-05,,,,,,,,,,,
205,0.782,0.1211,10.037504196166992,1.94831013916501e-05,,,,,,,,,,,
210,0.802,0.0567,4.879584789276123,1.9449966865473826e-05,,,,,,,,,,,
215,0.821,0.0589,2.1227078437805176,1.9416832339297547e-05,,,,,,,,,,,
220,0.84,0.0804,3.0655593872070312,1.9383697813121272e-05,,,,,,,,,,,
225,0.859,0.0948,4.687201499938965,1.9350563286944997e-05,,,,,,,,,,,
230,0.878,0.0599,4.326455116271973,1.9317428760768722e-05,,,,,,,,,,,
235,0.897,0.0652,5.533711910247803,1.9284294234592447e-05,,,,,,,,,,,
240,0.916,0.0594,3.4967339038848877,1.9251159708416172e-05,,,,,,,,,,,
245,0.935,0.0592,8.998888969421387,1.9218025182239894e-05,,,,,,,,,,,
250,0.954,0.0411,2.327434778213501,1.918489065606362e-05,,,,,,,,,,,
255,0.973,0.0661,12.282999038696289,1.9151756129887344e-05,,,,,,,,,,,
260,0.992,0.0425,2.708022356033325,1.911862160371107e-05,,,,,,,,,,,
262,1.0,,,,0.5093795093303558,0.5093795093303558,10.2551,430.128,2.243,,,,,,
265,1.011,0.0612,6.354980945587158,1.9085487077534794e-05,,,,,,,,,,,
270,1.031,0.1061,6.084201812744141,1.905235255135852e-05,,,,,,,,,,,
275,1.05,0.0694,3.4105818271636963,1.9019218025182244e-05,,,,,,,,,,,
280,1.069,0.0421,0.8849384188652039,1.8986083499005965e-05,,,,,,,,,,,
285,1.088,0.0667,1.7909551858901978,1.895294897282969e-05,,,,,,,,,,,
290,1.107,0.0769,3.4619433879852295,1.8919814446653415e-05,,,,,,,,,,,
295,1.126,0.0239,3.8010897636413574,1.8886679920477137e-05,,,,,,,,,,,
300,1.145,0.0796,6.1440653800964355,1.8853545394300862e-05,,,,,,,,,,,
305,1.164,0.0378,0.45523956418037415,1.8820410868124587e-05,,,,,,,,,,,
310,1.183,0.0895,1.0688363313674927,1.8787276341948312e-05,,,,,,,,,,,
315,1.202,0.096,9.104567527770996,1.8754141815772037e-05,,,,,,,,,,,
320,1.221,0.0527,1.208940029144287,1.8721007289595762e-05,,,,,,,,,,,
325,1.24,0.0285,1.1914700269699097,1.8687872763419487e-05,,,,,,,,,,,
330,1.26,0.0286,1.742940068244934,1.865473823724321e-05,,,,,,,,,,,
335,1.279,0.044,0.25965189933776855,1.8621603711066934e-05,,,,,,,,,,,
340,1.298,0.0565,1.0764719247817993,1.858846918489066e-05,,,,,,,,,,,
345,1.317,0.1134,3.4245681762695312,1.855533465871438e-05,,,,,,,,,,,
350,1.336,0.1012,5.3079609870910645,1.8522200132538105e-05,,,,,,,,,,,
