step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.009,1.7551,31.202198028564453,5.768873987190341e-06,,,,,,,,,,,
10,0.018,0.629,9.157744407653809,8.253392779952611e-06,,,,,,,,,,,
15,0.027,0.2473,8.003569602966309,9.706743106055534e-06,,,,,,,,,,,
20,0.036,0.1662,2.992680311203003,1.0737911572714876e-05,,,,,,,,,,,
25,0.045,0.1384,3.6890766620635986,1.1537747974380681e-05,,,,,,,,,,,
30,0.054,0.1214,2.9246315956115723,1.21912618988178e-05,,,,,,,,,,,
35,0.064,0.1099,2.1257314682006836,1.2743800048996109e-05,,,,,,,,,,,
40,0.073,0.104,3.9693527221679688,1.3222430365477144e-05,,,,,,,,,,,
45,0.082,0.0818,4.322475433349609,1.3644612224920727e-05,,,,,,,,,,,
50,0.091,0.0718,5.630680561065674,1.4022266767142951e-05,,,,,,,,,,,
55,0.1,0.0748,3.746826171875,1.4363896855970699e-05,,,,,,,,,,,
60,0.109,0.0559,2.4420113563537598,1.4675780691580068e-05,,,,,,,,,,,
65,0.118,0.0584,2.091135263442993,1.4962686008395792e-05,,,,,,,,,,,
70,0.127,0.0591,1.928449034690857,1.522831884175838e-05,,,,,,,,,,,
75,0.136,0.0651,3.2264442443847656,1.5475617093245874e-05,,,,,,,,,,,
80,0.145,0.0532,2.433128595352173,1.570694915823941e-05,,,,,,,,,,,
85,0.154,0.0511,2.14634108543396,1.5924252230994265e-05,,,,,,,,,,,
90,0.163,0.0424,1.6023305654525757,1.6129131017682994e-05,,,,,,,,,,,
95,0.172,0.0448,2.9567301273345947,1.6322929724632822e-05,,,,,,,,,,,
100,0.181,0.0567,4.782155990600586,1.6506785559905222e-05,,,,,,,,,,,
105,0.191,0.0441,0.9992344379425049,1.66816691678613e-05,,,,,,,,,,,
110,0.2,0.0399,2.4540653228759766,1.6848415648732967e-05,,,,,,,,,,,
115,0.209,0.0416,2.404101848602295,1.7007748677238435e-05,,,,,,,,,,,
120,0.218,0.0377,1.0741339921951294,1.7160299484342336e-05,,,,,,,,,,,
125,0.227,0.0326,0.7975568771362305,1.7306621961571025e-05,,,,,,,,,,,
130,0.236,0.0419,2.2871334552764893,1.7447204801158062e-05,,,,,,,,,,,
135,0.245,0.0387,1.9306318759918213,1.7582481343785917e-05,,,,,,,,,,,
140,0.254,0.0358,1.5390435457229614,1.7712837634520643e-05,,,,,,,,,,,
145,0.263,0.032,1.0836747884750366,1.7838619064466737e-05,,,,,,,,,,,
150,0.272,0.0314,2.0434486865997314,1.7960135886008142e-05,,,,,,,,,,,
155,0.281,0.03,0.6198813915252686,1.8077667823380024e-05,,,,,,,,,,,
160,0.29,0.0326,1.4487935304641724,1.819146795100168e-05,,,,,,,,,,,
165,0.299,0.0294,1.44683837890625,1.8301765974835886e-05,,,,,,,,,,,
170,0.309,0.0249,0.6850534677505493,1.8408771023756533e-05,,,,,,,,,,,
175,0.318,0.0282,1.339664340019226,1.8512674036186452e-05,,,,,,,,,,,
180,0.327,0.0261,0.6782093048095703,1.861364981044526e-05,,,,,,,,,,,
185,0.336,0.0262,0.8559888005256653,1.871185877411411e-05,,,,,,,,,,,
190,0.345,0.0275,1.7579224109649658,1.8807448517395087e-05,,,,,,,,,,,
195,0.354,0.0275,1.6509710550308228,1.8900555127260988e-05,,,,,,,,,,,
200,0.363,0.0332,1.2118091583251953,1.8991304352667487e-05,,,,,,,,,,,
205,0.372,0.0223,0.585987389087677,1.907981262586513e-05,,,,,,,,,,,
210,0.381,0.0271,1.1079391241073608,1.916618796062357e-05,,,,,,,,,,,
215,0.39,0.0237,0.7732269167900085,1.925053074475124e-05,,,,,,,,,,,
220,0.399,0.0232,0.5523614883422852,1.9332934441495235e-05,,,,,,,,,,,
225,0.408,0.0251,0.7108570337295532,1.9413486212111068e-05,,,,,,,,,,,
230,0.417,0.0276,1.058264136314392,1.9492267470000703e-05,,,,,,,,,,,
235,0.426,0.026,0.8162183165550232,1.956935437525122e-05,,,,,,,,,,,
240,0.436,0.0299,1.2042094469070435,1.9644818277104604e-05,,,,,,,,,,,
