average_f1,crossner_ai_f1,crossner_ai_prec,crossner_ai_rec,crossner_literature_f1,crossner_literature_prec,crossner_literature_rec,crossner_music_f1,crossner_music_prec,crossner_music_rec,crossner_politics_f1,crossner_politics_prec,crossner_politics_rec,crossner_science_f1,crossner_science_prec,crossner_science_rec,epoch,mit-movie_f1,mit-movie_prec,mit-movie_rec,mit-restaurant_f1,mit-restaurant_prec,mit-restaurant_rec,step,train_loss
,,,,,,,,,,,,,,,,0.0035,,,,,,,1,1.7665612697601318
,,,,,,,,,,,,,,,,0.007,,,,,,,2,1.0308985710144043
,,,,,,,,,,,,,,,,0.0106,,,,,,,3,0.679949164390564
,,,,,,,,,,,,,,,,0.0141,,,,,,,4,0.49064022302627563
,,,,,,,,,,,,,,,,0.0176,,,,,,,5,0.3676777184009552
,,,,,,,,,,,,,,,,0.0211,,,,,,,6,0.30688804388046265
,,,,,,,,,,,,,,,,0.0246,,,,,,,7,0.34043633937835693
0.017092731821555223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0933333332981511,0.20588235294057092,0.06034482758615487,0.026315789452735452,0.11111111110987654,0.01492537313430608,8,0.269183486700058
,,,,,,,,,,,,,,,,0.0317,,,,,,,9,0.25363248586654663
,,,,,,,,,,,,,,,,0.0352,,,,,,,10,0.18584269285202026
,,,,,,,,,,,,,,,,0.0387,,,,,,,11,0.19786299765110016
,,,,,,,,,,,,,,,,0.0423,,,,,,,12,0.1907515972852707
,,,,,,,,,,,,,,,,0.0458,,,,,,,13,0.14543822407722473
,,,,,,,,,,,,,,,,0.0493,,,,,,,14,0.1689588576555252
,,,,,,,,,,,,,,,,0.0528,,,,,,,15,0.14559197425842285
0.03121561237444499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632651895043,0.3333333333222222,0.021739130434735347,0.0563,0.12213740455968766,0.5333333333297777,0.06896551724131986,0.05555555554247685,0.399999999992,0.02985074626861216,16,0.10007895529270172
