step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.4652,17.195077896118164,0.0,,,,,,,,,,,
2,0.08,0.6238,28.19817352294922,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.4974,22.635534286499023,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.3533,17.30486488342285,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.2529,7.883967399597168,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.3015,17.22808837890625,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.0972,4.831230163574219,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.1008,2.7632546424865723,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0587,2.424466609954834,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.1511,4.002985954284668,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.058,1.8990120887756348,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.108,3.4934980869293213,2e-05,,,,,,,,,,,
12,0.48,,,,0.29895712625418086,0.29895712625418086,30.6873,3.259,0.033,,,,,,
13,0.52,0.0867,3.172887086868286,2e-05,,,,,,,,,,,
14,0.56,0.0773,2.288607120513916,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0493,1.6554632186889648,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.045,2.056830883026123,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0843,2.5491340160369873,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0801,2.3666727542877197,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0663,2.2280759811401367,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0601,2.149507999420166,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0314,2.217304229736328,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0744,2.855617046356201,1.9375e-05,,,,,,,,,,,
23,0.92,0.0339,1.6326673030853271,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0528,1.3867344856262207,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0664,2.601073980331421,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.6273381294467152,0.6273381294467152,26.465,3.779,0.038,,,,,,
26,1.04,0.0298,0.8095871210098267,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0463,3.8767189979553223,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0282,3.099652051925659,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0404,4.447973251342773,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0267,1.267791748046875,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0306,4.682821750640869,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0068,2.2180862426757812,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0319,2.507312774658203,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0219,7.37249755859375,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0434,7.043689250946045,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0381,2.1711747646331787,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0202,1.0946670770645142,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.016,0.7591698169708252,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.727950310508955,0.727950310508955,26.8486,3.725,0.037,,,,,,
39,1.56,0.0247,2.3900821208953857,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0295,1.6550482511520386,1.8125e-05,,,,,,,,,,,
41,1.64,0.0332,1.943861722946167,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0075,0.46487879753112793,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0083,0.6585555076599121,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0303,1.4229233264923096,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0251,3.3867595195770264,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0197,1.34213125705719,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.0184,1.289425015449524,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.0193,2.5871119499206543,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0216,0.9761568307876587,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0121,0.7192621231079102,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.7078507078005396,0.7078507078005396,28.4699,3.512,0.035,,,,,,
51,2.04,0.0072,0.6264938712120056,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.0031,0.39663374423980713,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0121,3.248396158218384,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0305,1.768351674079895,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0075,0.6226760745048523,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0027,0.5880646705627441,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0534,5.2544026374816895,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0071,0.9193180799484253,1.6875e-05,,,,,,,,,,,
59,2.36,0.0033,0.23308061063289642,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0275,1.2460331916809082,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.0014,0.2282782793045044,1.6666666666666667e-05,,,,,,,,,,,
