step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.4396,19.224376678466797,0.0,,,,,,,,,,,
2,0.08,0.3762,15.892629623413086,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.3538,14.983843803405762,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.2164,8.465786933898926,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.138,5.535686492919922,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.079,4.316753387451172,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.124,6.116983890533447,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.1181,3.8470985889434814,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.0657,2.3344571590423584,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.0538,2.4364700317382812,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.0464,2.9135961532592773,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.0641,2.841265916824341,2e-05,,,,,,,,,,,
12,0.48,,,,0.6439169138964921,0.6439169138964921,28.6758,3.487,0.035,,,,,,
13,0.52,0.0765,2.300222635269165,2e-05,,,,,,,,,,,
14,0.56,0.0894,3.1146116256713867,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0969,6.13215446472168,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0369,1.4284470081329346,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0633,1.4996708631515503,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0407,1.614532709121704,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0483,2.5433096885681152,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0322,1.1870903968811035,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0442,1.4405231475830078,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0619,1.564638376235962,1.9375e-05,,,,,,,,,,,
23,0.92,0.0197,1.0260764360427856,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0337,1.2628014087677002,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0436,2.543034791946411,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.6899109791783843,0.6899109791783843,28.3979,3.521,0.035,,,,,,
26,1.04,0.031,2.6291284561157227,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0178,1.1083931922912598,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0133,0.712491512298584,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0302,1.630713939666748,1.888888888888889e-05,,,,,,,,,,,
