step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.7891,44.60254669189453,0.0,,,,,,,,,,,
2,0.08,1.0078,57.07551193237305,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.0657,114.32337951660156,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.4693,40.15835189819336,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.3357,39.89997100830078,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.3202,43.46392059326172,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.1182,17.385629653930664,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.4566,31.758970260620117,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2259,29.334335327148438,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.228,13.553513526916504,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1103,6.9628190994262695,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1941,16.57830238342285,2e-05,,,,,,,,,,,
12,0.48,,,,0.14745308305990917,0.14745308305990917,16.8352,5.94,0.059,,,,,,
13,0.52,0.1892,9.487544059753418,2e-05,,,,,,,,,,,
14,0.56,0.1333,7.840221405029297,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0928,6.26312255859375,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1059,7.027806758880615,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0829,4.018165588378906,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1036,5.712774276733398,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1106,6.35688591003418,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.092,6.2550506591796875,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0867,6.706089496612549,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1601,11.067763328552246,1.9375e-05,,,,,,,,,,,
23,0.92,0.0706,7.608565807342529,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1044,6.452868938446045,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0986,8.575665473937988,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.573407202166077,0.573407202166077,16.9696,5.893,0.059,,,,,,
26,1.04,0.0642,5.306309223175049,1.9097222222222225e-05,,,,,,,,,,,
