step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.7929,113.26261901855469,0.0,,,,,,,,,,,
2,0.04,0.6408,63.653114318847656,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.5768,54.3974494934082,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.4791,33.42363739013672,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.2558,36.77446365356445,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.1401,21.010183334350586,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.0901,20.058582305908203,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.1453,12.18868637084961,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.0567,5.11171817779541,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.137,10.23171329498291,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.0664,5.9705891609191895,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.0476,3.650818109512329,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.0667,3.8996431827545166,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1114,16.98644256591797,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.0741,9.541605949401855,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.0789,7.1595587730407715,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.1147,6.767167568206787,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0695,4.945259094238281,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.059,12.243016242980957,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0494,4.427789688110352,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.0952,7.912818908691406,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0313,3.651453733444214,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0349,4.504396915435791,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.0454,4.641829490661621,2e-05,,,,,,,,,,,
25,0.5,0.0805,5.684460163116455,2e-05,,,,,,,,,,,
25,0.5,,,,0.2543950361472163,0.2543950361472163,18.3116,5.461,0.055,,,,,,
26,0.52,0.0812,11.26561164855957,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0772,16.840600967407227,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0388,3.3675854206085205,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0212,2.511584997177124,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.1699,9.944847106933594,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.1009,6.597689151763916,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.1539,12.854837417602539,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.1332,6.831640720367432,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0847,4.550914287567139,1.96875e-05,,,,,,,,,,,
35,0.7,0.0525,6.313911437988281,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0174,1.8789478540420532,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.0305,2.461236000061035,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0496,6.225414752960205,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0267,2.5527050495147705,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0154,5.738927841186523,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0544,4.598349094390869,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0614,2.4176125526428223,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0713,4.523971080780029,1.9375e-05,,,,,,,,,,,
44,0.88,0.1035,4.714116096496582,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0265,3.3175978660583496,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0387,3.0408148765563965,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0291,4.973084449768066,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0774,3.410409450531006,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.0951,6.5794548988342285,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0986,4.554631233215332,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.587917042330739,0.587917042330739,17.094,5.85,0.059,,,,,,
51,1.02,0.0584,6.494752407073975,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0063,0.4519510269165039,1.9062500000000003e-05,,,,,,,,,,,
