step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,1.432,130.69944763183594,0.0,,,,,,,,,,,
2,0.007,1.6015,185.7350616455078,2.777904193701827e-06,,,,,,,,,,,
3,0.01,1.5295,133.02540588378906,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,1.2997,79.37596893310547,5.555808387403654e-06,,,,,,,,,,,
5,0.016,0.5737,43.16680908203125,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,0.2679,30.244831085205078,7.180778171315261e-06,,,,,,,,,,,
7,0.023,0.5239,33.56840515136719,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.1962,11.441926002502441,8.33371258110548e-06,,,,,,,,,,,
9,0.03,0.2331,22.213966369628906,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.1507,9.647439002990723,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.1028,6.264066696166992,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.1422,7.902904987335205,9.958682365017088e-06,,,,,,,,,,,
13,0.043,0.0733,11.009224891662598,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.0736,3.435126543045044,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.0899,4.840985298156738,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.0741,2.825986623764038,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.0959,4.102940082550049,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.0513,2.468416452407837,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.0759,3.5682358741760254,1.1800335654136308e-05,,,,,,,,,,,
20,0.066,0.0593,4.808701515197754,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.0614,2.889665126800537,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.034,2.3180079460144043,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.0554,4.099576950073242,1.2566021728200815e-05,,,,,,,,,,,
24,0.079,0.0377,3.481677770614624,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.0494,4.148897171020508,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0435,1.7602261304855347,1.3057371205266773e-05,,,,,,,,,,,
27,0.089,0.0561,3.444150686264038,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.065,2.4610137939453125,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.0395,2.4119932651519775,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.0598,3.156266212463379,1.3630871963576958e-05,,,,,,,,,,,
31,0.102,0.088,3.191631317138672,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.0613,2.803194284439087,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.0457,2.4650967121124268,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0347,1.0662256479263306,1.413248436201153e-05,,,,,,,,,,,
35,0.115,0.0621,3.101933717727661,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.042,2.068828821182251,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0231,1.7314527034759521,1.4471362351274756e-05,,,,,,,,,,,
38,0.125,0.0734,6.008776664733887,1.4578239847838136e-05,,,,,,,,,,,
39,0.128,0.0713,2.670671224594116,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0604,2.6861040592193604,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.0663,3.380314588546753,1.4882766181604204e-05,,,,,,,,,,,
42,0.138,0.0338,5.039766311645508,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0607,3.6861042976379395,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.0513,3.5900940895080566,1.51657779886409e-05,,,,,,,,,,,
45,0.148,0.0462,1.5545381307601929,1.5255841747488564e-05,,,,,,,,,,,
46,0.151,0.0385,2.6230621337890625,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.0281,1.4284248352050781,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.0458,2.662990093231201,1.5514490752420744e-05,,,,,,,,,,,
49,0.161,0.0572,4.257226467132568,1.5597126022386567e-05,,,,,,,,,,,
50,0.164,0.0679,3.357393741607666,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.0682,3.1315133571624756,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.0512,3.242539882659912,1.58352753989686e-05,,,,,,,,,,,
53,0.174,0.0442,2.1012539863586426,1.5911614251921585e-05,,,,,,,,,,,
54,0.177,0.0374,2.4384336471557617,1.598652612654213e-05,,,,,,,,,,,
55,0.18,0.0321,1.559692621231079,1.6060063393498945e-05,,,,,,,,,,,
56,0.184,0.0395,1.4382879734039307,1.6132275592298766e-05,,,,,,,,,,,
57,0.187,0.0632,4.823357105255127,1.6203209631749744e-05,,,,,,,,,,,
58,0.19,0.0311,1.4160752296447754,1.6272909972990483e-05,,,,,,,,,,,
59,0.193,0.0314,3.37280011177063,1.6341418796873162e-05,,,,,,,,,,,
60,0.197,0.053,4.076927661895752,1.6408776157278784e-05,,,,,,,,,,,
61,0.2,0.0629,3.123302936553955,1.6475020121759948e-05,,,,,,,,,,,
62,0.203,0.0673,2.524902105331421,1.6540186900747646e-05,,,,,,,,,,,
63,0.207,0.0296,2.1564671993255615,1.660431096642015e-05,,,,,,,,,,,
64,0.21,0.0966,2.820934534072876,1.666742516221096e-05,,,,,,,,,,,
65,0.213,0.0511,2.2504067420959473,1.672956080382664e-05,,,,,,,,,,,
66,0.216,0.0757,3.569087505340576,1.6790747772552507e-05,,,,,,,,,,,
67,0.22,0.0692,2.075969696044922,1.6851014601541966e-05,,,,,,,,,,,
