step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.2585,12.861366271972656,0.0,,,,,,,,,,,
2,0.08,1.1856,11.648366928100586,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.2113,12.165730476379395,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.5897,14.803563117980957,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.0699,9.031279563903809,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.7712,12.076628684997559,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.5427,10.96437931060791,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.4345,8.125126838684082,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2845,5.14293909072876,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2319,3.4130725860595703,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.2857,5.586012840270996,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1546,5.336535930633545,2e-05,,,,,,,,,,,
12,0.48,,,,0.09866392595253214,0.09866392595253214,7.356,13.594,0.136,,,,,,
13,0.52,0.1839,4.5428786277771,2e-05,,,,,,,,,,,
14,0.56,0.1144,3.0399951934814453,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1451,4.8388214111328125,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1209,2.224212646484375,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0829,2.053402900695801,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.11,2.3085434436798096,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0807,1.6039575338363647,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.091,2.3662936687469482,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0742,2.2672133445739746,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0843,1.3559002876281738,1.9375e-05,,,,,,,,,,,
23,0.92,0.0555,1.604486346244812,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0972,1.9814836978912354,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0601,1.0517929792404175,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.35457705672860823,0.35457705672860823,6.532,15.309,0.153,,,,,,
26,1.04,0.0974,2.008573532104492,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0851,1.5024856328964233,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0633,1.3328479528427124,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0397,1.5155292749404907,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0424,1.027131199836731,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0592,2.2363553047180176,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0372,1.1111221313476562,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0639,0.9236225485801697,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0624,1.283299446105957,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0943,1.7206405401229858,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0715,1.6093194484710693,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0832,2.049459457397461,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0326,0.9170165061950684,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.5642151481387535,0.5642151481387535,6.5249,15.326,0.153,,,,,,
