step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.9513,26.566577911376953,0.0,,,,,,,,,,,
2,0.04,1.2203,29.630836486816406,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.9607,26.24025535583496,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.9107,27.92254638671875,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.5703,13.12464427947998,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.4288,18.900012969970703,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.3064,13.593310356140137,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.2975,17.16990852355957,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.2205,17.401622772216797,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.229,13.893433570861816,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1579,5.756674289703369,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1826,11.281919479370117,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1284,7.80160665512085,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1305,12.18099594116211,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1277,18.777034759521484,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.0989,8.904977798461914,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.1028,13.204134941101074,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0949,7.140841007232666,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0967,8.811254501342773,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0825,8.14782428741455,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1209,5.963451862335205,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0953,7.088226318359375,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.096,6.633996486663818,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.1201,6.5751519203186035,2e-05,,,,,,,,,,,
25,0.5,0.1117,5.346611499786377,2e-05,,,,,,,,,,,
25,0.5,,,,0.4206730768730324,0.4206730768730324,6.0594,16.503,0.165,,,,,,
26,0.52,0.0844,6.505196571350098,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.139,5.384976863861084,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0577,2.5753114223480225,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0506,5.954578876495361,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.07,4.511009216308594,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.096,14.574506759643555,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.0309,2.3556230068206787,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.1057,5.433329105377197,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0431,9.599359512329102,1.96875e-05,,,,,,,,,,,
35,0.7,0.0872,3.6196367740631104,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0373,2.7802512645721436,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.098,3.827765464782715,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.104,6.591070652008057,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.067,4.904955863952637,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0469,2.921569347381592,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.1119,10.382436752319336,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.1561,9.398860931396484,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0682,6.496413707733154,1.9375e-05,,,,,,,,,,,
44,0.88,0.121,16.610702514648438,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0729,5.584721088409424,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.1127,7.210712432861328,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0178,1.596153974533081,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0338,3.553586721420288,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.1063,8.152496337890625,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0572,3.1096417903900146,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.6084583901286882,0.6084583901286882,5.6804,17.604,0.176,,,,,,
51,1.02,0.0394,3.2420694828033447,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0446,6.653416156768799,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.016,1.5402758121490479,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.0823,4.631563186645508,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.023,1.8939526081085205,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0142,2.0128695964813232,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0343,13.165420532226562,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.0097,1.6287598609924316,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.0421,3.69630765914917,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.0411,3.878828287124634,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.0701,6.1686272621154785,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.0926,4.759267807006836,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0791,6.784584045410156,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0169,2.3609390258789062,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0348,5.120569229125977,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.1402,8.475051879882812,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.0573,9.054780960083008,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.0439,4.877540588378906,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0412,4.3512725830078125,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.0426,2.8708620071411133,1.84375e-05,,,,,,,,,,,
71,1.42,0.0508,6.953887462615967,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0375,3.0452537536621094,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0147,1.2343380451202393,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0134,0.8823620080947876,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0096,1.2435071468353271,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.6883273164360565,0.6883273164360565,4.4642,22.4,0.224,,,,,,
76,1.52,0.0325,3.030332565307617,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0289,1.7084271907806396,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.0405,3.959960460662842,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0816,4.582315444946289,1.8125e-05,,,,,,,,,,,
80,1.6,0.0872,4.9917893409729,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0405,3.1319034099578857,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0126,0.94416743516922,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0314,1.8383697271347046,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.0618,9.826736450195312,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.059,3.736694097518921,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0786,3.9229445457458496,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0275,2.9705111980438232,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.0513,3.1775219440460205,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.0306,2.6694953441619873,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0215,2.608633041381836,1.7743055555555557e-05,,,,,,,,,,,
