step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.8044,19.380268096923828,0.0,,,,,,,,,,,
2,0.08,0.7447,17.275901794433594,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.7318,16.342620849609375,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.9689,28.330923080444336,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.4666,13.789834976196289,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.6586,53.046226501464844,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.3626,16.61957550048828,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.231,12.052384376525879,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.1787,14.01135540008545,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.1328,9.391220092773438,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.183,10.123470306396484,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1076,5.78788948059082,2e-05,,,,,,,,,,,
12,0.48,,,,0.0519999999782544,0.0519999999782544,11.807,8.47,0.085,,,,,,
13,0.52,0.2101,8.68030071258545,2e-05,,,,,,,,,,,
14,0.56,0.0635,4.767364025115967,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.095,6.088855266571045,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1148,5.739083766937256,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0338,1.494297981262207,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0873,3.6388325691223145,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0738,4.12108850479126,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0615,2.4225943088531494,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0626,4.0303826332092285,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0782,3.192312240600586,1.9375e-05,,,,,,,,,,,
23,0.92,0.0353,2.860714912414551,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0629,2.688027858734131,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0439,3.1703834533691406,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.5817409765955572,0.5817409765955572,11.2791,8.866,0.089,,,,,,
26,1.04,0.0684,4.880608081817627,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0597,3.4557976722717285,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0673,6.1368088722229,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0277,2.274451494216919,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.051,8.118216514587402,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0267,3.9658756256103516,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0755,5.224015235900879,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0325,2.4848270416259766,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0357,6.076173305511475,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0239,1.986147165298462,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0542,3.0129380226135254,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0842,5.940162658691406,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0196,18.62498664855957,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.6520307354054741,0.6520307354054741,7.5619,13.224,0.132,,,,,,
39,1.56,0.0269,2.127558708190918,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0136,2.0968565940856934,1.8125e-05,,,,,,,,,,,
41,1.64,0.0393,2.1545732021331787,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0336,1.9893938302993774,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.1183,3.235853672027588,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.0459,4.294425964355469,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.1024,4.663496494293213,1.7777777777777777e-05,,,,,,,,,,,
