step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,1.2837,13.761245727539062,0.0,,,,,,,,,,,
2,0.04,1.3703,15.472529411315918,4.362085839710631e-06,,,,,,,,,,,
3,0.06,1.1921,12.182943344116211,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,1.1092,13.41395092010498,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.77,6.98844051361084,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.6285,6.9899678230285645,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.5004,5.42673921585083,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.4523,5.29904317855835,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.3319,4.5277299880981445,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.3245,7.014594078063965,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.2185,5.23431921005249,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1901,3.917571783065796,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.1744,6.0360493659973145,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.1242,2.94834041595459,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1179,2.6356520652770996,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1061,2.954866647720337,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.0678,1.7328832149505615,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0888,2.14162015914917,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0467,0.8175752758979797,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0549,1.8363537788391113,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1079,2.188566207885742,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0723,2.768419027328491,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0697,2.119281053543091,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.1096,2.952449083328247,2e-05,,,,,,,,,,,
25,0.5,0.0801,1.2928284406661987,2e-05,,,,,,,,,,,
25,0.5,,,,0.3461538461038195,0.3461538461038195,9.9712,10.029,0.1,,,,,,
26,0.52,0.072,1.3656117916107178,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.0946,1.5265824794769287,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.0426,1.303419828414917,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.037,0.843440055847168,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0428,1.390477180480957,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.106,2.0090839862823486,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.0431,1.0056942701339722,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0689,1.4885691404342651,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0419,1.3330734968185425,1.96875e-05,,,,,,,,,,,
35,0.7,0.0817,1.1431639194488525,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0445,0.9092850685119629,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.053,0.9170885682106018,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.057,1.0670579671859741,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.0752,1.6842925548553467,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0619,1.0328059196472168,1.9479166666666668e-05,,,,,,,,,,,
41,0.82,0.0473,1.0315572023391724,1.9444444444444445e-05,,,,,,,,,,,
42,0.84,0.0972,2.3907382488250732,1.9409722222222226e-05,,,,,,,,,,,
43,0.86,0.0441,1.2429969310760498,1.9375e-05,,,,,,,,,,,
44,0.88,0.0597,1.648635983467102,1.9340277777777777e-05,,,,,,,,,,,
45,0.9,0.0509,2.008702039718628,1.9305555555555558e-05,,,,,,,,,,,
46,0.92,0.0662,1.4903842210769653,1.9270833333333335e-05,,,,,,,,,,,
47,0.94,0.0365,1.2955451011657715,1.9236111111111113e-05,,,,,,,,,,,
48,0.96,0.0342,1.198013186454773,1.920138888888889e-05,,,,,,,,,,,
49,0.98,0.0539,1.8104053735733032,1.916666666666667e-05,,,,,,,,,,,
50,1.0,0.0521,1.3958818912506104,1.9131944444444445e-05,,,,,,,,,,,
50,1.0,,,,0.49999999995231315,0.49999999995231315,8.9027,11.233,0.112,,,,,,
51,1.02,0.0563,1.649196982383728,1.9097222222222225e-05,,,,,,,,,,,
52,1.04,0.0824,2.089512825012207,1.9062500000000003e-05,,,,,,,,,,,
53,1.06,0.0457,2.7377161979675293,1.902777777777778e-05,,,,,,,,,,,
54,1.08,0.034,1.49252188205719,1.8993055555555557e-05,,,,,,,,,,,
55,1.1,0.027,0.6109121441841125,1.8958333333333334e-05,,,,,,,,,,,
56,1.12,0.0263,0.6575894355773926,1.8923611111111112e-05,,,,,,,,,,,
57,1.14,0.0391,1.0409218072891235,1.888888888888889e-05,,,,,,,,,,,
58,1.16,0.0197,0.8549529314041138,1.885416666666667e-05,,,,,,,,,,,
59,1.18,0.0359,1.0421288013458252,1.8819444444444447e-05,,,,,,,,,,,
60,1.2,0.0481,1.1400068998336792,1.8784722222222224e-05,,,,,,,,,,,
61,1.22,0.0373,1.3470680713653564,1.8750000000000002e-05,,,,,,,,,,,
62,1.24,0.0812,2.2022483348846436,1.871527777777778e-05,,,,,,,,,,,
63,1.26,0.0392,0.9258456230163574,1.8680555555555556e-05,,,,,,,,,,,
64,1.28,0.0158,0.540688693523407,1.8645833333333334e-05,,,,,,,,,,,
65,1.3,0.0282,1.0940226316452026,1.8611111111111114e-05,,,,,,,,,,,
66,1.32,0.0715,2.30729341506958,1.8576388888888888e-05,,,,,,,,,,,
67,1.34,0.1072,1.3875840902328491,1.854166666666667e-05,,,,,,,,,,,
68,1.36,0.118,2.5843217372894287,1.8506944444444446e-05,,,,,,,,,,,
69,1.38,0.0435,1.2345712184906006,1.8472222222222224e-05,,,,,,,,,,,
70,1.4,0.0405,1.1779125928878784,1.84375e-05,,,,,,,,,,,
71,1.42,0.0182,0.8993675708770752,1.8402777777777778e-05,,,,,,,,,,,
72,1.44,0.0503,0.9648994207382202,1.836805555555556e-05,,,,,,,,,,,
73,1.46,0.0442,0.9007387161254883,1.8333333333333333e-05,,,,,,,,,,,
74,1.48,0.0101,0.29235246777534485,1.8298611111111114e-05,,,,,,,,,,,
75,1.5,0.0161,0.6931641101837158,1.826388888888889e-05,,,,,,,,,,,
75,1.5,,,,0.6139534883219503,0.6139534883219503,8.9205,11.21,0.112,,,,,,
76,1.52,0.0166,0.761880099773407,1.8229166666666668e-05,,,,,,,,,,,
77,1.54,0.0266,0.7789737582206726,1.8194444444444445e-05,,,,,,,,,,,
78,1.56,0.0342,1.4382243156433105,1.8159722222222226e-05,,,,,,,,,,,
79,1.58,0.0611,0.8902913331985474,1.8125e-05,,,,,,,,,,,
80,1.6,0.086,1.880941390991211,1.8090277777777777e-05,,,,,,,,,,,
81,1.62,0.0303,0.5475546717643738,1.8055555555555558e-05,,,,,,,,,,,
82,1.64,0.0134,0.7251428365707397,1.8020833333333335e-05,,,,,,,,,,,
83,1.66,0.0198,0.7580068707466125,1.7986111111111113e-05,,,,,,,,,,,
84,1.68,0.0421,1.0743358135223389,1.795138888888889e-05,,,,,,,,,,,
85,1.7,0.0494,1.2164764404296875,1.7916666666666667e-05,,,,,,,,,,,
86,1.72,0.0267,0.5218150019645691,1.7881944444444445e-05,,,,,,,,,,,
87,1.74,0.0199,0.6837509274482727,1.7847222222222225e-05,,,,,,,,,,,
88,1.76,0.0123,0.6765888333320618,1.7812500000000003e-05,,,,,,,,,,,
89,1.78,0.0715,1.40346360206604,1.7777777777777777e-05,,,,,,,,,,,
90,1.8,0.0331,0.8206732273101807,1.7743055555555557e-05,,,,,,,,,,,
91,1.82,0.0953,1.3337156772613525,1.7708333333333335e-05,,,,,,,,,,,
92,1.84,0.0395,0.6178492903709412,1.7673611111111112e-05,,,,,,,,,,,
93,1.86,0.0237,0.6859380602836609,1.763888888888889e-05,,,,,,,,,,,
94,1.88,0.0397,1.1226269006729126,1.760416666666667e-05,,,,,,,,,,,
95,1.9,0.0459,0.6360908150672913,1.7569444444444447e-05,,,,,,,,,,,
96,1.92,0.0603,1.2526254653930664,1.7534722222222225e-05,,,,,,,,,,,
97,1.94,0.0157,0.369511216878891,1.7500000000000002e-05,,,,,,,,,,,
98,1.96,0.017,0.44757840037345886,1.746527777777778e-05,,,,,,,,,,,
99,1.98,0.0283,0.5961682200431824,1.7430555555555556e-05,,,,,,,,,,,
100,2.0,0.0363,1.022712230682373,1.7395833333333334e-05,,,,,,,,,,,
100,2.0,,,,0.6368159203480941,0.6368159203480941,8.2441,12.13,0.121,,,,,,
101,2.02,0.0244,0.995333731174469,1.7361111111111114e-05,,,,,,,,,,,
102,2.04,0.0142,0.36209163069725037,1.732638888888889e-05,,,,,,,,,,,
103,2.06,0.043,1.303011417388916,1.729166666666667e-05,,,,,,,,,,,
104,2.08,0.0192,0.9760043621063232,1.7256944444444446e-05,,,,,,,,,,,
105,2.1,0.0226,0.6414294838905334,1.7222222222222224e-05,,,,,,,,,,,
106,2.12,0.0154,0.6342771649360657,1.71875e-05,,,,,,,,,,,
107,2.14,0.0157,0.5149655342102051,1.715277777777778e-05,,,,,,,,,,,
108,2.16,0.0298,1.357388973236084,1.7118055555555556e-05,,,,,,,,,,,
109,2.18,0.0418,1.222022294998169,1.7083333333333333e-05,,,,,,,,,,,
110,2.2,0.0436,2.1572489738464355,1.7048611111111114e-05,,,,,,,,,,,
111,2.22,0.0132,0.6350706219673157,1.701388888888889e-05,,,,,,,,,,,
112,2.24,0.0255,0.8368206024169922,1.6979166666666668e-05,,,,,,,,,,,
113,2.26,0.0072,0.4246315658092499,1.6944444444444446e-05,,,,,,,,,,,
114,2.28,0.0119,0.30971434712409973,1.6909722222222223e-05,,,,,,,,,,,
115,2.3,0.0169,0.6596365571022034,1.6875e-05,,,,,,,,,,,
116,2.32,0.0046,0.3659866750240326,1.6840277777777778e-05,,,,,,,,,,,
