step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,2.2985,18.406946182250977,0.0,,,,,,,,,,,
2,0.007,2.5684,19.291637420654297,2.777904193701827e-06,,,,,,,,,,,
3,0.01,2.3872,18.8328857421875,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,2.4321,18.71981430053711,5.555808387403654e-06,,,,,,,,,,,
5,0.016,2.1396,15.919501304626465,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,1.804,11.692928314208984,7.180778171315261e-06,,,,,,,,,,,
7,0.023,1.2626,8.72567367553711,7.798563011193284e-06,,,,,,,,,,,
8,0.026,1.0689,7.4985246658325195,8.33371258110548e-06,,,,,,,,,,,
9,0.029,0.6664,9.97188663482666,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.559,6.4726667404174805,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.4125,5.184847354888916,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.3711,19.752809524536133,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.3788,13.923608779907227,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.2594,8.461569786071777,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.2366,10.393783569335938,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.1872,2.510512590408325,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.1679,4.321151256561279,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.1153,2.2388625144958496,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.1479,4.183751106262207,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.112,2.1324985027313232,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.1027,2.534832239151001,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.076,1.5881848335266113,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.089,2.0951356887817383,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.0572,2.024355411529541,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.0527,1.0553052425384521,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0555,1.0814839601516724,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.0779,2.747035264968872,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.08,1.8484680652618408,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.0792,2.462916851043701,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.0851,1.9773482084274292,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.0714,1.4913333654403687,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.0709,1.7089612483978271,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.0526,1.019258737564087,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0578,2.267167329788208,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.0708,1.8114513158798218,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.0506,0.9725804328918457,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0369,0.9199588894844055,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.0495,0.9569495916366577,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.0606,0.9488764405250549,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0705,1.034164547920227,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.0765,1.8164241313934326,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.0531,2.239072799682617,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0551,0.8032810091972351,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.0521,1.3623032569885254,1.51657779886409e-05,,,,,,,,,,,
45,0.147,0.0698,1.6113344430923462,1.5255841747488564e-05,,,,,,,,,,,
46,0.15,0.0547,0.9136998057365417,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.0333,0.7050868272781372,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.0767,1.934013843536377,1.5514490752420744e-05,,,,,,,,,,,
49,0.16,0.0477,1.0503919124603271,1.5597126022386567e-05,,,,,,,,,,,
50,0.163,0.0595,1.1501349210739136,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.0678,1.0367835760116577,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.0534,0.8526764512062073,1.58352753989686e-05,,,,,,,,,,,
53,0.173,0.0389,0.4450581669807434,1.5911614251921585e-05,,,,,,,,,,,
54,0.176,0.0407,0.8748635053634644,1.598652612654213e-05,,,,,,,,,,,
55,0.18,0.0479,1.0841819047927856,1.6060063393498945e-05,,,,,,,,,,,
