step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,2.3762,18.714405059814453,0.0,,,,,,,,,,,
2,0.008,2.366,18.496267318725586,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,2.4445,19.395864486694336,4.62224232422701e-06,,,,,,,,,,,
4,0.017,2.4842,19.51865005493164,5.832620421144215e-06,,,,,,,,,,,
5,0.021,2.2562,16.369647979736328,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,1.7065,11.291106224060059,7.538552534799117e-06,,,,,,,,,,,
7,0.029,1.2352,9.58122444152832,8.187117823896454e-06,,,,,,,,,,,
8,0.033,1.0183,8.095173835754395,8.748930631716322e-06,,,,,,,,,,,
9,0.037,0.6477,7.993983745574951,9.24448464845402e-06,,,,,,,,,,,
10,0.042,0.5075,4.69342565536499,9.687772821906364e-06,,,,,,,,,,,
11,0.046,0.3842,4.4401326179504395,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,0.3318,15.186776161193848,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,0.4756,16.351049423217773,1.079163013362144e-05,,,,,,,,,,,
14,0.058,0.3076,8.09085464477539,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,0.2561,3.897162437438965,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,0.3256,14.747498512268066,1.166524084228843e-05,,,,,,,,,,,
17,0.071,0.2152,4.309066295623779,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,0.2505,6.577246189117432,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,0.2345,3.954524517059326,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,0.1861,2.7753443717956543,1.260408303247847e-05,,,,,,,,,,,
21,0.087,0.1817,1.2823959589004517,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,0.1572,2.6051270961761475,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,0.1609,2.688495635986328,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,0.135,1.3050367832183838,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,0.1154,1.6414862871170044,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,0.1161,1.7394863367080688,1.3707940344193546e-05,,,,,,,,,,,
