step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.1288,33.927284240722656,0.0,,,,,,,,,,,
2,0.08,0.961,24.667396545410156,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.8725,24.092844009399414,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.709,17.255979537963867,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.5437,13.20744800567627,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.5454,29.941638946533203,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.3093,15.601940155029297,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.2988,17.500324249267578,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.1557,10.550628662109375,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.196,14.61308479309082,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1707,20.761228561401367,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1665,11.920166969299316,2e-05,,,,,,,,,,,
12,0.48,,,,0.45899280570537104,0.45899280570537104,7.4084,13.498,0.135,,,,,,
13,0.52,0.1454,10.421598434448242,2e-05,,,,,,,,,,,
14,0.56,0.1611,9.737311363220215,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1687,13.018074035644531,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0858,5.21452522277832,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1127,6.995327949523926,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.16,7.942908763885498,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.182,8.344964981079102,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0914,7.219119548797607,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.1316,8.62270736694336,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.1139,7.447098731994629,1.9375e-05,,,,,,,,,,,
23,0.92,0.0774,8.222738265991211,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.1261,8.521841049194336,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0928,6.976377487182617,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.6204081632157255,0.6204081632157255,7.2031,13.883,0.139,,,,,,
26,1.04,0.054,3.859951972961426,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0368,2.718562602996826,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0404,3.4792747497558594,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0853,9.758673667907715,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.093,7.01627779006958,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0602,7.302381992340088,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0323,4.125862121582031,1.8680555555555556e-05,,,,,,,,,,,
