step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.003,1.748,47.48274230957031,0.0,,,,,,,,,,,
2,0.007,2.061,57.24388122558594,2.777904193701827e-06,,,,,,,,,,,
3,0.01,1.8207,48.9041748046875,4.4028739776134346e-06,,,,,,,,,,,
4,0.013,1.8697,49.66965103149414,5.555808387403654e-06,,,,,,,,,,,
5,0.016,1.4446,34.95695877075195,6.4500937922616966e-06,,,,,,,,,,,
6,0.02,0.9973,29.070327758789062,7.180778171315261e-06,,,,,,,,,,,
7,0.023,0.5985,26.2415771484375,7.798563011193284e-06,,,,,,,,,,,
8,0.026,0.4153,12.123557090759277,8.33371258110548e-06,,,,,,,,,,,
9,0.029,0.3025,13.722359657287598,8.805747955226869e-06,,,,,,,,,,,
10,0.033,0.2395,10.983939170837402,9.227997985963526e-06,,,,,,,,,,,
11,0.036,0.1844,11.851572036743164,9.609969601237248e-06,,,,,,,,,,,
12,0.039,0.2824,29.72105598449707,9.958682365017088e-06,,,,,,,,,,,
13,0.042,0.1171,8.981006622314453,1.0279467011564946e-05,,,,,,,,,,,
14,0.046,0.2307,19.989765167236328,1.057646720489511e-05,,,,,,,,,,,
15,0.049,0.2179,13.986835479736328,1.0852967769875131e-05,,,,,,,,,,,
16,0.052,0.1225,5.743209362030029,1.1111616774807308e-05,,,,,,,,,,,
17,0.056,0.1725,12.793684005737305,1.1354580168309704e-05,,,,,,,,,,,
18,0.059,0.0976,6.329644680023193,1.1583652148928695e-05,,,,,,,,,,,
19,0.062,0.1074,5.345330715179443,1.1800335654136308e-05,,,,,,,,,,,
20,0.065,0.1041,5.611407279968262,1.200590217966535e-05,,,,,,,,,,,
21,0.069,0.0904,3.8858652114868164,1.2201436988806718e-05,,,,,,,,,,,
22,0.072,0.0873,8.195819854736328,1.2387873794939074e-05,,,,,,,,,,,
23,0.075,0.0939,7.303155899047852,1.2566021728200815e-05,,,,,,,,,,,
24,0.078,0.0498,3.5735716819763184,1.2736586558718915e-05,,,,,,,,,,,
25,0.082,0.0629,7.730227947235107,1.2900187584523393e-05,,,,,,,,,,,
26,0.085,0.0493,2.344195604324341,1.3057371205266773e-05,,,,,,,,,,,
27,0.088,0.0514,3.924332618713379,1.3208621932840304e-05,,,,,,,,,,,
28,0.092,0.0713,4.232278823852539,1.3354371398596937e-05,,,,,,,,,,,
29,0.095,0.0591,3.112997055053711,1.3495005779288657e-05,,,,,,,,,,,
30,0.098,0.0743,3.3817622661590576,1.3630871963576958e-05,,,,,,,,,,,
31,0.101,0.0638,3.7855021953582764,1.3762282707045817e-05,,,,,,,,,,,
32,0.105,0.0572,2.615288257598877,1.3889520968509133e-05,,,,,,,,,,,
33,0.108,0.0507,3.037862539291382,1.4012843578850681e-05,,,,,,,,,,,
34,0.111,0.0422,2.671677350997925,1.413248436201153e-05,,,,,,,,,,,
35,0.114,0.0594,2.9081990718841553,1.4248656803454982e-05,,,,,,,,,,,
36,0.118,0.0414,2.304675817489624,1.4361556342630522e-05,,,,,,,,,,,
37,0.121,0.0309,2.012256622314453,1.4471362351274756e-05,,,,,,,,,,,
38,0.124,0.0512,2.143656015396118,1.4578239847838136e-05,,,,,,,,,,,
39,0.127,0.0534,3.4410386085510254,1.468234098917838e-05,,,,,,,,,,,
40,0.131,0.0909,9.049686431884766,1.4783806373367179e-05,,,,,,,,,,,
41,0.134,0.0715,2.7622499465942383,1.4882766181604204e-05,,,,,,,,,,,
42,0.137,0.0323,2.3409478664398193,1.4979341182508544e-05,,,,,,,,,,,
43,0.141,0.0464,2.115432024002075,1.5073643618223373e-05,,,,,,,,,,,
44,0.144,0.0513,2.662662982940674,1.51657779886409e-05,,,,,,,,,,,
45,0.147,0.059,1.6795578002929688,1.5255841747488564e-05,,,,,,,,,,,
46,0.15,0.0429,2.147399663925171,1.5343925921902642e-05,,,,,,,,,,,
47,0.154,0.0306,1.5612695217132568,1.5430115665364723e-05,,,,,,,,,,,
48,0.157,0.0654,3.741425037384033,1.5514490752420744e-05,,,,,,,,,,,
49,0.16,0.046,2.129046678543091,1.5597126022386567e-05,,,,,,,,,,,
50,0.163,0.0485,2.1723530292510986,1.5678091778225222e-05,,,,,,,,,,,
51,0.167,0.0794,3.8336730003356934,1.5757454145923137e-05,,,,,,,,,,,
52,0.17,0.0534,1.7733207941055298,1.58352753989686e-05,,,,,,,,,,,
53,0.173,0.0553,2.4887118339538574,1.5911614251921585e-05,,,,,,,,,,,
