step,epoch,loss,grad_norm,learning_rate
1,0.001,14.9312,204.1797332763672,0.0
2,0.003,14.8825,206.3029327392578,2.329654905111112e-06
3,0.004,14.9783,202.7779541015625,3.6924156642222166e-06
4,0.005,14.8668,211.3843536376953,4.659309810222224e-06
5,0.006,12.224,158.2437744140625,5.409291175569643e-06
6,0.007,10.4068,146.20558166503906,6.022070569333328e-06
7,0.009,6.3947,153.22853088378906,6.540168164559322e-06
8,0.01,5.1827,129.66946411132812,6.988964715333337e-06
9,0.011,4.0256,112.80810546875,7.384831328444433e-06
10,0.013,0.2333,48.87601089477539,7.738946080680758e-06
11,0.014,0.0169,3.9106740951538086,8.059281839254854e-06
12,0.015,0.0006,0.14390310645103455,8.351725474444441e-06
13,0.016,0.0001,0.01872624270617962,8.620747540435376e-06
14,0.018,0.0,2.2600203010370024e-05,8.869823069670434e-06
15,0.019,2.8938,80.45552825927734,9.10170683979186e-06
16,0.02,0.0,2.7563526600715704e-05,9.318619620444449e-06
17,0.021,0.0,6.217423651833087e-05,9.522377857578256e-06
18,0.022,2.2191,45.51872634887695,9.714486233555544e-06
19,0.024,0.0,0.004037878476083279,9.896205168250299e-06
20,0.025,2.5171,28.226009368896484,1.0068600985791868e-05
21,0.026,0.0043,1.52933931350708,1.0232583828781536e-05
22,0.028,0.0,0.004950419068336487,1.0388936744365967e-05
23,0.029,0.0,0.00217013549990952,1.0538338299502237e-05
24,0.03,0.0,0.00025741354329511523,1.0681380379555553e-05
25,0.031,0.0,0.0001350598322460428,1.0818582351139286e-05
26,0.033,0.0,0.00012973383127246052,1.095040244554649e-05
27,0.034,0.0,0.00011202420864719898,1.1077246992666648e-05
28,0.035,0.0,0.00010022470814874396,1.1199477974781545e-05
29,0.036,3.264,24.038881301879883,1.131741925423551e-05
30,0.037,0.0,0.0006997263408266008,1.1431361744902973e-05
31,0.039,0.0,0.00248103984631598,1.1541567735376157e-05
32,0.04,1.2447,11.451041221618652,1.164827452555556e-05
33,0.041,0.0004,0.07333157956600189,1.1751697503477071e-05
34,0.043,1.0461,18.548572540283203,1.1852032762689369e-05
