step,epoch,loss,grad_norm,learning_rate,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.004,3.7051,25.5955431268437,2.5071202454715028e-06,,,,,,,,,,,
4,0.008,3.8418,28.19965092548403,5.0142404909430055e-06,,,,,,,,,,,
6,0.011,3.7891,26.27855652040123,6.480811819342654e-06,,,,,,,,,,,
8,0.015,3.5391,28.07678105250035,7.521360736414507e-06,,,,,,,,,,,
10,0.019,3.7461,30.76973451071428,8.328473180692686e-06,,,,,,,,,,,
12,0.023,3.5879,25.091114191801534,8.987932064814156e-06,,,,,,,,,,,
14,0.027,3.2793,31.30470464785388,9.545496606786193e-06,,,,,,,,,,,
16,0.031,3.4609,19.679581624451,1.0028480981886011e-05,,,,,,,,,,,
18,0.034,3.1396,21.354994852118864,1.0454503393213807e-05,,,,,,,,,,,
20,0.038,3.1289,18.819956283714387,1.0835593426164186e-05,,,,,,,,,,,
22,0.042,2.7461,19.524278618175185,1.1180331294381322e-05,,,,,,,,,,,
24,0.046,2.8613,16.8079379697347,1.149505231028566e-05,,,,,,,,,,,
26,0.05,2.418,17.375002471280567,1.1784567579969897e-05,,,,,,,,,,,
28,0.053,2.252,15.814911528650882,1.2052616852257696e-05,,,,,,,,,,,
30,0.057,2.4297,16.294990735627174,1.2302164754563836e-05,,,,,,,,,,,
32,0.061,1.7993,14.793444594008832,1.2535601227357512e-05,,,,,,,,,,,
34,0.065,2.1196,14.032014355047826,1.27548810873827e-05,,,,,,,,,,,
36,0.069,2.0352,13.081577814726169,1.2961623638685308e-05,,,,,,,,,,,
38,0.073,1.7324,11.311740907446275,1.3157185315721335e-05,,,,,,,,,,,
40,0.076,1.7954,11.09980209522552,1.334271367163569e-05,,,,,,,,,,,
42,0.08,1.1179,13.455433570540224,1.3519188180657345e-05,,,,,,,,,,,
44,0.084,1.5879,9.68629870610697,1.3687451539852824e-05,,,,,,,,,,,
46,0.088,1.4928,8.505835420014982,1.3848234007146712e-05,,,,,,,,,,,
48,0.092,1.5639,11.840307745800695,1.4002172555757163e-05,,,,,,,,,,,
50,0.095,1.5958,10.170955742938151,1.4149826115913868e-05,,,,,,,,,,,
52,0.099,0.9058,7.230094169386039,1.4291687825441398e-05,,,,,,,,,,,
