step,epoch,loss,grad_norm,learning_rate
2,0.004,4.742,356.1372985839844,2.5071202454715028e-06
4,0.008,4.3372,424.8663330078125,5.0142404909430055e-06
6,0.011,2.3427,96.2115707397461,6.480811819342654e-06
8,0.015,0.8647,27.243669509887695,7.521360736414507e-06
10,0.019,0.6961,56.67219924926758,8.328473180692686e-06
12,0.023,0.4118,32.599571228027344,8.987932064814156e-06
14,0.027,0.4714,22.719850540161133,9.545496606786193e-06
16,0.031,0.4659,28.754837036132812,1.0028480981886011e-05
18,0.034,0.5415,38.511634826660156,1.0454503393213807e-05
20,0.038,0.6063,42.415000915527344,1.0835593426164186e-05
22,0.042,0.3397,13.897809028625488,1.1180331294381322e-05
24,0.046,0.2507,21.06441879272461,1.149505231028566e-05
26,0.05,0.3394,26.069351196289062,1.1784567579969897e-05
28,0.053,0.2231,24.286306381225586,1.2052616852257696e-05
30,0.057,0.3483,38.70267868041992,1.2302164754563836e-05
32,0.061,0.1935,14.035954475402832,1.2535601227357512e-05
34,0.065,0.1969,9.935571670532227,1.27548810873827e-05
36,0.069,0.1902,11.85954475402832,1.2961623638685308e-05
38,0.073,0.2012,18.5598087310791,1.3157185315721335e-05
40,0.076,0.2432,19.801916122436523,1.334271367163569e-05
42,0.08,0.1242,3.2612063884735107,1.3519188180657345e-05
44,0.084,0.5369,26.708946228027344,1.3687451539852824e-05
46,0.088,0.4881,11.488363265991211,1.3848234007146712e-05
48,0.092,0.3171,15.337984085083008,1.4002172555757163e-05
50,0.095,0.2617,18.252744674682617,1.4149826115913868e-05
52,0.099,0.1694,13.138495445251465,1.4291687825441398e-05
54,0.103,0.2103,19.02721405029297,1.4428194967084959e-05
56,0.107,0.2229,12.83623218536377,1.4559737097729201e-05
58,0.111,0.2896,16.721433639526367,1.4686662750471634e-05
60,0.115,0.1486,8.938748359680176,1.4809285000035338e-05
62,0.118,0.1648,20.203224182128906,1.492788611528266e-05
64,0.122,0.3751,8.690077781677246,1.5042721472829014e-05
66,0.126,0.1013,13.531035423278809,1.5154022868252472e-05
68,0.13,0.3407,41.160274505615234,1.52620013328542e-05
70,0.134,0.3885,21.963605880737305,1.5366849542007378e-05
72,0.137,0.4379,21.18324851989746,1.5468743884156813e-05
74,0.141,0.2532,44.420257568359375,1.5567846246279504e-05
76,0.145,0.1083,9.793591499328613,1.5664305561192835e-05
78,0.149,0.2483,23.847156524658203,1.5758259153841047e-05
80,0.153,0.2611,17.219871520996094,1.5849833917107192e-05
82,0.156,0.2,4.977633476257324,1.5939147342415935e-05
84,0.16,0.2138,23.30494499206543,1.6026308426128846e-05
86,0.164,0.5934,23.300260543823242,1.611141846927359e-05
88,0.168,0.1378,8.88477897644043,1.6194571785324327e-05
90,0.172,0.2765,14.214550971984863,1.627585632843499e-05
92,0.176,0.0933,6.743160247802734,1.6355354252618215e-05
94,0.179,0.2136,16.450050354003906,1.6433142410782812e-05
96,0.183,0.1144,9.314207077026367,1.6509292801228664e-05
98,0.187,0.2303,22.132946014404297,1.6583872968100887e-05
100,0.191,0.0274,2.531451463699341,1.6656946361385373e-05
102,0.195,0.4924,14.202109336853027,1.672857266125385e-05
104,0.198,0.2186,4.366817474365234,1.67988080709129e-05
106,0.202,0.0661,14.197209358215332,1.686770558155723e-05
108,0.206,0.1,40.17001724243164,1.693531521255646e-05
110,0.21,0.2034,17.793601989746094,1.7001684229602503e-05
112,0.214,0.2985,13.785940170288086,1.70668573432007e-05
114,0.218,0.0834,18.689775466918945,1.7130876889592487e-05
116,0.221,0.1407,61.6159553527832,1.7193782995943137e-05
118,0.225,0.1644,15.752701759338379,1.7255613731408793e-05
120,0.229,0.1571,7.731417655944824,1.731640524550684e-05
122,0.233,0.078,6.123096942901611,1.737619189504917e-05
124,0.237,0.0844,11.299718856811523,1.743500636075416e-05
126,0.24,0.1387,5.949918746948242,1.74928797545285e-05
128,0.244,0.0952,4.921271800994873,1.754984171830052e-05
130,0.248,0.2021,13.735997200012207,1.7605920515191078e-05
132,0.252,0.1697,55.41804885864258,1.7661143113723975e-05
134,0.256,0.0415,8.498601913452148,1.771553526570402e-05
136,0.26,0.1327,8.224193572998047,1.7769121578325707e-05
138,0.263,0.4452,14.327707290649414,1.7821925581017864e-05
140,0.267,0.1593,5.351145267486572,1.7873969787478878e-05
142,0.271,0.1321,6.931302070617676,1.7925275753311748e-05
144,0.275,0.1366,17.6148738861084,1.7975864129628313e-05
146,0.279,0.2836,17.231748580932617,1.8025754712956306e-05
148,0.282,0.2043,22.89651107788086,1.8074966491751004e-05
150,0.286,0.1382,14.052189826965332,1.8123517689785018e-05
152,0.29,0.275,16.37781524658203,1.817142580666434e-05
154,0.294,0.2191,14.655463218688965,1.8218707655696012e-05
156,0.298,0.1375,7.623551845550537,1.826537939931255e-05
158,0.302,0.1111,8.64114761352539,1.831145658223981e-05
160,0.305,0.1849,6.939999580383301,1.8356954162578696e-05
162,0.309,0.0662,1.143929123878479,1.840188654095611e-05
164,0.313,0.0836,6.694423198699951,1.8446267587887435e-05
