step,epoch,loss,grad_norm,learning_rate,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,1.2585,12.857770919799805,0.0,,,,,,,,,,,
2,0.08,1.1856,11.647444725036621,5.578858913022597e-06,,,,,,,,,,,
3,0.12,1.2113,12.165992736816406,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.5879,14.843865394592285,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,1.0702,9.016667366027832,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.7702,12.105281829833984,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.5422,10.861403465270996,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.4325,8.066543579101562,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.2839,5.161462783813477,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2306,3.3078036308288574,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.2776,5.272977828979492,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1609,5.866518497467041,2e-05,,,,,,,,,,,
12,0.48,,,,0.12617449659580737,0.12617449659580737,7.0811,14.122,0.141,,,,,,
13,0.52,0.1782,4.385823726654053,2e-05,,,,,,,,,,,
14,0.56,0.1118,2.868213653564453,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.1471,5.059211730957031,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1167,1.7968484163284302,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0826,1.7691270112991333,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1138,2.324819803237915,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.0785,1.302193522453308,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.095,2.3457465171813965,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0695,1.7788842916488647,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.085,1.5505778789520264,1.9375e-05,,,,,,,,,,,
23,0.92,0.0586,1.6023578643798828,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0912,1.7615872621536255,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.0668,1.3033429384231567,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.32101616623168777,0.32101616623168777,7.0407,14.203,0.142,,,,,,
26,1.04,0.1003,2.1292786598205566,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0901,1.5872197151184082,1.902777777777778e-05,,,,,,,,,,,
