step,epoch,loss,grad_norm,learning_rate,eval_crossner_music,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,2.3633,15.288498878479004,0.0,,,,,,,,,,,
2,0.08,2.4531,15.106954574584961,5.578858913022597e-06,,,,,,,,,,,
3,0.12,2.0488,12.687535285949707,8.842282173954808e-06,,,,,,,,,,,
4,0.16,1.918,12.519795417785645,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,2.2852,14.198237419128418,1.295370924755994e-05,,,,,,,,,,,
6,0.24,2.1777,13.026113510131836,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,2.3789,13.501115798950195,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,2.1895,15.472307205200195,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,1.9727,10.578962326049805,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,1.8789,10.482746124267578,1.853256816058254e-05,,,,,,,,,,,
11,0.44,2.2617,12.620145797729492,1.929968091962688e-05,,,,,,,,,,,
12,0.48,2.3008,13.858612060546875,2e-05,,,,,,,,,,,
12,0.48,,,,0.0,0.0,7.1074,14.07,0.141,,,,,,
13,0.52,1.957,10.807650566101074,2e-05,,,,,,,,,,,
14,0.56,1.8984,7.398036956787109,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,2.0684,13.16545295715332,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,1.7891,9.107560157775879,1.979166666666667e-05,,,,,,,,,,,
17,0.68,1.8457,7.949876308441162,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,1.7656,8.768463134765625,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,1.8438,7.726112365722656,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,1.8906,7.511755466461182,1.951388888888889e-05,,,,,,,,,,,
21,0.84,1.5605,8.148598670959473,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,1.5977,8.121376037597656,1.9375e-05,,,,,,,,,,,
23,0.92,1.3652,4.853359222412109,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,1.4473,6.462743759155273,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,1.3965,6.068253040313721,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.0,0.0,7.0893,14.106,0.141,,,,,,
26,1.04,1.4961,5.976308345794678,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,1.2344,6.002899169921875,1.902777777777778e-05,,,,,,,,,,,
28,1.12,1.1914,5.9570136070251465,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,1.3242,6.32137393951416,1.888888888888889e-05,,,,,,,,,,,
30,1.2,1.5605,5.121884346008301,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,1.3086,4.5288472175598145,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,1.3848,4.93908166885376,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,1.2041,4.161618232727051,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,1.3496,4.570043087005615,1.854166666666667e-05,,,,,,,,,,,
35,1.4,1.0957,5.699227333068848,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,1.1631,4.689587116241455,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,1.209,5.600378036499023,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,1.0811,4.469714641571045,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.0,0.0,7.002,14.282,0.143,,,,,,
39,1.56,0.8867,3.603271245956421,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.9238,3.673821449279785,1.8125e-05,,,,,,,,,,,
41,1.64,1.1699,4.4566168785095215,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,1.0283,3.8045685291290283,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.9814,3.461766004562378,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,1.1318,4.615538597106934,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.9834,3.923279285430908,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.874,3.4987540245056152,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.9814,3.6277191638946533,1.763888888888889e-05,,,,,,,,,,,
48,1.92,1.04,3.9883956909179688,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.9014,4.902145862579346,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.9229,3.8500378131866455,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.0,0.0,7.0526,14.179,0.142,,,,,,
51,2.04,0.8008,4.367550849914551,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.7832,3.707075357437134,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.8018,3.235236406326294,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.8057,4.028019428253174,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.8271,2.991227626800537,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.7617,4.1801838874816895,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.6748,3.0170552730560303,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.7637,3.1805014610290527,1.6875e-05,,,,,,,,,,,
59,2.36,0.7974,3.006368637084961,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.9072,4.029176235198975,1.6736111111111113e-05,,,,,,,,,,,
61,2.44,0.6318,3.500206232070923,1.6666666666666667e-05,,,,,,,,,,,
62,2.48,0.6572,3.5710561275482178,1.6597222222222225e-05,,,,,,,,,,,
62,2.48,,,,0.0,0.0,7.1696,13.948,0.139,,,,,,
63,2.52,0.5552,3.4181950092315674,1.6527777777777777e-05,,,,,,,,,,,
64,2.56,0.6504,3.6594810485839844,1.6458333333333335e-05,,,,,,,,,,,
65,2.6,0.8154,3.200165271759033,1.638888888888889e-05,,,,,,,,,,,
66,2.64,0.6191,3.26698899269104,1.6319444444444444e-05,,,,,,,,,,,
67,2.68,0.6328,3.1509220600128174,1.6250000000000002e-05,,,,,,,,,,,
68,2.72,0.6025,3.162710189819336,1.6180555555555557e-05,,,,,,,,,,,
69,2.76,0.6616,3.3475756645202637,1.6111111111111115e-05,,,,,,,,,,,
70,2.8,0.6523,3.5017149448394775,1.604166666666667e-05,,,,,,,,,,,
71,2.84,0.6113,3.2257168292999268,1.5972222222222224e-05,,,,,,,,,,,
72,2.88,0.5986,3.246208429336548,1.590277777777778e-05,,,,,,,,,,,
73,2.92,0.6841,3.591428756713867,1.5833333333333333e-05,,,,,,,,,,,
74,2.96,0.6768,3.776440143585205,1.576388888888889e-05,,,,,,,,,,,
75,3.0,0.6323,3.09672212600708,1.5694444444444446e-05,,,,,,,,,,,
75,3.0,,,,0.0,0.0,7.15,13.986,0.14,,,,,,
