step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,1.3255,34.21016311645508,0.0,,,,,,,,,,,
2,0.008,1.2914,33.115089416503906,2.9163102105721076e-06,,,,,,,,,,,
3,0.013,1.1952,33.34892654418945,4.62224232422701e-06,,,,,,,,,,,
4,0.017,1.217,37.9365348815918,5.832620421144215e-06,,,,,,,,,,,
5,0.021,0.8702,29.536136627197266,6.7714626113342564e-06,,,,,,,,,,,
6,0.025,0.5149,21.584672927856445,7.538552534799117e-06,,,,,,,,,,,
7,0.029,0.3621,16.117504119873047,8.187117823896454e-06,,,,,,,,,,,
8,0.033,0.2635,8.691842079162598,8.748930631716322e-06,,,,,,,,,,,
9,0.037,0.1947,6.423374176025391,9.24448464845402e-06,,,,,,,,,,,
10,0.042,0.186,9.331068992614746,9.687772821906364e-06,,,,,,,,,,,
11,0.046,0.1327,6.618441104888916,1.0088775752207945e-05,,,,,,,,,,,
12,0.05,0.1684,7.1584553718566895,1.0454862745371226e-05,,,,,,,,,,,
13,0.054,0.1097,5.615496635437012,1.079163013362144e-05,,,,,,,,,,,
14,0.058,0.0784,4.878105163574219,1.1103428034468562e-05,,,,,,,,,,,
15,0.062,0.1237,7.552467346191406,1.1393704935561265e-05,,,,,,,,,,,
16,0.067,0.0491,2.187047243118286,1.166524084228843e-05,,,,,,,,,,,
17,0.071,0.0794,4.8400044441223145,1.1920309619272443e-05,,,,,,,,,,,
18,0.075,0.0963,4.104312419891357,1.2160794859026127e-05,,,,,,,,,,,
19,0.079,0.0984,7.5552077293396,1.2388274381225711e-05,,,,,,,,,,,
20,0.083,0.101,4.579094409942627,1.260408303247847e-05,,,,,,,,,,,
21,0.087,0.107,5.175969123840332,1.2809360148123464e-05,,,,,,,,,,,
22,0.092,0.0902,4.20550537109375,1.3005085962780053e-05,,,,,,,,,,,
23,0.096,0.0557,2.9409611225128174,1.3192109920604603e-05,,,,,,,,,,,
24,0.1,0.0722,2.749861717224121,1.3371172955943332e-05,,,,,,,,,,,
25,0.104,0.0561,1.8242729902267456,1.3542925222668513e-05,,,,,,,,,,,
26,0.108,0.0824,3.8892405033111572,1.3707940344193546e-05,,,,,,,,,,,
27,0.113,0.0675,3.86234188079834,1.3866726972681029e-05,,,,,,,,,,,
28,0.117,0.0804,4.3232316970825195,1.401973824504067e-05,,,,,,,,,,,
29,0.121,0.067,3.467578411102295,1.4167379578855789e-05,,,,,,,,,,,
30,0.125,0.0579,5.836451053619385,1.4310015146133373e-05,,,,,,,,,,,
31,0.129,0.0961,2.6417768001556396,1.4447973285159907e-05,,,,,,,,,,,
32,0.133,0.0448,1.3714474439620972,1.4581551052860538e-05,,,,,,,,,,,
33,0.138,0.0628,1.7620007991790771,1.4711018076434953e-05,,,,,,,,,,,
