step,epoch,loss,grad_norm,learning_rate,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.02,0.4142,31.265684127807617,0.0,,,,,,,,,,,
2,0.04,0.5423,21.26170539855957,4.362085839710631e-06,,,,,,,,,,,
3,0.06,0.4496,21.31825065612793,6.9137424808681075e-06,,,,,,,,,,,
4,0.08,0.3223,15.995951652526855,8.724171679421262e-06,,,,,,,,,,,
5,0.1,0.193,17.785263061523438,1.0128449663534445e-05,,,,,,,,,,,
6,0.12,0.1803,17.886306762695312,1.1275828320578736e-05,,,,,,,,,,,
7,0.14,0.1118,12.884251594543457,1.2245923152549418e-05,,,,,,,,,,,
8,0.16,0.1098,11.19707202911377,1.3086257519131893e-05,,,,,,,,,,,
9,0.18,0.1134,33.29111099243164,1.3827484961736215e-05,,,,,,,,,,,
10,0.2,0.1365,11.911599159240723,1.449053550324508e-05,,,,,,,,,,,
11,0.22,0.1147,11.211057662963867,1.5090337677104985e-05,,,,,,,,,,,
12,0.24,0.1096,8.2108154296875,1.563791416028937e-05,,,,,,,,,,,
13,0.26,0.0839,8.935018539428711,1.6141635695206056e-05,,,,,,,,,,,
14,0.28,0.0528,7.210747241973877,1.660800899226005e-05,,,,,,,,,,,
15,0.3,0.1759,17.13386344909668,1.7042192144402555e-05,,,,,,,,,,,
16,0.32,0.1611,20.346057891845703,1.7448343358842524e-05,,,,,,,,,,,
17,0.34,0.115,16.009593963623047,1.782986378016149e-05,,,,,,,,,,,
18,0.36,0.0736,18.531038284301758,1.8189570801446844e-05,,,,,,,,,,,
19,0.38,0.0708,5.264908313751221,1.8529824454509456e-05,,,,,,,,,,,
20,0.4,0.0727,11.400728225708008,1.885262134295571e-05,,,,,,,,,,,
21,0.42,0.1081,8.04827880859375,1.9159665633417526e-05,,,,,,,,,,,
22,0.44,0.0546,5.3157219886779785,1.9452423516815614e-05,,,,,,,,,,,
23,0.46,0.0572,4.242923736572266,1.9732165553570022e-05,,,,,,,,,,,
24,0.48,0.1212,8.274450302124023,2e-05,,,,,,,,,,,
25,0.5,0.1237,10.270581245422363,2e-05,,,,,,,,,,,
25,0.5,,,,0.48370927313313805,0.48370927313313805,16.0301,6.238,0.062,,,,,,
26,0.52,0.0864,12.037528038024902,1.996527777777778e-05,,,,,,,,,,,
27,0.54,0.1096,7.779543399810791,1.9930555555555556e-05,,,,,,,,,,,
28,0.56,0.037,4.38300085067749,1.9895833333333334e-05,,,,,,,,,,,
29,0.58,0.0742,28.69196128845215,1.9861111111111114e-05,,,,,,,,,,,
30,0.6,0.0487,4.823253631591797,1.982638888888889e-05,,,,,,,,,,,
31,0.62,0.1256,9.478958129882812,1.979166666666667e-05,,,,,,,,,,,
32,0.64,0.0267,2.277580738067627,1.9756944444444446e-05,,,,,,,,,,,
33,0.66,0.0453,8.591989517211914,1.9722222222222224e-05,,,,,,,,,,,
34,0.68,0.0586,3.411829948425293,1.96875e-05,,,,,,,,,,,
35,0.7,0.0775,4.7235636711120605,1.9652777777777778e-05,,,,,,,,,,,
36,0.72,0.0751,5.92372989654541,1.961805555555556e-05,,,,,,,,,,,
37,0.74,0.1116,4.603736877441406,1.9583333333333333e-05,,,,,,,,,,,
38,0.76,0.0929,4.57560396194458,1.9548611111111113e-05,,,,,,,,,,,
39,0.78,0.1113,4.450177192687988,1.951388888888889e-05,,,,,,,,,,,
40,0.8,0.0801,7.525363922119141,1.9479166666666668e-05,,,,,,,,,,,
