step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.518,16.634889602661133,0.0,,,,,,,,,,,
2,0.08,0.8044,28.183441162109375,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.6245,24.19904899597168,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.4749,15.581706047058105,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.3251,8.632164001464844,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.4948,17.069019317626953,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.1342,6.2650556564331055,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.1213,2.725269079208374,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.137,5.5556111335754395,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.2318,5.767625331878662,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.0986,3.0722618103027344,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.2635,8.090266227722168,2e-05,,,,,,,,,,,
12,0.48,,,,0.2888888888389788,0.2888888888389788,48.6925,2.054,0.021,,,,,,
13,0.52,0.1418,3.134995460510254,2e-05,,,,,,,,,,,
14,0.56,0.1377,3.510472536087036,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0746,1.5728763341903687,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.1204,3.379366636276245,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.0966,2.191190481185913,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.0997,1.9480412006378174,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1433,2.348186492919922,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.064,1.661155104637146,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0566,1.5183396339416504,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.052,1.8738248348236084,1.9375e-05,,,,,,,,,,,
23,0.92,0.0516,1.1326855421066284,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0649,1.8697831630706787,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.107,6.993733882904053,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.5148809523317363,0.5148809523317363,47.9651,2.085,0.021,,,,,,
26,1.04,0.0689,1.568007230758667,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0932,3.296315908432007,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.1037,5.050923824310303,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0696,1.639089822769165,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.0478,1.3159325122833252,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.0755,1.5520668029785156,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0277,1.2403870820999146,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0767,2.3570327758789062,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0452,1.0308789014816284,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0204,0.7022292613983154,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0242,0.7861291170120239,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0701,1.5650988817214966,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0309,1.1723967790603638,1.826388888888889e-05,,,,,,,,,,,
38,1.52,,,,0.6074074073580967,0.6074074073580967,47.9751,2.084,0.021,,,,,,
39,1.56,0.0252,1.3787964582443237,1.8194444444444445e-05,,,,,,,,,,,
40,1.6,0.0384,0.9753183126449585,1.8125e-05,,,,,,,,,,,
41,1.64,0.056,1.439143419265747,1.8055555555555558e-05,,,,,,,,,,,
42,1.68,0.0247,1.9223803281784058,1.7986111111111113e-05,,,,,,,,,,,
43,1.72,0.0249,1.7111176252365112,1.7916666666666667e-05,,,,,,,,,,,
44,1.76,0.036,1.2805020809173584,1.7847222222222225e-05,,,,,,,,,,,
45,1.8,0.0339,1.0132588148117065,1.7777777777777777e-05,,,,,,,,,,,
46,1.84,0.0332,1.3053010702133179,1.7708333333333335e-05,,,,,,,,,,,
47,1.88,0.035,1.600484848022461,1.763888888888889e-05,,,,,,,,,,,
48,1.92,0.029,0.6711244583129883,1.7569444444444447e-05,,,,,,,,,,,
49,1.96,0.0153,0.527838945388794,1.7500000000000002e-05,,,,,,,,,,,
50,2.0,0.0523,1.6254887580871582,1.7430555555555556e-05,,,,,,,,,,,
50,2.0,,,,0.7518987341270791,0.7518987341270791,26.1927,3.818,0.038,,,,,,
51,2.04,0.0081,1.3141369819641113,1.7361111111111114e-05,,,,,,,,,,,
52,2.08,0.045,3.573335647583008,1.729166666666667e-05,,,,,,,,,,,
53,2.12,0.0032,0.23644022643566132,1.7222222222222224e-05,,,,,,,,,,,
54,2.16,0.0347,1.2010364532470703,1.715277777777778e-05,,,,,,,,,,,
55,2.2,0.0124,0.7521480321884155,1.7083333333333333e-05,,,,,,,,,,,
56,2.24,0.0023,0.1738072782754898,1.701388888888889e-05,,,,,,,,,,,
57,2.28,0.0214,0.6295419931411743,1.6944444444444446e-05,,,,,,,,,,,
58,2.32,0.0125,2.247469902038574,1.6875e-05,,,,,,,,,,,
59,2.36,0.0014,0.12007732689380646,1.6805555555555558e-05,,,,,,,,,,,
60,2.4,0.0325,1.2700098752975464,1.6736111111111113e-05,,,,,,,,,,,
