step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.04,0.4211,18.58711051940918,0.0,,,,,,,,,,,
2,0.08,0.4592,20.25776481628418,5.578858913022597e-06,,,,,,,,,,,
3,0.12,0.4638,18.68375015258789,8.842282173954808e-06,,,,,,,,,,,
4,0.16,0.321,13.106412887573242,1.1157717826045193e-05,,,,,,,,,,,
5,0.2,0.2584,11.692898750305176,1.295370924755994e-05,,,,,,,,,,,
6,0.24,0.2995,25.525041580200195,1.4421141086977404e-05,,,,,,,,,,,
7,0.28,0.1132,7.938303470611572,1.5661837028938922e-05,,,,,,,,,,,
8,0.32,0.1827,10.453736305236816,1.6736576739067793e-05,,,,,,,,,,,
9,0.36,0.1615,12.558333396911621,1.7684564347909616e-05,,,,,,,,,,,
10,0.4,0.231,13.42664909362793,1.853256816058254e-05,,,,,,,,,,,
11,0.44,0.1164,6.851680755615234,1.929968091962688e-05,,,,,,,,,,,
12,0.48,0.1368,10.933695793151855,2e-05,,,,,,,,,,,
12,0.48,,,,0.30440587444927125,0.30440587444927125,110.8012,0.903,0.009,,,,,,
13,0.52,0.1336,7.689107418060303,2e-05,,,,,,,,,,,
14,0.56,0.1586,7.167774200439453,1.9930555555555556e-05,,,,,,,,,,,
15,0.6,0.0687,5.621154308319092,1.9861111111111114e-05,,,,,,,,,,,
16,0.64,0.0826,4.828090667724609,1.979166666666667e-05,,,,,,,,,,,
17,0.68,0.1008,5.004721164703369,1.9722222222222224e-05,,,,,,,,,,,
18,0.72,0.1429,7.46871280670166,1.9652777777777778e-05,,,,,,,,,,,
19,0.76,0.1456,6.208434104919434,1.9583333333333333e-05,,,,,,,,,,,
20,0.8,0.0653,5.751188278198242,1.951388888888889e-05,,,,,,,,,,,
21,0.84,0.0714,3.8925585746765137,1.9444444444444445e-05,,,,,,,,,,,
22,0.88,0.0803,8.952356338500977,1.9375e-05,,,,,,,,,,,
23,0.92,0.0888,9.030580520629883,1.9305555555555558e-05,,,,,,,,,,,
24,0.96,0.0687,3.424910545349121,1.9236111111111113e-05,,,,,,,,,,,
25,1.0,0.081,11.340073585510254,1.916666666666667e-05,,,,,,,,,,,
25,1.0,,,,0.5220125785682133,0.5220125785682133,7.6213,13.121,0.131,,,,,,
26,1.04,0.0467,1.9458688497543335,1.9097222222222225e-05,,,,,,,,,,,
27,1.08,0.0611,2.67572021484375,1.902777777777778e-05,,,,,,,,,,,
28,1.12,0.0436,3.149573802947998,1.8958333333333334e-05,,,,,,,,,,,
29,1.16,0.0875,5.085511684417725,1.888888888888889e-05,,,,,,,,,,,
30,1.2,0.1077,6.632150650024414,1.8819444444444447e-05,,,,,,,,,,,
31,1.24,0.1153,4.650925636291504,1.8750000000000002e-05,,,,,,,,,,,
32,1.28,0.0289,3.858281373977661,1.8680555555555556e-05,,,,,,,,,,,
33,1.32,0.0585,3.8819901943206787,1.8611111111111114e-05,,,,,,,,,,,
34,1.36,0.0404,3.86502742767334,1.854166666666667e-05,,,,,,,,,,,
35,1.4,0.0334,4.1335768699646,1.8472222222222224e-05,,,,,,,,,,,
36,1.44,0.0607,4.331689834594727,1.8402777777777778e-05,,,,,,,,,,,
37,1.48,0.0293,1.5617762804031372,1.8333333333333333e-05,,,,,,,,,,,
38,1.52,0.0342,2.698782444000244,1.826388888888889e-05,,,,,,,,,,,
