step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
1,0.004,0.5634,29.41779899597168,0.0,,,,,,,,,,,
2,0.008,0.5323,29.28588104248047,2.921631592648489e-06,,,,,,,,,,,
3,0.013,0.572,30.10374641418457,4.630676515270083e-06,,,,,,,,,,,
4,0.017,0.4282,26.181188583374023,5.843263185296978e-06,,,,,,,,,,,
5,0.021,0.2834,11.381104469299316,6.7838184778810356e-06,,,,,,,,,,,
6,0.025,0.1774,9.277274131774902,7.552308107918572e-06,,,,,,,,,,,
7,0.029,0.2035,10.517313957214355,8.202056832060732e-06,,,,,,,,,,,
8,0.033,0.2084,12.010587692260742,8.764894777945466e-06,,,,,,,,,,,
9,0.038,0.121,4.233948707580566,9.261353030540167e-06,,,,,,,,,,,
10,0.042,0.1438,12.406810760498047,9.705450070529527e-06,,,,,,,,,,,
11,0.046,0.093,3.695725917816162,1.0107184709617828e-05,,,,,,,,,,,
12,0.05,0.1968,10.077454566955566,1.0473939700567063e-05,,,,,,,,,,,
13,0.054,0.0858,4.932735443115234,1.0811321587212284e-05,,,,,,,,,,,
14,0.059,0.0724,4.104754447937012,1.112368842470922e-05,,,,,,,,,,,
15,0.063,0.0817,3.4601190090179443,1.1414494993151119e-05,,,,,,,,,,,
16,0.067,0.0458,4.671879291534424,1.1686526370593955e-05,,,,,,,,,,,
17,0.071,0.0993,6.879968643188477,1.1942060570773745e-05,,,,,,,,,,,
18,0.075,0.0732,2.5281758308410645,1.2182984623188654e-05,,,,,,,,,,,
19,0.079,0.0555,7.419806480407715,1.2410879226557518e-05,,,,,,,,,,,
20,0.084,0.153,8.00709342956543,1.2627081663178013e-05,,,,,,,,,,,
21,0.088,0.0839,2.8358068466186523,1.2832733347330815e-05,,,,,,,,,,,
22,0.092,0.0805,4.423440933227539,1.3028816302266316e-05,,,,,,,,,,,
23,0.096,0.0665,4.421177864074707,1.3216181522118964e-05,,,,,,,,,,,
24,0.1,0.0563,2.293977737426758,1.339557129321555e-05,,,,,,,,,,,
25,0.105,0.0451,2.648159980773926,1.3567636955762071e-05,,,,,,,,,,,
26,0.109,0.0517,1.819615125656128,1.3732953179860774e-05,,,,,,,,,,,
27,0.113,0.0564,3.990003824234009,1.389202954581025e-05,,,,,,,,,,,
28,0.117,0.0892,3.395200490951538,1.4045320017357708e-05,,,,,,,,,,,
29,0.121,0.0441,2.6331756114959717,1.419323075185066e-05,,,,,,,,,,,
30,0.126,0.0501,2.44468092918396,1.4336126585799608e-05,,,,,,,,,,,
31,0.13,0.1027,3.218895673751831,1.4474336456608873e-05,,,,,,,,,,,
32,0.134,0.0452,1.7519245147705078,1.4608157963242445e-05,,,,,,,,,,,
33,0.138,0.0634,1.9870561361312866,1.473786122488791e-05,,,,,,,,,,,
34,0.142,0.0538,3.0211989879608154,1.4863692163422237e-05,,,,,,,,,,,
35,0.146,0.0659,2.557950735092163,1.4985875309941766e-05,,,,,,,,,,,
36,0.151,0.0393,1.5978238582611084,1.5104616215837144e-05,,,,,,,,,,,
37,0.155,0.0661,1.641471028327942,1.5220103533450539e-05,,,,,,,,,,,
38,0.159,0.0626,2.1470158100128174,1.5332510819206004e-05,,,,,,,,,,,
39,0.163,0.0706,3.333950996398926,1.5441998102482367e-05,,,,,,,,,,,
40,0.167,0.0826,5.0310893058776855,1.5548713255826503e-05,,,,,,,,,,,
41,0.172,0.0683,1.7847106456756592,1.5652793195949435e-05,,,,,,,,,,,
42,0.176,0.0639,4.53884744644165,1.5754364939979307e-05,,,,,,,,,,,
43,0.18,0.0894,7.429237365722656,1.5853546537412653e-05,,,,,,,,,,,
44,0.184,0.0724,2.4052629470825195,1.5950447894914806e-05,,,,,,,,,,,
45,0.188,0.065,2.399562358856201,1.6045171508421204e-05,,,,,,,,,,,
46,0.192,0.0738,5.648404121398926,1.6137813114767454e-05,,,,,,,,,,,
47,0.197,0.0437,2.9990267753601074,1.6228462273234477e-05,,,,,,,,,,,
48,0.201,0.0509,1.4071531295776367,1.631720288586404e-05,,,,,,,,,,,
49,0.205,0.0477,3.178875684738159,1.6404113664121464e-05,,,,,,,,,,,
50,0.209,0.0763,2.955462694168091,1.648926854841056e-05,,,,,,,,,,,
51,0.213,0.0442,1.3108816146850586,1.657273708604383e-05,,,,,,,,,,,
52,0.218,0.0531,2.3806912899017334,1.6654584772509265e-05,,,,,,,,,,,
53,0.222,0.0749,2.711575508117676,1.6734873360229337e-05,,,,,,,,,,,
54,0.226,0.0536,1.4787852764129639,1.6813661138458738e-05,,,,,,,,,,,
55,0.23,0.0485,1.3025351762771606,1.6891003187498864e-05,,,,,,,,,,,
56,0.234,0.0632,3.144056797027588,1.69669516100062e-05,,,,,,,,,,,
57,0.238,0.1119,5.652239799499512,1.7041555741827603e-05,,,,,,,,,,,
58,0.243,0.1069,3.8749570846557617,1.711486234449915e-05,,,,,,,,,,,
59,0.247,0.0649,1.1504336595535278,1.71869157812896e-05,,,,,,,,,,,
60,0.251,0.0469,2.1383135318756104,1.7257758178448095e-05,,,,,,,,,,,
61,0.255,0.0747,1.8152140378952026,1.7327429573123714e-05,,,,,,,,,,,
62,0.259,0.0606,1.694006085395813,1.7395968049257365e-05,,,,,,,,,,,
63,0.264,0.0602,1.3042503595352173,1.74634098626009e-05,,,,,,,,,,,
64,0.268,0.0447,1.043288230895996,1.752978955589093e-05,,,,,,,,,,,
65,0.272,0.0457,4.426908493041992,1.759514006509332e-05,,,,,,,,,,,
66,0.276,0.0687,1.7207170724868774,1.7659492817536398e-05,,,,,,,,,,,
67,0.28,0.0419,1.7230048179626465,1.7722877822664924e-05,,,,,,,,,,,
68,0.285,0.0676,1.201619267463684,1.7785323756070726e-05,,,,,,,,,,,
69,0.289,0.0509,1.6202999353408813,1.784685803738905e-05,,,,,,,,,,,
70,0.293,0.0562,1.4970874786376953,1.790750690259026e-05,,,,,,,,,,,
71,0.297,0.0724,1.6472822427749634,1.7967295471143923e-05,,,,,,,,,,,
72,0.301,0.0501,2.2798683643341064,1.8026247808485632e-05,,,,,,,,,,,
73,0.305,0.0621,1.7627873420715332,1.8084386984175355e-05,,,,,,,,,,,
74,0.31,0.0655,2.2003188133239746,1.814173512609903e-05,,,,,,,,,,,
75,0.314,0.0421,2.6030914783477783,1.8198313471032153e-05,,,,,,,,,,,
76,0.318,0.0412,0.9527750611305237,1.8254142411854497e-05,,,,,,,,,,,
77,0.322,0.0599,1.4070947170257568,1.830924154167856e-05,,,,,,,,,,,
78,0.326,0.0372,1.1076751947402954,1.8363629695130857e-05,,,,,,,,,,,
79,0.331,0.0559,1.7653818130493164,1.8417324987003552e-05,,,,,,,,,,,
80,0.335,0.0392,4.63707160949707,1.847034484847499e-05,,,,,,,,,,,
81,0.339,0.103,3.1155409812927246,1.8522706061080333e-05,,,,,,,,,,,
82,0.343,0.0444,1.7294731140136719,1.8574424788597928e-05,,,,,,,,,,,
83,0.347,0.0648,1.7206615209579468,1.8625516607003035e-05,,,,,,,,,,,
84,0.351,0.0527,3.533510208129883,1.8675996532627793e-05,,,,,,,,,,,
85,0.356,0.0803,4.465716361999512,1.872587904865478e-05,,,,,,,,,,,
86,0.36,0.0832,3.668982982635498,1.877517813006114e-05,,,,,,,,,,,
87,0.364,0.0997,2.6343841552734375,1.882390726712074e-05,,,,,,,,,,,
88,0.368,0.0413,0.8072441220283508,1.8872079487563295e-05,,,,,,,,,,,
89,0.372,0.05,2.529658794403076,1.891970737748142e-05,,,,,,,,,,,
90,0.377,0.05,1.8896480798721313,1.896680310106969e-05,,,,,,,,,,,
91,0.381,0.0456,1.0166023969650269,1.9013378419273014e-05,,,,,,,,,,,
92,0.385,0.0683,27.33770179748535,1.905944470741594e-05,,,,,,,,,,,
93,0.389,0.0561,1.864751935005188,1.9105012971878957e-05,,,,,,,,,,,
94,0.393,0.065,1.2105220556259155,1.9150093865882967e-05,,,,,,,,,,,
95,0.397,0.0339,0.9505974054336548,1.9194697704438555e-05,,,,,,,,,,,
96,0.402,0.0339,3.291053295135498,1.9238834478512526e-05,,,,,,,,,,,
97,0.406,0.0317,1.7044214010238647,1.9282513868460393e-05,,,,,,,,,,,
98,0.41,0.0567,1.9050387144088745,1.9325745256769954e-05,,,,,,,,,,,
99,0.414,0.055,2.6653072834014893,1.9368537740157993e-05,,,,,,,,,,,
100,0.418,0.0528,1.9390738010406494,1.9410900141059054e-05,,,,,,,,,,,
101,0.423,0.0524,2.5102269649505615,1.9452841018542585e-05,,,,,,,,,,,
102,0.427,0.0588,1.1693533658981323,1.949436867869232e-05,,,,,,,,,,,
103,0.431,0.0336,1.623404622077942,1.9535491184479268e-05,,,,,,,,,,,
104,0.435,0.0545,1.382644534111023,1.957621636515775e-05,,,,,,,,,,,
105,0.439,0.0566,1.7857366800308228,1.9616551825211848e-05,,,,,,,,,,,
106,0.444,0.0529,2.268017292022705,1.9656504952877823e-05,,,,,,,,,,,
107,0.448,0.0565,2.21844744682312,1.969608292826639e-05,,,,,,,,,,,
108,0.452,0.0409,1.3952704668045044,1.9735292731107227e-05,,,,,,,,,,,
109,0.456,0.0497,1.0050344467163086,1.977414114813655e-05,,,,,,,,,,,
110,0.46,0.0367,1.155339241027832,1.9812634780147353e-05,,,,,,,,,,,
111,0.464,0.0661,6.115581512451172,1.9850780048720622e-05,,,,,,,,,,,
112,0.469,0.032,0.6521198153495789,1.9888583202654684e-05,,,,,,,,,,,
113,0.473,0.0627,2.1922500133514404,1.9926050324108804e-05,,,,,,,,,,,
114,0.477,0.0415,1.1713825464248657,1.9963187334476092e-05,,,,,,,,,,,
115,0.481,0.032,1.7520321607589722,2e-05,,,,,,,,,,,
116,0.485,0.0764,1.4903247356414795,2e-05,,,,,,,,,,,
117,0.49,0.0412,1.7157444953918457,1.999273519796586e-05,,,,,,,,,,,
118,0.494,0.046,1.8978595733642578,1.9985470395931712e-05,,,,,,,,,,,
119,0.498,0.0743,2.4226343631744385,1.997820559389757e-05,,,,,,,,,,,
120,0.502,0.0896,3.6397194862365723,1.9970940791863423e-05,,,,,,,,,,,
120,0.502,,,,0.7614457830821705,0.7614457830821705,2.6429,37.837,0.378,,,,,,
121,0.506,0.0888,1.8070697784423828,1.996367598982928e-05,,,,,,,,,,,
122,0.51,0.0442,1.3610063791275024,1.9956411187795134e-05,,,,,,,,,,,
123,0.515,0.0673,1.4952056407928467,1.994914638576099e-05,,,,,,,,,,,
